"Electorate Number #","Electorate Name","Voting Place ID","Voting Place Suburb","Voting Place Address","NZTM2000 Northing","NZTM2000 Easting","WGS84 Latitude","WGS84 Longitude"
1,"Auckland Central",98,"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",5920405.712,1757941.612,-36.84907256,174.7715268
1,"Auckland Central",3978,"Auckland City","AUSA Club Space, The Quad, Auckland University",5920124.316,1757760.819,-36.85163823,174.7695583
1,"Auckland Central",3855,"Auckland City","AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street",5919970.824,1757495.544,-36.8530655,174.7666159
1,"Auckland Central",100,"Auckland City","Liston House, 30-32 Hobson Street",5920750.11,1757162.971,-36.84609921,174.7627258
1,"Auckland Central",101,"Auckland City","Methodist Church Wesley Hall, 78 Pitt Street",5919539.57,1756847.451,-36.85705907,174.7594385
1,"Auckland Central",3805,"Freemans Bay","Freemans Bay Community Centre Auditorium, 52 Hepburn Street",5920008.088,1756132.563,-36.85295593,174.7513263
1,"Auckland Central",3652,"Grafton","Auckland City Hospital, Foyer, 2 Park Road",5919078.437,1757755.306,-36.86106287,174.7697138
1,"Auckland Central",3147,"Grafton","St David's Presbyterian Church Hall, 70 Khyber Pass Road",5918747.323,1757190.022,-36.86414056,174.7634437
1,"Auckland Central",3150,"Great Barrier Island","Great Barrier Island Community Health Centre, 80 Hector Sanderson Road",5986261.979,1821518.879,-36.24316521,175.4651956
1,"Auckland Central",106,"Great Barrier Island","Okiwi School, Aotea Road",5996213.921,1815397.21,-36.15490483,175.3943915
1,"Auckland Central",107,"Great Barrier Island","Port Fitzroy Aotea Centre (Nurses Cottage)",5995162.571,1812401.609,-36.16503647,175.3614017
1,"Auckland Central",108,"Great Barrier Island","Tryphena Mulberry Grove School, Shoal Bay Road",5978485.983,1823982.831,-36.31263529,175.4948217
1,"Auckland Central",112,"Grey Lynn","Richmond Road School, 113 Richmond Road",5919671.027,1755096.331,-36.85616367,174.7397767
1,"Auckland Central",114,"Herne Bay","Bayfield School, 2 Clifton Road",5920619.461,1754363.485,-36.8477378,174.7313667
1,"Auckland Central",115,"Herne Bay","Marist School, 82 Kelmarna Avenue",5920223.238,1754730.249,-36.851248,174.7355594
1,"Auckland Central",116,"Herne Bay","St Stephen's Presbyterian Church Hall, 65 Jervois Road",5920863.307,1755287.899,-36.84538919,174.7416809
1,"Auckland Central",3620,"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",5920580.758,1759453.149,-36.84724152,174.7884365
1,"Auckland Central",120,"Newton","Unitarian Church Hall, 1A Ponsonby Road",5919364.165,1756143.861,-36.85875609,174.7515854
1,"Auckland Central",124,"Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",5920398.716,1755469.826,-36.84954547,174.7438156
1,"Auckland Central",4033,"Ponsonby","Leys Institute Hall, Lecture Room, 20 St Marys Road",5920710.768,1755560.59,-36.8467188,174.7447693
1,"Auckland Central",127,"Ponsonby","Ponsonby Primary School, 44 Curran Street",5921233.803,1755055.177,-36.84208904,174.7389962
1,"Auckland Central",125,"Ponsonby","Sacred Heart Parish Hall, 24 Vermont Street",5919942.697,1755440.755,-36.8536592,174.743583
1,"Auckland Central",2896,"Ponsonby","St Mary's College, 11 New Street",5920809.604,1755926.961,-36.84576787,174.7488565
1,"Auckland Central",2895,"Ponsonby","St Paul's College (Library), 183 Richmond Road",5919864.102,1754912.637,-36.85445411,174.7376776
1,"Auckland Central",130,"Waiheke Island","Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Road",5927423.615,1778960.503,-36.78210086,175.0055075
