Party and Electorate Candidate Votes Recorded at each voting place
"Tāmaki 49","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",2,0,0,0,0,0,7,0,9,0,9,3,0,0,0,30,0
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",0,0,0,1,0,0,1,0,4,0,7,0,0,0,0,13,0
,"Liston House, 30-32 Hobson Street",0,0,0,1,0,0,3,0,4,0,12,1,0,0,0,21,0
"Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",2,1,0,8,2,0,13,2,11,0,79,4,0,0,0,122,0
,"Michael Park School, 55 Amy Street",0,0,0,0,0,0,3,0,0,0,10,2,0,0,0,15,0
,"St Mary's Church Hall, 66 Main Highway",0,0,0,0,0,0,6,0,5,1,15,1,0,0,0,28,0
,"YMCA Centre, Downstairs Childcare Centre, 46 Michaels Avenue",1,0,0,0,0,0,4,0,2,0,17,1,0,0,0,25,0
"Glen Innes","Glen Innes Primary School, 38-42 Eastview Road",7,3,0,16,0,1,29,7,205,8,119,24,0,0,0,419,0
,"Glenbrae School, 103 Leybourne Circle",1,0,0,3,0,0,11,3,201,0,28,10,0,0,0,257,7
,"Grace International, 77 Line Road",2,2,0,3,0,0,27,4,162,4,123,21,0,0,1,349,1
,"Sacred Heart College, 250 West Tamaki Road",1,1,0,20,0,1,65,1,101,4,304,28,0,0,0,526,0
,"Tamaki College, corner Elstree Avenue & Taniwha Street",0,1,0,4,0,0,33,3,293,5,73,21,0,0,4,437,5
"Glendowie","Churchill Park School, Kinsale Street",2,1,0,17,0,0,57,5,39,2,432,14,0,0,3,572,1
,"Glen Taylor Primary School, 172 West Tamaki Road",7,3,0,18,0,0,85,3,164,3,373,37,1,1,1,696,2
,"Glendowie Primary School, 217 Riddell Road",3,5,0,37,0,0,99,8,115,7,820,68,0,0,5,1167,1
"Grafton","Auckland City Hospital, Foyer, 2 Park Road",0,0,0,1,0,0,7,1,10,0,22,2,0,0,1,44,0
"Kohimarama","Kohimarama Primary School, 112 Kohimarama Road",15,2,1,36,0,0,90,8,104,6,835,32,0,0,1,1130,2
,"Presbyterian Church Hall, 34 Kohimarama Road",5,1,0,26,0,0,53,1,38,2,377,31,1,0,1,536,2
,"St Thomas's School, 113 Allum Street",24,11,0,43,1,0,142,3,155,9,1018,60,0,1,1,1468,3
"Meadowbank","St Chad's Church Hall, 38 St John's Road",34,3,1,55,2,0,159,11,221,4,1123,55,0,0,4,1672,4
,"St John's College, Wesley Hall, 202-210 St John's Road",34,4,0,39,0,0,128,10,236,6,681,62,0,1,3,1204,2
,"Tahapa Crescent Hall, 22 Tahapa Crescent",2,1,0,6,0,0,38,6,69,3,281,19,0,0,0,425,1
"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",1,0,0,1,0,0,1,0,4,0,15,1,0,0,0,23,0
"Mission Bay","Patteson Guide Hall, 87 Patteson Avenue",16,5,0,23,0,1,49,7,90,3,583,33,0,0,2,812,1
"Mt Wellington","Panmure District School, 87 Mt Wellington Highway",1,0,0,4,1,0,4,0,12,0,18,2,0,0,0,42,0
,"Stanhope Road School, 2B Harris Road",1,0,0,0,0,0,2,0,5,0,9,2,0,0,0,19,0
"Orakei","Orakei Presbyterian Church Hall, 162 Coates Avenue",15,2,0,33,0,0,76,11,169,5,510,40,0,1,2,864,5
,"Orakei Primary School, 1 Grace Street",13,0,0,21,0,0,64,1,54,4,521,32,0,1,1,712,4
"Panmure","Tamaki Primary School, 11A Alamein Road",0,0,0,1,0,0,2,0,5,0,5,2,0,0,0,15,0
"Parnell","Jubilee Hall, Parnell Community Centre, 545 Parnell Road",0,0,0,1,0,0,4,0,5,0,19,2,0,0,0,31,0
,"Parnell District School, 48 St Stephens Avenue",0,0,0,1,0,0,1,0,2,0,22,0,0,0,0,26,0
"Point England","Point England Primary School, 130 Point England Road",2,2,0,1,0,0,6,2,55,0,13,5,0,0,0,86,0
