Party and Electorate Candidate Votes Recorded at each polling place
"Auckland Central 2","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Westmere","St Cuthbert's Church Hall, 8 Faulder Avenue",1,5,1,0,0,0,1,1,116,6,380,0,2,284,0,34,0,0,11,842,4
,"Westmere School, cnr Larchwood Avenue & Garnet Street",0,13,0,0,0,0,0,0,141,6,478,0,8,329,0,15,0,0,11,1001,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,3,1,0,1,0,0,0,5,7,110,0,1,69,0,15,0,1,10,223,11
,"Ordinary Votes BEFORE polling day",0,42,4,4,1,1,2,0,343,16,1040,1,14,1014,0,76,0,0,40,2598,3
,"Special Votes BEFORE polling day",0,8,0,2,2,0,0,1,62,2,228,1,3,192,0,27,1,0,5,534,2
,"Special Votes On polling day",0,69,4,11,5,0,14,2,513,29,1912,1,24,1469,1,63,0,0,39,4156,16
,"Overseas Special Votes including defence force",0,25,0,2,0,0,4,0,178,4,514,2,3,319,0,20,0,0,12,1083,0
,"Special Votes Allowed for Party Only",0,10,0,1,1,0,3,0,62,5,328,0,14,165,0,15,1,0,10,615,4
,"Auckland Central Total",5,658,19,61,29,10,80,15,4775,297,16639,25,223,12403,13,1044,5,3,477,36781,115
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36896
"Electorate Party Valid Votes for Auckland Central",,"Labour Party - .452380305"
"99 MP Party",5,.0001359398
"ACT New Zealand",658,.0178896713
"Alliance",19,.0005165711
"Aotearoa Legalise Cannabis Party",61,.001658465
"Christian Heritage NZ",29,.0007884506
"Democrats for Social Credit",10,.0002718795
"Destiny New Zealand",80,.002175036
"Direct Democracy Party",15,.0004078193
"Green Party",4775,.1298224627
"Jim Anderton's Progressive",297,.0080748212
"Labour Party",16639,.452380305
"Libertarianz",25,.0006796988
"Mâori Party",223,.0060629129
"National Party",12403,.3372121476
"New Zealand Family Rights Protection Party",13,.0003534434
"New Zealand First Party",1044,.0283842201
"OneNZ Party",5,.0001359398
"The Republic of New Zealand Party",3,.0000815639
"United Future New Zealand",477,.0129686523
