Party and Electorate Candidate Votes Recorded at each polling place
"Pakuranga 39","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Botany Downs","Holy Word Church of Auckland, 10 Dana Place",0,5,0,0,0,0,1,0,3,0,23,0,0,68,0,5,0,0,2,107,1
,"St Columba, 480 Ti Rakau Drive",0,13,0,1,0,0,6,0,11,1,62,0,0,112,0,11,0,0,12,229,0
"Bucklands Beach","Bucklands Beach Intermediate, 247 Bucklands Beach Road",0,105,0,1,1,0,10,0,32,16,401,0,1,948,0,71,0,1,39,1626,1
,"Bucklands Beach School, 107 Clovelly Road",0,35,1,1,0,0,1,1,35,13,209,1,3,731,0,41,0,0,21,1093,0
,"Macleans College, Macleans Road",0,82,1,1,4,0,11,0,40,7,371,3,3,1014,0,47,0,0,57,1641,2
,"Macleans School, Wycherley Drive",0,50,0,1,2,0,4,1,34,13,447,0,3,553,0,64,0,0,29,1201,1
,"Old Bucklands Beach Yacht Club, The Parade",0,34,0,2,2,0,2,0,21,5,154,0,2,566,0,49,0,1,20,858,2
,"Pakuranga Health Camp School, 1-9 Pigeon Mountain Road",0,30,0,0,0,0,7,0,19,9,242,0,3,789,0,75,0,0,22,1196,1
"Cockle Bay","Cockle Bay Playcentre, Pah Road",0,9,0,1,0,0,1,0,12,3,120,0,0,341,0,25,0,0,12,524,0
"Howick","Cockle Bay School, Sandspit Road",1,30,0,1,3,0,12,0,54,8,395,0,5,996,0,131,0,0,53,1689,1
,"Howick Intermediate School, 1 Botany Road",0,58,0,2,6,0,4,0,34,11,502,0,7,748,0,96,0,0,55,1523,8
,"Owairoa School, Nelson Street",1,42,0,5,2,0,5,0,43,16,447,0,3,863,0,88,0,0,42,1557,3
,"Salvation Army-East City, 37-45 Wellington Street",0,33,0,0,1,0,8,0,40,11,355,1,2,635,0,104,0,0,32,1222,0
,"Shelly Park School, Sunnyview Avenue",0,1,0,0,0,0,0,0,4,0,14,0,0,70,0,4,0,0,1,94,0
"Mellons Bay, Howick","Mellons Bay School, 140 Mellons Bay Road",2,41,1,0,1,0,3,0,27,2,171,0,1,690,0,60,0,0,33,1032,2
"Pakuranga","Anchorage Park School, Swan Crescent",0,9,1,2,4,0,5,0,8,9,237,0,1,189,0,38,0,0,18,521,4
,"Eastgate Christian Centre, 5 Ben Lomond Crescent",0,24,0,1,3,0,4,0,18,6,260,0,4,369,0,64,0,0,45,798,1
,"Edgewater College, 80 Edgewater Drive",0,35,1,2,2,0,8,0,19,9,440,1,2,349,0,69,0,1,14,952,1
,"Elm Park School, 46 Gossamer Drive",0,51,1,0,8,0,9,0,38,6,636,0,3,587,1,71,0,1,42,1454,6
,"Farm Cove Intermediate, Butley Drive, Farm Cove",0,108,1,1,10,2,12,2,55,25,728,0,2,1705,0,153,1,0,36,2841,6
,"Pakuranga College, 480 Pakuranga Road",0,129,0,4,6,0,21,2,58,14,919,0,2,1177,1,126,3,0,45,2507,10
,"Pakuranga Heights School, Udys Road",0,56,2,2,2,0,8,1,35,29,676,0,3,731,0,100,1,1,36,1683,0
