Party and Electorate Candidate Votes Recorded at each polling place
"New Lynn 30","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Avondale","Avondale Baptist Church, corner Blockhouse Bay & New North Roads",18,0,0,0,2,22,2,0,127,0,2,109,4,0,0,1,0,4,0,291,0
,"Avondale College (Music Room M1 Gate 2), 47 Victor Street",2,0,0,0,0,4,0,1,39,0,0,48,0,0,0,0,0,0,0,94,0
,"Avondale Community Centre, 99 Rosebank Road",15,0,0,0,1,21,6,0,298,0,1,122,11,8,0,1,0,4,0,488,4
,"Avondale Primary School, Crayford Street West",17,3,1,0,1,56,7,6,432,0,6,197,32,23,0,2,0,5,0,788,1
,"Liberty Christian Church, 96 Lansford Crescent",1,0,0,0,1,4,0,3,93,0,2,61,8,1,0,3,0,3,0,180,1
"Blockhouse Bay","Bay Roskill Sports Club, 231 Whitney Street",20,0,3,0,0,17,2,2,184,0,1,198,23,2,0,2,1,4,0,459,3
,"Blockhouse Bay Intermediate School, 95 Bolton Street",27,1,4,0,0,24,7,4,353,0,7,399,21,3,1,4,0,10,0,865,5
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",73,0,4,1,4,75,19,7,432,0,10,685,64,0,0,7,0,16,2,1399,6
,"Chaucer School, Chaucer Place",20,0,1,0,1,25,9,4,310,1,2,296,40,7,0,2,0,4,0,722,7
,"Glenavon School, 340 Blockhouse Bay Road",21,0,1,0,0,11,6,1,316,0,1,267,22,9,0,0,0,6,0,661,7
,"Iona Presbyterian Church, 38 Donovan Street",26,3,1,0,1,24,3,2,189,0,3,313,27,4,0,1,0,13,0,610,3
"Glen Eden","Glen Eden Primary School, 3 Glenview Road",5,0,0,0,1,16,4,0,64,0,0,47,9,1,0,0,0,0,0,147,2
,"Konini School, 44 Withers Road",45,1,6,0,4,87,12,6,277,0,9,392,27,2,0,5,0,4,1,878,7
"Green Bay","Green Bay Community Church Hall, 14 Vardon Road",51,0,5,1,1,72,9,9,402,1,7,558,57,1,0,5,0,15,0,1194,8
,"Green Bay School, 131 Godley Road",58,2,7,0,2,142,15,7,490,1,12,689,63,3,0,12,0,10,1,1514,11
"Huia","Huia Hall, 1253 Huia Road",16,1,1,0,0,48,3,2,95,0,1,116,13,0,0,1,0,3,0,300,1
"Kelston","Kelston Boys High School, corner Archibald & St Leonards Roads",28,1,2,0,3,47,13,3,585,1,7,329,46,17,0,9,0,4,0,1095,8
