Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tokerau 67","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Taupaki","Taupaki School, 14 Cottle Road",0,0,0,0,0,0,0,0,1,0,7,0,0,3,0,1,0,0,0,12,0
"Waimauku","Waimauku School, 2 Muriwai Road",0,1,0,0,0,0,1,0,1,0,20,0,11,6,0,3,0,0,0,43,0
"Waioneke","Waioneke School, 1981 South Head Road, RD1 Helensville",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,6,0
"Waitoki","Waitoki School Hall, 1119 Kahikatea Flat Road, RD 1",0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,6,0
"West Harbour","Marina View School, 97-99 Marina View Drive",0,0,0,0,0,0,1,0,0,1,15,0,8,5,0,5,0,0,0,35,0
,"West Harbour Primary School, Oriel Avenue",0,0,0,1,0,0,1,0,2,0,50,0,20,1,0,2,0,0,0,77,3
"Whenuapai","Whenuapai School, 14 Airport Road",0,0,0,0,0,0,1,0,1,0,8,0,4,1,0,3,0,0,0,18,0
,"Whenuapai Village Hall, 51 Waimarie Road, Whenuapai Village",0,0,0,0,0,0,1,0,0,0,6,0,3,0,0,0,0,0,0,10,0
,North Shore
"Bayswater","Bayswater School, Bayswater Ave",0,1,0,1,0,0,3,0,2,0,36,0,16,4,0,1,0,0,0,64,0
"Belmont","Belmont Primary School, 3A Harrison Ave",0,0,0,0,0,0,0,0,1,1,12,0,5,2,0,2,0,0,0,23,0
"Campbells Bay","Campbells Bay School Hall, Aberdeen Rd",0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,8,0
"Castor Bay","Presbyterian Church Hall, Katui St",0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,1,7,0
"Devonport","Devonport Community House, 32 Clarence St",0,2,0,1,0,0,0,0,2,0,24,0,11,0,0,3,0,1,0,44,0
,"Devonport Holy Trinity Parish Hall, Church St",0,0,0,0,0,0,0,0,3,0,11,0,2,1,0,2,0,0,0,19,0
,"Devonport Presbyterian Church Hall, Victoria Rd",0,0,0,0,0,0,0,0,2,1,15,0,4,2,0,3,0,0,0,27,0
"Forrest Hill","Forrest Hill Presbyterian Church Hall, Forrest Hill Rd",0,1,0,0,0,0,0,0,1,0,11,0,3,2,0,3,0,0,1,22,1
"Hauraki","Hauraki School, Jutland Road",0,0,0,0,0,0,0,0,0,0,9,0,2,1,0,0,0,0,0,12,0
,"Takapuna Bible Chapel Hall, 13 Jutland Rd",0,0,0,0,0,0,1,0,0,0,10,0,2,3,0,1,0,0,0,17,0
,"Takapuna Grammar, Lake Road",0,0,0,0,0,0,1,0,0,0,12,0,1,0,0,0,0,0,0,14,0
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Rd",0,0,0,0,0,0,0,0,0,0,7,0,2,4,0,2,0,0,1,16,0
,"Mairangi Bay School, Galaxy Drive Entrance",0,0,0,0,0,0,0,0,1,0,4,0,5,2,0,1,0,0,0,13,0
"Milford","Carmel College, 114 Shakespeare Road",0,0,0,0,0,0,0,0,0,0,7,0,2,2,0,3,0,0,0,14,0
,"Milford Baptist Church Hall, Dodson Ave",0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,2,0,0,0,8,0
,"Milford School, 34 Shakespeare Road",0,0,0,0,0,0,0,0,1,0,8,0,7,9,0,2,0,0,0,27,0
"Narrow Neck","Vauxhall School, Morrison Avenue",0,0,0,0,0,0,0,0,1,0,6,0,3,2,0,0,0,0,0,12,0
"Stanley Bay","Stanley Bay School, 15 Russell Street",0,0,0,0,0,0,0,0,1,0,8,0,2,1,0,1,0,0,0,13,0
"Sunnynook","Sunnynook School, Lyford Crescent",0,0,0,0,0,0,0,0,1,0,11,0,8,6,0,1,0,0,0,27,0
