Party and Electorate Candidate Votes Recorded at each polling place
"Otago 37","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Alexandra","Alexandra Primary School, Ventry Street",1,26,0,1,2,2,3,1,38,31,592,0,0,623,0,48,0,0,30,1398,3
,"Dunstan High School Hall, Enterprise Street",0,14,0,2,0,2,1,0,30,8,323,0,2,282,0,36,0,0,20,720,1
,"St Gerard's Parish Hall, Tarbert Street",2,19,1,2,0,1,9,1,49,19,456,0,0,509,0,43,0,0,17,1128,1
"Ardgowan","Ardgowan Primary Shool, Ardgowan Road",0,2,0,0,0,0,0,0,5,3,33,0,0,74,0,4,0,0,2,123,2
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",1,25,2,7,0,1,4,1,114,10,485,0,1,686,0,23,0,0,20,1380,2
"Clyde","Clyde Primary School, 25 Blyth Street",0,9,1,3,2,1,0,2,25,10,274,0,2,315,0,28,0,0,16,688,2
"Cromwell","Cromwell Sports Club, Anderson Park, Barry Avenue",0,26,0,3,2,5,11,2,75,22,936,0,2,905,1,73,0,0,55,2118,7
"Dunback","Dunback Community Hall, SH 85",0,1,0,0,1,0,0,1,4,1,36,0,1,89,0,2,0,0,1,137,0
"Dunedin Central","Dunedin Hospital, 1st Floor Foyer to Lecture Halls, Great King St",0,1,0,1,0,0,1,0,5,0,27,0,0,20,0,3,1,0,1,60,0
"Dunedin North","Knox Church Hall, 453 George Street (cnr Pitt Street)",0,4,0,0,0,0,0,0,12,0,34,0,0,20,0,0,0,0,0,70,0
,"University of Otago (ISB Link East), Cumberland St",0,0,0,0,0,0,1,0,11,1,39,0,0,25,0,2,0,0,2,81,0
"Duntroon","Duntroon Primary School, Livingstone Street",0,7,0,0,0,0,0,0,16,2,56,0,0,141,0,10,0,0,3,235,1
"Ettrick","Community Hall, SH 8",0,9,2,1,0,0,0,0,2,3,51,0,0,66,0,5,0,0,0,139,0
"Five Forks","Five Forks Primary School, 1403 Kakanui Valley Road",0,3,0,1,0,0,0,0,4,0,18,0,0,112,0,4,0,0,0,142,0
"Frankton","Frankton Presbyterian Church Hall, cnr Ross/McBride Streets",0,43,0,4,0,0,11,1,75,9,481,2,1,793,0,50,0,0,50,1520,4
,"Queenstown Events Centre, 35 Joe O'Connell Drive",0,15,0,7,2,0,5,0,62,8,232,0,0,384,0,22,0,0,5,742,0
"Glenorchy","Glenorchy Primary School, cnr Cantire & Oban Streets",0,4,0,0,0,0,0,0,16,0,40,0,0,51,0,5,0,0,1,117,0
"Hampden","Hampden Primary School, 41-47 Norwich Street",0,1,0,0,0,0,0,1,20,8,110,0,0,117,0,21,0,0,4,282,0
"Herbert","Otepopo School, Ross Street",0,6,1,0,0,3,1,1,15,4,68,0,0,105,0,12,0,0,8,224,1
"Kakanui","Kakanui Primary School, Fyfe Place",1,3,1,1,0,0,0,0,34,3,104,1,2,99,0,18,0,0,3,270,1
"Karitane","Karitane Primary School, Coast Road",0,0,1,0,1,0,1,0,44,5,122,0,0,73,0,10,0,0,6,263,1
"Kingston","Fire Brigade Meeting Room, Kent Street",0,0,0,0,0,0,0,0,5,0,28,0,0,39,0,5,0,0,2,79,0
"Lake Hawea","Community Centre, Myra Street",0,4,0,1,0,0,0,0,45,3,110,0,0,194,0,8,0,0,9,374,3
"Lake Roxburgh Village","Coal Creek Community Hall",0,12,0,0,0,0,1,0,1,3,31,0,0,42,0,4,0,0,6,100,0
"Lee Stream","Lee Stream School",0,4,0,0,0,0,0,0,0,0,10,0,0,73,0,2,0,0,0,89,0
"Luggate","Fire Brigade Rooms, State Highway 6",0,2,0,1,0,0,2,1,14,2,70,0,0,82,0,3,0,0,1,178,0
"Macraes Flat","Macraes-Moonlight Primary School",0,3,0,0,0,0,0,0,3,0,19,0,1,49,0,8,0,0,0,83,0
"Maheno","Maheno Primary School, Short Street",0,10,0,0,0,0,0,0,5,2,67,0,0,121,0,4,0,0,4,213,0
"Middlemarch","Strath Taieri School, Swansea Street",0,4,1,1,0,2,0,0,3,3,55,0,0,145,0,14,0,0,2,230,0
"Millers Flat","Millers Flat Primary School, Main Road",0,8,0,1,0,0,0,0,4,0,61,0,0,108,0,8,0,0,0,190,1
"Moeraki","Coronation Hall, Haven Street",0,5,0,0,0,0,0,0,10,0,30,0,0,41,0,2,0,0,1,89,0
"Naseby","Fire Brigade Rooms, cnr Ness & Tay Streets",0,3,0,0,0,0,0,0,3,0,52,0,0,73,0,3,0,0,0,134,1
"Ngapara","Ngapara Rugby Club Rooms, Paradise Gully Road",0,0,0,1,0,0,0,2,5,0,21,0,1,69,0,10,0,0,3,112,0
"Oamaru","Eveline Church Hall, Thames Highway",1,7,0,1,2,1,1,0,19,19,523,0,1,339,0,57,0,0,19,990,5
,"Fenwick School, Arun Street",0,8,0,4,1,4,2,1,47,20,569,0,3,404,0,54,0,0,28,1145,5
