Party and Electorate Candidate Votes Recorded at each polling place
"Rodney 44","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",37,0,2,0,8,24,2,1,58,1,0,288,10,0,0,5,0,4,0,440,0
,"Massey University, Building 84, Gate 4, Turitea Drive, Old Albany Highway",3,0,0,0,0,2,0,0,11,0,0,19,1,0,0,0,0,1,0,37,0
"Dairy Flat","Dairy Flat School, 1220 State Highway 17",140,0,6,1,8,74,4,10,194,1,1,1096,28,0,0,6,0,11,0,1580,2
"Gulf Harbour","Gulf Harbour School, Staff Room, 65 Alec Craig Way",63,1,2,0,6,40,4,3,157,0,2,523,29,0,0,6,1,11,0,848,4
,"Wentworth College, Lab 4, 65 Gulf Harbour Drive",95,1,4,0,5,32,1,16,139,0,3,710,23,0,0,3,0,6,0,1038,2
"Kaukapakapa","Kaukapakapa Village Hall, 977 Kaipara Coast Highway",31,0,3,0,0,18,1,0,48,0,3,130,11,0,0,0,0,2,0,247,1
"Leigh","Leigh School, House of Learning, 26 Hauraki Road",19,1,3,0,3,60,6,1,135,0,6,147,19,0,1,1,1,0,0,403,0
"Manly","Manly Methodist Church, 945 Whangaparaoa Road",72,1,4,0,10,52,9,15,246,0,7,807,60,0,0,7,0,22,0,1312,3
,"Whangaparaoa Primary School, 39 Ladies Mile",65,1,1,0,3,39,4,3,218,0,7,709,55,0,1,14,0,6,0,1126,0
"Matakana","Matakana School, 952 Matakana Road",86,1,4,1,5,100,4,4,162,0,8,619,25,0,0,2,0,2,0,1023,2
"Orewa","Orewa College, 76 Riverside Road",66,1,3,0,15,45,5,8,271,1,7,636,73,0,0,9,0,7,0,1147,3
,"Orewa Community Centre, Orewa Square",84,2,8,1,9,87,12,12,455,2,9,1040,138,0,0,4,0,13,0,1876,5
,"Orewa North School, 280 Centreway Road",96,0,3,0,5,50,13,3,299,0,4,665,64,0,0,2,1,13,0,1218,7
,"Orewa Primary School, 86 Maire Road",31,0,0,0,0,10,0,4,63,0,1,319,16,0,0,1,0,2,0,447,1
"Point Wells","Point Wells Community Hall,  5 Point Wells Road",50,0,0,0,0,27,3,3,97,0,1,289,28,1,0,2,0,1,0,502,0
"Puhoi","Puhoi Centennial Hall, Puhoi Road",41,0,2,0,4,73,3,1,122,0,2,292,17,0,0,1,0,5,0,563,1
"Red Beach","Red Beach Methodist Church, 76 Red Beach Road",99,2,5,0,14,52,9,11,324,1,10,953,98,0,0,8,0,16,2,1604,5
