Party and Electorate Candidate Votes Recorded at each polling place
"Clutha-Southland 8","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,"Tokomairiro High School, Union St",1,11,0,2,0,0,1,0,13,6,310,0,0,262,0,43,0,0,13,662,3
"Mokoreta-Redan","Mokoreta-Redan Hall",0,0,0,0,0,0,0,0,0,0,9,0,0,65,0,8,0,1,5,88,1
"Mosgiel","Coronation Hall, Gordon Rd",0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,1,0,0,0,18,0
,"St Mary's School Hall, Gordon Rd",0,0,0,0,0,0,0,0,2,0,9,0,0,15,0,3,0,0,1,30,0
"Mossburn","Mossburn School",0,3,0,1,0,0,1,0,6,2,44,0,0,198,0,12,0,0,22,289,1
"Nightcaps","Takitimu Primary School, Evans St",0,7,0,2,0,0,0,0,5,6,101,0,1,104,0,10,0,0,3,239,2
"Ohai","Ohai Town Hall",0,2,0,0,0,0,1,0,5,1,66,0,0,60,0,11,0,0,3,149,0
"Opio","Opio Public Hall",0,1,0,0,0,0,0,2,1,0,4,0,3,70,0,1,0,0,0,82,0
"Orawia","Orawia and Districts Community Centre",0,5,0,0,0,0,0,0,0,0,24,0,0,100,0,4,0,0,0,133,0
"Orepuki","Orepuki and Districts Community Centre",0,5,0,0,0,0,2,0,3,3,17,0,3,58,0,8,0,0,8,107,1
"Otama","Otama School",1,2,0,0,0,0,0,0,0,1,7,0,0,107,0,4,0,0,5,127,0
"Otautau","Otautau School",0,15,0,1,0,1,2,0,4,6,110,0,2,374,0,32,0,0,34,581,0
"Outram","Outram School",0,8,1,2,2,0,3,0,18,3,225,0,0,307,0,25,0,0,19,613,2
"Owaka","Memorial Community Centre",0,14,2,3,2,0,1,0,15,6,132,0,0,237,0,23,0,1,9,445,8
"Pukerau","Pukerau School",0,0,0,0,0,0,0,0,4,1,15,0,0,90,0,7,0,0,4,121,1
"Riversdale","Riversdale School",0,5,1,2,0,0,1,0,6,2,56,0,1,297,0,14,0,0,11,396,0
"Riverton","Riverton Primary School Hall, Princess St",0,23,1,0,2,1,2,0,36,9,269,0,1,439,0,46,0,0,46,875,5
"Seaward Downs","Seaward Downs Public Hall, Invercargill Mataura Highway",1,2,0,0,0,0,0,0,0,0,7,0,0,92,0,0,0,0,1,103,0
"Stirling","Stirling School",0,1,0,0,0,0,2,0,6,2,95,0,0,90,0,3,0,0,3,202,1
"Tahakopa","Tahakopa School",0,0,0,0,0,0,0,0,2,4,28,0,1,31,0,8,0,0,2,76,0
"Taieri Beach","Taieri Beach School Library",0,6,0,0,0,0,0,0,12,3,59,0,1,64,0,7,0,0,1,153,1
"Tapanui","Tapanui School",0,9,0,1,0,0,2,0,7,4,155,0,2,352,0,24,0,0,58,614,1
"Te Anau","Te Anau School Hall",1,15,2,9,0,2,1,0,47,10,272,1,3,700,1,50,0,0,50,1164,4
"Te Tipua","Te Tipua School",0,2,0,0,0,0,0,0,2,0,6,0,0,66,0,1,0,0,0,77,0
"Thornbury","Thornbury School",0,3,0,0,0,0,0,0,2,0,29,0,0,110,0,3,0,0,4,151,1
"Tokanui","Tokanui School, Duncan St",0,8,0,1,0,0,3,0,2,1,34,0,0,181,0,10,0,0,3,243,2
"Tuatapere","Tuatapere Community College",0,27,1,1,0,0,0,0,4,0,86,0,0,223,1,20,0,0,12,375,8
"Tuturau","Tuturau Primary School",0,1,0,1,0,1,5,0,0,0,5,0,0,52,0,2,0,0,4,71,0
"Waihola","Waihola & Districts School",0,3,0,1,0,0,0,0,12,3,94,0,0,126,0,16,0,0,8,263,1
"Waikaia","Waikaia School",0,1,0,0,0,0,0,0,5,0,27,0,0,89,0,6,0,0,4,132,0
"Waikaka","Waikaka School",0,10,0,0,0,0,0,0,1,2,34,0,0,216,0,9,0,0,8,280,0
"Waikawa","Waikawa Hall",0,3,0,0,0,0,0,0,0,1,13,0,1,56,0,3,0,0,1,78,1
"Waikoikoi","Waikoikoi Public Hall",0,4,0,0,0,0,0,0,1,0,10,2,0,129,0,2,0,0,11,159,0
"Waimahaka","Waimahaka School",0,7,0,0,0,0,0,0,1,2,20,0,1,101,0,3,0,0,3,138,0
"Waimumu","Waimumu Te Tipua Hall",0,2,0,0,0,0,2,0,2,0,12,0,0,100,0,9,0,0,1,128,0
"Waipahi","Waipahi Community Centre",0,1,0,0,0,1,0,0,1,0,12,0,0,68,0,4,0,0,7,94,1
"Waitahuna","Waitahuna School",0,3,0,2,0,0,0,0,1,4,26,0,0,100,0,8,0,0,2,146,0
