Party and Electorate Candidate Votes Recorded at each polling place
"Epsom 12","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"ACT New Zealand",2389,.0622313684
"Alliance",13,.0003386387
"Aotearoa Legalise Cannabis Party",70,.001823439
"Democrats for Social Credit",6,.0001562948
"Family Party",67,.0017452916
"Green Party",2662,.0693427805
"Jim Anderton's Progressive",133,.0034645341
"Kiwi Party",80,.0020839303
"Labour Party",7711,.2008648311
"Libertarianz",19,.0004949334
"Maori Party",222,.0057829066
"National Party",24030,.6259605616
"New Zealand First Party",557,.0145093647
"New Zealand Pacific Party",10,.0002604913
"RAM - Residents Action Movement",27,.0007033265
"The Bill and Ben Party",120,.0031258954
"The Republic of New Zealand Party",2,.0000520983
"United Future",258,.0067206752
"Workers Party",13,.0003386387
