Party and Electorate Candidate Votes Recorded at each polling place
"Kaikoura 21","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Oaro","Ocean View Motel, SH 1",0,1,0,0,0,0,0,0,6,1,29,0,0,43,0,8,0,0,0,88,0
"Okaramio","Okaramio Community Hall, SH 6",0,1,0,2,0,0,0,0,6,5,25,0,1,61,0,6,0,0,4,111,1
"Omihi","Omihi School, SH 1",0,6,0,0,0,0,0,0,0,1,14,0,0,77,0,2,0,0,2,102,0
"Parnassus","Parnassus School, 78 Sisters Road",0,4,1,0,0,0,0,0,2,3,22,0,0,57,0,2,0,0,0,91,0
"Picton","Little Theatre, Dublin Street",0,3,2,0,0,0,2,0,74,16,255,0,6,252,0,46,0,0,11,667,6
,"Picton School, cnr Buller and Kent Streets",0,2,2,1,0,1,2,0,31,15,296,0,3,191,0,40,0,0,16,600,2
,"Queen Charlotte College, Waikawa Road",0,5,0,0,1,0,3,0,25,12,194,0,2,209,0,44,1,0,13,509,2
"Rai Valley","Rai Valley Area School, Community Library, SH 6",0,3,0,0,0,0,9,1,18,2,75,0,0,134,0,24,0,0,8,274,1
"Rapaura","Rapaura School, Hammerichs Road",0,8,0,0,0,0,0,0,12,5,47,0,0,172,0,11,0,0,3,258,0
"Rarangi","Rarangi Golf Club, Rarangi Beach Road",0,3,0,0,0,1,0,0,21,1,86,0,0,75,0,15,0,0,14,216,0
"Renwick","Renwick Community Hall, High Street",2,26,0,4,0,0,6,0,63,19,461,0,0,721,0,78,1,0,42,1423,4
"Riverlands","Riverlands School, School Road",0,2,0,1,0,0,3,0,3,6,59,0,0,87,0,3,1,0,4,169,0
"Rotherham","Rotherham School, Main Road",0,5,0,0,0,0,0,0,4,6,37,0,0,111,0,6,1,0,2,172,0
"Scargill","Scargill Memorial Hall, Overton's Road",0,2,1,0,0,0,0,0,8,2,12,2,0,54,0,3,0,0,1,85,1
"Seddon","Seddon School, Marama Road",1,13,0,0,1,0,1,0,22,9,134,0,2,225,0,16,0,0,9,433,3
"Sefton","Sefton School, Upper Sefton Road",0,4,0,1,0,0,3,0,25,7,85,0,1,214,1,23,0,0,16,380,1
"Spotswood","Spotswood Hall, Waiau East Road",0,0,0,0,0,0,0,0,2,0,10,0,0,44,0,6,0,0,3,65,0
"Spring Creek","Spring Creek School, Ferry Road",0,3,1,2,0,0,1,0,30,6,148,0,3,143,0,37,0,0,6,380,1
"Tuamarina","Tuamarina School, Bush Road",0,10,1,0,1,1,0,0,20,3,74,0,3,72,0,18,0,0,11,214,0
"Waiau","Waiau School, Montrose Street",0,3,0,0,0,0,0,0,10,3,65,0,0,177,0,15,0,0,8,281,0
"Waihopai","Waihopai Valley Community Hall, 1605 Waihopai Valley Road",0,5,0,0,0,0,0,0,14,1,8,0,0,75,0,6,0,0,5,114,0
"Waikari","Waikari School, Princes Street",0,3,0,0,0,0,0,0,12,3,90,0,4,142,0,18,0,0,9,281,0
"Waikawa Bay","Waikawa Bay School, 282 Waikawa Road",1,3,0,0,0,0,0,0,30,5,142,0,2,178,0,25,2,0,9,397,2
"Waipara","Waipara School, Lofthagen Drive",0,7,0,0,7,3,2,0,6,6,56,0,1,149,0,13,0,0,4,254,0
"Wairau Pa","Kokiri Centre, Wairau Bar Road",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,7,0
"Wairau Valley Township","Wairau Valley School, Morse Street",0,5,0,1,0,0,3,0,12,3,63,0,0,146,0,11,0,0,9,253,0
"Waitaria Bay","Waitaria Bay School",0,2,0,0,0,0,0,0,7,1,28,0,0,49,0,5,0,0,1,93,0
"Ward","Ward School, Duncan Street",0,3,0,1,1,0,1,0,7,0,47,0,0,129,0,21,0,0,5,215,0
"Woodbourne","RNZAF Family Centre, Caldwell Road",0,5,0,0,0,0,0,0,11,0,46,0,2,140,0,9,0,0,8,221,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,1,2,0,0,2,0,0,5,6,166,0,0,153,0,27,0,0,2,364,8
,"Ordinary Votes BEFORE polling day",0,45,7,6,3,1,16,0,126,30,754,0,10,1064,0,135,0,0,75,2272,6
,"Special Votes BEFORE polling day",0,5,0,0,0,1,2,0,51,11,200,0,5,315,0,46,0,0,9,645,1
,"Special Votes On polling day",0,31,2,9,1,0,9,0,144,13,609,1,11,870,1,90,0,0,36,1827,4
,"Overseas Special Votes including defence force",0,10,0,0,1,0,0,2,40,3,80,1,1,141,0,1,0,0,6,286,0
