Party and Electorate Candidate Votes Recorded at each polling place
"Whanganui 61","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Springvale","Faith City Church, 127 Springvale Road",8,0,4,49,0,75,274,0,2,3,498,108,3,1024,9
,"Springvale Stadium, Springvale Park",2,0,2,23,2,78,177,0,1,3,276,53,5,622,5
"Tawhero","Tawhero School, 27 Totara Street",6,1,3,51,0,54,380,0,2,5,275,109,4,890,6
"Te Kiri","Te Kiri Hall, Eltham Road",5,0,2,1,0,5,3,0,0,0,86,2,0,104,0
"Turakina","Turakina School, State Highway 3",0,0,0,0,0,2,3,0,0,0,16,1,0,22,0
"Upokongaro","Upokongaro School, State Highway 4",2,0,1,5,1,16,35,1,2,6,91,18,0,178,1
"Waitotara","Waitotara School, Severn Street",1,0,2,3,0,5,19,0,0,1,106,9,2,148,0
"Warea","Warea Hall, Main South Road ",8,0,1,0,0,8,10,0,0,0,101,4,2,134,0
"Waverley","Waverley Primary School, Gloag Street",6,1,3,9,0,32,98,0,1,0,257,58,2,467,9
"Westmere","Westmere School, corner Francis & Rapanui Roads",12,0,1,15,1,34,71,0,0,8,343,45,0,530,1
"Whangaehu","Whangaehu School, Ruatangata Street",0,0,0,0,0,0,1,0,0,2,3,0,0,6,0
"Whanganui","Carlton School, 99 Carlton Avenue",8,3,5,31,1,83,371,1,1,3,330,99,5,941,4
,"City College, 84 Ingestre Street",10,0,2,26,0,70,217,0,2,7,354,83,3,774,2
,"Durie Hill School, 109 Portal Street",2,0,4,35,0,108,170,2,2,2,333,63,7,728,4
,"Keith Street School, 38-46 Keith Street",2,0,2,44,0,71,387,0,4,7,263,79,3,862,13
,"St Andrew's Pipe Band Hall, 9 Bell Street",4,0,6,16,0,78,130,0,2,10,148,38,0,432,4
,"St Andrew's Presbyterian Church, 42 Glasgow Street",3,1,1,24,2,40,115,1,0,1,119,41,2,350,4
,"St John's Hill School, 71 Parkes Avenue",10,0,1,40,3,145,205,0,2,7,727,65,3,1208,4
"Whanganui East","Baptist Church Hall, Moana Street",2,1,6,50,1,88,268,1,1,3,282,86,5,794,8
,"St Anne's School, Raine Street",2,0,1,12,2,38,113,0,0,1,154,28,0,351,5
,"Wanganui East School, Patapu Street",7,1,7,39,1,112,357,2,1,5,365,119,8,1024,8
"Whenuakura","Whenuakura School, Kaharoa Road",1,0,1,0,0,2,5,0,0,0,72,4,3,88,0
