Party and Electorate Candidate Votes Recorded at each polling place
"Palmerston North 38","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Aokautere","Aokautere School Hall, 196 Fitzherbert East Road",1,0,0,0,0,2,0,0,6,0,0,8,1,0,0,0,0,0,0,18,0
"Ashhurst","Ashhurst School Hall, 96 Cambridge Avenue",1,0,0,0,0,4,0,0,10,0,1,11,0,0,0,0,0,1,0,28,2
"Bulls","Clifton School, Clifton Street",0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,7,0
"Feilding","Industrial, Agricultural & Pastoral Association Hall, Rata Street",0,0,0,0,0,1,0,0,6,0,0,9,0,0,0,2,0,0,0,18,0
,"Manchester St School, 160 Manchester Street",0,0,0,0,0,1,0,0,5,0,0,6,0,0,0,1,0,0,0,13,0
"Linton Camp","Community Centre, Puttick Road",3,0,0,0,0,2,0,0,8,0,1,8,2,0,0,0,0,1,0,25,1
"Palmerston North","Awapuni Community Centre, 22 Newbury Street",6,1,2,0,1,14,8,3,171,0,4,102,26,0,0,1,0,4,0,343,6
,"Awapuni School Hall, 18 Rochester Street",16,0,3,0,3,59,13,3,526,1,6,360,67,0,0,9,0,11,0,1077,11
,"Central Normal School Hall, 210 Featherston Street",22,2,9,0,3,102,15,2,522,0,3,475,50,0,0,21,0,14,0,1240,3
,"Cloverlea School Hall, 55 Herbert Avenue",20,1,0,0,0,32,15,3,409,0,5,340,53,1,0,11,0,11,0,901,1
,"College Street Normal School Hall, 402 College Street",32,0,0,0,2,111,12,4,390,3,6,551,20,1,0,17,0,12,0,1161,2
,"Cornerstone Christian School, 61 Roberts Line",36,0,0,0,4,30,8,11,360,0,4,587,37,0,0,11,0,25,1,1114,4
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",14,0,2,0,0,27,2,3,115,0,3,155,12,0,0,6,0,8,1,348,2
,"Hokowhitu School Hall, 227 Albert Street",42,1,1,0,2,93,8,4,396,0,9,659,44,0,0,4,0,8,0,1271,3
,"IHC Day Base, 153 Cook Street",13,0,1,0,0,39,6,0,163,0,6,131,15,0,0,3,0,8,0,385,1
,"Intermediate Normal School Performing Arts Centre, 31 South Street",16,1,6,0,1,62,12,4,258,0,4,268,26,0,0,11,0,14,0,683,2
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",21,0,4,0,3,32,12,8,393,0,10,280,35,0,0,11,0,7,1,817,2
,"Massey University, Student Centre Lounge, Concourse, University Drive",8,0,2,0,2,34,1,1,58,0,1,80,0,0,0,8,1,1,0,197,0
,"Metlifecare Retirement Village Lounge, corner Carroll & Fitchett Streets",10,0,3,0,0,13,3,2,125,1,5,139,14,0,0,2,0,2,2,321,1
,"Milson School Hall, 5 Rutland Place",37,1,4,1,4,64,18,4,680,1,7,703,75,0,0,10,0,12,0,1621,3
,"Monrad Intermediate School Hall, 228 Botanical Road",11,0,3,0,1,31,7,0,246,0,8,178,28,0,0,8,0,9,0,530,4
,"Olive Tree Village Community Centre, 13 Olive Grove",15,0,0,1,0,23,4,2,130,0,0,216,20,1,0,1,0,5,0,418,0
,"Palmerston North Girls' High School Hall, Huia Street",29,0,2,0,1,50,9,1,175,1,3,233,8,0,0,12,0,12,0,536,2
,"Palmerston North Senior Citizens Hall, 323-325 Main Street",6,0,2,0,2,38,1,0,142,0,1,143,11,4,0,8,0,2,0,360,0
,"Parkland School Library, 41 Parkland Crescent",29,1,3,0,3,69,13,4,346,3,7,336,32,0,0,8,0,14,0,868,2
,"Public Hospital Education Centre, Gate 12, 50 Ruahine Street",9,0,1,0,0,12,5,0,139,0,4,120,22,0,0,1,0,3,0,316,3
