Party and Electorate Candidate Votes Recorded at each polling place
"New Plymouth 31","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Bell Block","Bell Block Hall, 957 Devon Road",16,0,0,17,0,41,212,1,1,5,512,61,0,866,7
,"Fred Tucker Memorial Centre, 130 Parklands Avenue",3,1,8,23,1,62,255,0,0,6,587,77,8,1031,8
,"Puketapu School Hall, 2 Dillon Drive",6,0,4,25,0,34,162,0,0,3,348,38,2,622,6
"Egmont Village","Egmont Village School Hall, 1052 Junction Road",5,0,1,15,0,33,58,2,1,3,231,29,2,380,1
"Glen Avon","Glen Avon Hall, 23 Alberta Road",6,0,2,8,0,31,70,1,0,5,197,24,1,345,3
"Hillsborough","Hillsborough Public Hall, 373 Egmont Road",10,0,1,7,1,28,34,0,0,1,249,26,4,361,1
"Inglewood","Inglewood High School, Kelly Street entrance",1,0,3,2,0,4,6,0,0,0,50,0,0,66,0
"Lepperton","Lepperton School Library, 540 Richmond Road ",15,0,1,21,1,25,42,0,2,1,261,12,1,382,2
"Mangorei","Mangorei School Hall, 502 Mangorei Road",16,0,2,17,1,77,121,3,0,4,471,32,5,749,4
"New Plymouth","Air Training Corps Rooms, 367a Carrington Street",3,0,8,13,0,74,139,3,0,4,323,46,8,621,7
,"Blind Foundation, 131 Vivian Street",2,0,2,8,0,31,99,0,1,2,140,31,2,318,3
,"Boys' High School, Pridham Hall, 97 Eliot Street",7,0,2,9,1,45,86,0,1,2,283,30,0,466,3
,"Central School Hall, 49 Pendarves Street entrance",12,0,2,8,0,119,208,1,3,7,478,40,5,883,4
,"Devon Intermediate School, 400 Devon Street West",1,0,1,5,0,41,118,0,1,2,189,29,2,389,2
,"Fitzroy Hall, 45 Sackville Street",11,0,3,23,1,130,289,0,1,13,712,80,6,1269,9
,"Francis Douglas Memorial College, 201 Tukapa Street",2,0,3,8,0,40,113,1,1,10,262,19,1,460,3
,"Frankley School, 357 Tukapa Street",6,0,4,20,0,59,98,0,1,5,341,38,6,578,5
,"Girls' High School Hall, Main Entrance, 42 Mangorei Road",7,0,1,9,1,56,157,0,4,3,324,28,0,590,5
,"Holy Trinity Church Hall, 8 Henui Street",5,0,1,11,1,67,115,0,0,1,330,37,1,569,0
,"Marfell School Hall, 92a Omata Road entrance",1,1,4,8,0,23,152,1,1,3,100,24,2,320,2
,"Merrilands Hall, 251 Mangorei Road",11,0,4,11,0,57,154,0,0,3,530,42,4,816,4
,"Merrilands School, 7 Kauri Street",3,0,5,22,0,58,307,0,2,2,505,60,5,969,6
,"Moturoa School, 43 Pioneer Road",4,0,3,7,0,36,109,0,0,2,155,30,1,347,6
