Party and Electorate Candidate Votes Recorded at each polling place
"Rimutaka 45","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,"St Joseph's Scout Hall, Royal Street",1,1,0,2,1,0,2,0,27,16,343,0,3,201,0,35,0,0,31,663,3
,"Wesley Centre (St David's Hall), 1 Benzie Avenue",0,13,1,1,2,2,3,0,37,15,457,0,3,319,1,54,1,0,52,961,5
"Wallaceville","Baptist Church Hall, Milton Street",1,14,0,1,2,2,3,0,24,7,329,0,3,213,0,34,0,0,46,679,1
,"Heretaunga College, Ward Street",0,8,0,0,0,0,6,0,50,24,502,2,4,305,0,46,0,0,61,1008,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,6,1,2,5,2,2,1,11,7,346,1,0,210,1,43,3,0,30,672,16
,"Ordinary Votes BEFORE polling day",0,24,3,1,2,0,17,0,78,24,850,0,6,671,0,105,0,0,95,1876,3
,"Special Votes BEFORE polling day",0,1,2,2,0,0,0,1,10,3,174,0,1,82,0,17,0,0,8,301,0
,"Special Votes On polling day",1,19,0,12,1,3,17,1,91,14,920,1,14,618,1,75,0,0,68,1856,10
,"Overseas Special Votes including defence force",0,9,0,0,4,1,0,0,40,0,133,1,2,132,0,8,0,1,13,344,1
,"Special Votes Allowed for Party Only",0,1,0,5,0,0,6,0,13,1,171,1,20,60,1,14,0,0,9,302,2
,"Rimutaka Total",14,414,28,91,54,20,197,6,1446,451,16558,19,181,11791,9,1736,8,2,1615,34640,145
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34785
"Electorate Party Valid Votes for Rimutaka",,"Labour Party - .4780023095"
"99 MP Party",14,.000404157
"ACT New Zealand",414,.0119515012
"Alliance",28,.0008083141
"Aotearoa Legalise Cannabis Party",91,.0026270208
"Christian Heritage NZ",54,.0015588915
"Democrats for Social Credit",20,.0005773672
"Destiny New Zealand",197,.005687067
"Direct Democracy Party",6,.0001732102
"Green Party",1446,.041743649
