Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Hauāuru 67","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Mana
,"Girls' High School Hall, Main Entrance, 42 Mangorei Road",0,0,1,0,0,3,8,0,0,10,3,1,0,26,1
,"Holy Trinity Church Hall, 8 Henui Street",0,0,0,0,0,2,5,0,0,3,1,0,0,11,2
,"Marfell School Hall, 92a Omata Road entrance",0,0,0,0,0,5,20,0,4,8,2,0,0,39,0
,"Merrilands Hall, 251 Mangorei Road",0,0,0,0,0,0,6,0,0,2,4,2,0,14,0
,"Merrilands School, 7 Kauri Street",0,0,0,0,0,1,16,0,7,9,4,1,0,38,1
,"Moturoa School, 43 Pioneer Road",0,0,0,0,0,4,18,0,0,5,1,1,0,29,0
,"Onuku Taipari Hall, 136 Ngamotu Road",1,0,0,0,0,2,31,0,6,5,1,2,0,48,1
,"Spotswood College Library, 129 South Road",0,0,0,0,0,3,14,0,2,5,2,0,0,26,1
,"Spotswood Primary School Hall, 177 South Road",0,0,0,0,0,4,10,0,0,7,1,1,0,23,0
,"St Chad's Church Hall, 12 Omata Road",0,0,0,1,0,5,12,0,4,8,4,3,0,37,0
,"St James Church, 24 Lawry Street",0,0,0,0,0,4,14,0,4,10,1,6,0,39,0
,"St John Rooms, 318 St Aubyn Street",0,0,0,0,0,3,8,0,1,4,0,1,0,17,1
,"St Joseph's Community Centre, 147 Devon Street West",0,0,0,0,0,4,7,0,2,5,2,4,0,24,0
,"St Pius X School, 120 Brooklands Road",0,0,0,0,0,6,7,0,1,2,1,2,0,19,1
,"Taranaki Base Hospital, Clinical Skills Laboratory, Lyn Street entrance",0,0,0,0,0,1,3,0,0,0,3,1,0,8,0
,"Taranaki Disability Resource Centre, 28 Young Street",0,0,0,0,0,1,4,1,0,1,2,1,0,10,0
,"Vogeltown School Hall, 37 Huatoki Street",0,0,0,0,0,4,22,0,3,4,4,1,0,38,0
,"Welbourn School Hall, 5 Welbourn Terrace entrance",0,0,0,0,0,1,8,0,2,3,1,1,0,16,1
,"Westown School Hall, 41 Sanders Avenue",0,0,4,0,0,10,37,0,9,17,5,8,0,90,2
,"Woodleigh School Hall, 85 Brois Street",0,0,0,0,0,3,2,0,1,1,4,1,0,12,0
"Oakura","Oakura School, 16 Donnelly Street",1,0,0,0,0,1,8,0,3,6,5,0,0,24,0
"Okato","Coastal Taranaki School, 88 Carthew Street",0,0,0,0,0,5,10,0,0,2,4,0,0,21,1
"Omata","Omata School Hall, 3 Holloway Road",0,0,0,1,0,2,4,0,0,1,0,1,0,9,0
"Waitara","Orapa Kindergarten, 16 Wood Street",0,0,1,0,0,13,50,0,2,9,2,5,0,82,1
,"Owae Marae, 16 North Street",0,0,3,1,0,16,54,0,21,32,1,16,0,144,7
,"Waitara Central School Hall, 18 Cracroft Street",0,0,4,0,0,9,53,0,6,23,4,10,0,109,3
,"Waitara High School Hall, 16 Princess Street",0,0,1,1,0,12,52,0,6,14,9,5,0,100,3
,Ōhariu
"Grenada North","Grenada North Club Rooms, Nassau Avenue",0,0,0,0,0,1,8,0,7,3,1,4,0,24,1
"Tawa","Garage, 127 Taylor Terrace",0,0,0,0,0,1,1,0,1,0,1,2,0,6,0
,"Garage, 16 St Catherines Terrace",0,0,0,0,0,2,0,0,0,1,4,2,0,9,0
,"Hampton Hill School, Victory Crescent",0,0,0,0,0,2,11,0,0,5,1,4,0,23,0
,"New Life Church Hall, 236 Main Road",0,0,1,0,0,6,15,0,1,8,5,2,0,38,1
,"Redwood School, 69a Redwood Avenue",0,0,1,0,0,4,3,0,0,2,4,2,1,17,0
,"Tawa School, 6 Oxford Street",0,0,0,0,0,7,16,0,6,14,6,4,2,55,1
,Ōtaki
"Foxton","Coley Street School, Coley Street",0,0,5,0,0,3,34,0,3,2,4,4,0,55,1
,"Foxton Primary School, Park Street",0,0,1,1,0,8,50,0,4,39,6,13,0,122,1
"Foxton Beach","Foxton Beach Primary School, 10 Carthew Terrace",0,0,0,0,0,1,11,0,0,3,3,5,0,23,0
"Ihakara","Ihakara Public Hall, corner Tavistock Road & State Highway 57",0,0,0,0,0,0,3,0,1,2,3,2,0,11,1
"Levin","Fairfield School, 89 MacArthur Street",2,0,0,1,0,1,15,0,4,8,5,3,0,39,1
,"Horowhenua District Council, 126-148 Oxford Street",0,0,3,1,0,8,38,0,5,22,3,8,0,88,3
