Party and Electorate Candidate Votes Recorded at each polling place
"Rangitikei 42","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Newbury","Newbury School, 906 Rangitikei Line",14,1,1,0,0,12,2,0,56,0,3,237,10,0,0,1,0,2,0,339,0
"Ngakonui","Ngakonui Valley School, Kauri Room, Taumarunui-Ngapuke Road",2,0,0,0,1,0,0,0,11,0,1,25,0,0,0,0,0,2,0,42,0
"Ngapuke","Ngapuke School, Room 1, Taumarunui-Ngapuke Road",2,0,0,0,0,1,0,1,5,0,0,20,0,0,0,0,0,0,0,29,1
"Ohakea","Ohakea War Memorial Hall, corner Speedy & Tangimoana Roads",5,0,0,0,1,1,0,0,10,0,1,81,2,0,0,0,0,0,0,101,0
"Ohakune","Ohakune Courthouse, Rata Street",12,0,0,0,0,24,2,0,73,0,3,188,23,0,0,1,0,6,0,332,6
,"Ohakune Primary School Hall, 52 Arawa Street",7,0,1,0,2,15,3,0,54,0,3,121,6,0,0,2,0,3,0,217,1
"Ohingaiti","Ohingaiti Hall, corner State Highway 1 & Onslow Street",10,0,0,0,0,3,2,0,13,0,0,55,6,0,0,0,0,1,0,90,0
"Orautoha","Orautoha School Library, Pukekaha Road",5,0,0,0,0,1,0,0,2,0,1,31,1,0,0,0,0,0,0,41,0
"Oroua Downs","Oroua Downs School, State Highway 1",5,0,2,0,0,7,6,0,46,0,0,128,8,0,0,1,0,3,0,206,1
"Otairi","Otairi School, Turakina Valley Road",5,0,0,0,0,0,1,0,4,0,0,35,0,0,0,1,0,0,0,46,0
"Owhango","Owhango School Resource Room, Ohorere Street",9,0,1,0,0,17,1,0,22,0,1,130,16,0,0,1,0,3,0,201,0
"Palmerston North","Central Normal School Hall, 210 Featherston Street",1,0,0,0,0,7,1,0,25,0,0,41,1,0,0,0,0,0,0,76,0
,"Cloverlea School Hall, 55 Herbert Avenue",1,0,1,0,0,2,0,0,8,1,0,17,5,0,0,0,0,0,0,35,0
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",0,0,0,0,0,1,0,0,10,0,1,12,2,0,0,0,0,0,0,26,0
,"Massey University, Student Centre Lounge, Concourse, University Drive",7,1,0,0,0,29,3,0,53,0,1,67,3,0,0,6,0,3,0,173,0
,"Milson School Hall, 5 Rutland Place",1,1,0,0,0,0,0,0,13,0,0,25,0,0,0,0,0,1,0,41,0
,"Palmerston North Girls' High School Hall, Huia Street",14,0,1,0,1,21,1,0,75,1,0,141,1,0,0,2,0,2,0,260,0
,"Palmerston North Senior Citizens Hall, 323-325 Main Street",0,0,1,0,1,2,0,0,8,0,1,25,1,0,0,2,0,2,0,43,0
,"Public Hospital Education Centre, Gate 12, 50 Ruahine Street",2,0,1,0,0,3,1,1,12,0,1,12,0,0,0,2,0,0,0,35,0
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",3,0,0,0,0,2,0,0,17,0,0,12,2,0,0,0,0,0,0,36,0
,"Roslyn School Hall, 38 Kipling Street",1,0,0,0,1,2,0,0,16,0,0,15,1,0,0,0,0,0,0,36,0
,"Salvation Army Hall, 431 Church Street",5,0,0,0,0,5,1,1,10,0,2,22,0,0,0,1,0,1,0,48,0
,"St David's Church Hall, 9 Rainforth Street",0,0,0,0,0,1,1,0,16,0,0,10,1,0,0,1,0,0,0,30,0
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",2,0,0,0,0,1,1,0,10,0,0,16,0,0,0,1,0,1,0,32,0
,"Summerset Retirement Village, 166-186 Ruapehu Drive",32,1,0,0,0,51,9,1,186,1,1,449,33,0,0,3,0,14,0,781,5
,"Terrace End School Hall, 183-209 Ruahine Street",4,0,2,0,0,3,0,0,13,0,0,20,3,0,0,0,0,1,0,46,0
"Pohangina","Pohangina Public Hall, Pohangina Road",6,0,0,2,0,35,5,0,36,0,5,107,6,0,0,0,0,3,0,205,0
"Pukeokahu","Pukeokahu School, Taihape-Napier Road",1,0,0,0,1,0,1,0,4,0,0,24,4,0,0,0,0,0,0,35,2
"Raetihi","Raetihi Primary School Hall, 24 Grey Street",6,0,3,0,0,14,5,2,88,1,8,160,23,0,0,0,0,5,0,315,2
"Rangiwaea Junction","Rangiwaea School, Upper Turakina Valley Road",4,1,0,0,0,0,1,1,4,0,0,50,1,0,0,0,0,1,0,63,0
