Party and Electorate Candidate Votes Recorded at each polling place
"Māngere 22","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Favona","Favona School, Cadrona Place entrance",1,0,7,34,0,30,797,0,21,8,77,54,5,1034,36
,"Koru School, 71 Robertson Road",3,0,3,9,0,20,731,1,6,1,117,46,2,939,21
"Ihumatao","Makaurau Marae, 8 Ruaiti Road",0,0,0,0,0,6,15,0,1,1,8,5,0,36,0
"Mangere","Jean Batten School, 6 Imrie Avenue",1,0,2,13,0,25,763,0,5,5,118,69,0,1001,22
,"Mangere Central School, 254 Kirkbride Road",4,3,3,13,0,17,557,0,4,4,93,36,0,734,13
,"Mangere College, 23 Bader Drive",3,0,6,8,0,17,620,0,8,4,55,50,3,774,23
,"Martin Hautus Pacific Peoples Learning Institute, 55-57 Plumley Crescent",2,1,2,10,0,6,320,0,3,4,46,20,0,414,9
,"Nga Iwi School, 60 Mascot Avenue",2,2,2,9,0,20,734,0,9,5,62,44,0,889,21
,"Robertson Road School, 205 Robertson Road",2,0,1,7,0,23,749,0,12,2,82,51,1,930,18
,"Sir Douglas Bader Intermediate School, 4 Court Town Close",0,0,1,3,0,10,203,0,3,0,19,11,0,250,9
,"Southern Cross Campus, 253 Buckland Road West",2,0,4,6,0,14,796,1,7,0,46,32,0,908,24
,"Te Kura Kaupapa Maori a Rohe o Mangere, 7 Comet Crescent",2,1,0,2,0,3,245,0,5,0,14,13,1,286,10
,"Viscount Learning Community School, 65 Viscount Street",0,0,1,6,0,12,675,0,5,1,32,45,0,777,24
"Mangere Bridge","Mangere Bridge School, Taylor Road Entrance",4,0,6,26,0,97,466,1,10,5,331,82,2,1030,8
,"St James Anglican Church Hall, 27 Church Road",7,0,1,30,0,129,356,0,10,11,419,99,7,1069,9
,"Waterlea School, 17 House Avenue",8,0,4,49,0,118,273,0,10,8,446,96,8,1020,5
"Mangere East","De La Salle College, 81 Gray Avenue",0,0,8,12,0,29,464,0,5,4,120,35,0,677,10
,"Kingsford School, 54 Raglan Street",4,1,3,8,0,14,744,0,8,5,60,45,0,892,7
,"Mangere East Primary School, 21 Yates Road",1,2,1,8,0,17,839,0,7,2,50,49,0,976,23
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",2,0,4,11,0,30,604,0,5,11,140,67,6,880,19
,"Sutton Park School, 89 Vine Street",0,0,2,6,0,15,579,0,2,1,31,26,0,662,19
"Otahuhu","Middlemore Hospital, Hospital Road",0,0,1,1,0,1,62,0,1,2,7,2,1,78,2
"Papatoetoe","Aorere College, 6-8 Selfs Road",4,0,1,9,0,7,219,0,1,4,58,7,0,310,6
,"Kedgley Intermediate School, 181 Portage Road",0,0,2,7,0,26,398,0,1,5,138,63,3,643,17
,"Papatoetoe West School, 1-3 Hillcrest Road",6,2,1,4,0,14,219,0,6,1,78,24,2,357,10
,"Wesley Methodist Church Hall, 37 Kolmar Road",0,0,0,1,0,3,17,0,0,0,7,1,0,29,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Māngere",12,1,7,61,0,124,2653,0,25,12,490,237,7,3629,72
,"Ordinary Votes BEFORE polling day - Taken in Manukau East",1,0,0,10,0,15,192,0,0,2,49,13,0,282,7
,"Ordinary Votes BEFORE polling day - Taken in Manurewa",0,0,0,1,0,1,14,0,1,0,4,5,0,26,0
,"Special Votes BEFORE polling day",0,0,2,6,0,10,482,0,9,2,45,20,0,576,7
,"Special Votes On polling day",4,1,11,26,0,70,1583,1,25,9,271,88,0,2089,49
,"Overseas Special Votes including Defence Force",0,0,0,2,0,6,56,0,0,3,30,5,1,103,5
,"Votes Allowed for Party Only",2,0,9,4,0,33,535,0,37,12,49,26,0,707,13
,"Māngere Total",77,14,95,402,0,962,17960,4,252,134,3592,1466,49,25007,518
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",25525
"Electorate Party Valid Votes for Māngere",,"Labour Party - .7181989043"
"ACT New Zealand",77,.0030791378
"Alliance",14,.0005598432
"Aotearoa Legalise Cannabis Party",95,.0037989363
"Conservative Party",402,.0160754989
"Democrats for Social Credit",0,0
"Green Party",962,.0384692286
"Labour Party",17960,.7181989043
"Libertarianz",4,.0001599552
"Mana",252,.0100771784
"Māori Party",134,.0053584996
"National Party",3592,.1436397809
"New Zealand First Party",1466,.0586235854
"United Future",49,.0019594514
