Party and Electorate Candidate Votes Recorded at each polling place
"Tāmaki Makaurau 66","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
,"Ruapotaka Primary School, 10a Taratoa Street",0,0,1,0,0,3,41,0,7,6,4,5,0,67,3
,"St Patrick's Church Hall, 19 Sunset View Road",0,0,0,0,0,1,13,0,3,2,3,2,0,24,0
,"Tamaki Community Church, 4a Court Crescent",0,0,0,0,0,4,33,0,8,12,3,7,0,67,1
,"Tamaki Intermediate School, 80a Tripoli Road",0,0,0,0,0,6,76,0,9,12,3,15,0,121,1
"Penrose","One Tree Hill College, 421-451 Great South Road",0,0,0,0,0,6,10,0,2,2,3,3,0,26,1
"Royal Oak","Royal Oak Intermediate, 74 Symonds Street (Trafalgar Street entrance)",0,0,0,0,0,1,12,0,1,7,3,7,0,31,1
,"Royal Oak Primary School, Chandler Avenue (663 Manukau Road entrance)",0,0,0,0,0,3,6,0,2,5,4,1,0,21,0
"Three Kings","Three Kings School, 944 Mt Eden Road",0,0,0,0,0,4,16,0,2,7,7,1,0,37,0
,Mt Albert
"Avondale","Avondale College Drama Room, 47 Victor Street (Gate 1 entrance)",0,0,1,1,0,7,30,0,8,8,3,7,0,65,1
,"Rosebank School Hall, 217 Rosebank Road",0,0,1,0,0,11,43,0,20,11,2,20,0,108,1
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",0,0,0,0,0,7,9,0,1,3,3,1,0,24,0
,"Kowhai Intermediate School, 26 Onslow Road",0,0,0,0,0,13,16,0,3,8,5,5,0,50,0
"Morningside","Morningside Church of Christ Hall, 42 Leslie Avenue",0,0,1,0,0,9,10,0,2,2,2,3,0,29,0
"Mt Albert","Gladstone Primary School Hall, 8 Seaview Terrace",0,0,1,0,0,13,15,1,7,6,6,0,1,50,0
,"Marist College, 31 Alberton Avenue",0,0,0,0,0,6,15,0,0,2,7,0,0,30,0
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",0,0,1,1,0,4,10,0,2,10,3,2,0,33,0
,"Mt Albert Kindergarten, 24 Mark Road",0,0,0,0,0,5,6,0,1,5,3,7,0,27,1
,"Mt Albert Methodist Church Hall, corner New North Road & Alexis Avenue",0,0,0,0,0,4,8,0,0,4,1,2,0,19,0
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",0,0,0,0,0,1,4,0,3,3,1,2,0,14,1
,"Mt Albert Primary School Hall, 6 Sainsbury Road (Taylors Road entrance)",0,0,1,0,0,8,9,0,3,8,2,3,0,34,1
,"Owairaka District School Hall, 113 Richardson Road",1,0,0,0,0,8,35,0,6,6,6,11,0,73,0
,"Rossgrove Chapel, 12 Rossgrove Terrace",0,0,1,0,0,7,13,0,0,3,7,2,0,33,0
,"Salvation Army Community Church Hall, 218 Mt Albert Road (Duncan Avenue entrance)",0,0,1,0,0,4,13,0,2,4,4,5,0,33,0
"Mt Eden","Balmoral School Hall, 19 Brixton Road",0,0,0,0,0,5,7,0,0,1,5,1,0,19,0
,"Good Shepherd Parish Hall, 30 Telford Avenue",0,0,0,0,0,1,3,0,1,3,1,0,0,9,0
"Point Chevalier","Baptist Church Hall, 126 Point Chevalier Road",0,0,2,1,0,7,12,0,6,8,3,4,0,43,0
,"Pasadena Intermediate School Hall, 26 Moray Place",0,0,0,0,0,4,9,0,4,1,5,2,0,25,2
,"Point Chevalier Primary School, 7-31 Te Ra Road",0,0,0,0,0,10,10,0,0,3,7,4,0,34,0
,"Selwyn Village Theatre, 43 Target Street",0,0,0,0,0,2,1,0,0,2,1,1,0,7,0
