Party and Electorate Candidate Votes Recorded at each polling place
"Dunedin South 11","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Outram","Outram School",0,1,0,0,0,0,0,0,2,0,24,0,0,21,0,4,0,0,0,52,0
"Portobello","Portobello School, Harrington Point Road",0,2,1,0,0,0,0,0,90,5,244,0,2,84,0,23,0,0,9,460,1
"South Dunedin","Dunedin South Presbyterian Hall, 393 King Edward St",0,9,1,2,1,3,3,0,37,11,614,0,1,137,0,38,0,0,14,871,7
,"Edgar Sports Centre, Lounge 2, Portsmouth Drive",0,3,0,1,0,0,3,0,18,3,115,0,1,69,0,3,0,0,4,220,0
,"Macandrew Intermediate School, 213 Macandrew Road",0,3,3,3,2,1,5,0,46,16,630,1,4,189,0,37,0,0,17,957,3
,"Methodist Church Hall, Wesley Street",0,2,1,3,3,0,0,0,13,1,239,0,2,49,0,16,0,0,5,334,1
,"Salvation Army Hall, 190 King Edward Street",0,6,0,1,1,0,3,0,31,11,437,1,1,122,0,29,0,0,8,651,1
,"St Patrick's Parish Centre, 32 Macandrew Road",0,1,1,0,1,1,1,0,10,4,174,0,0,46,0,14,0,0,11,264,1
"St Clair","St Clair School, 135 Richardson Street",0,11,1,3,2,0,6,0,89,18,675,0,2,375,0,37,0,0,34,1253,4
"St Kilda","Holy Cross Anglican Church, Ajax Street",0,2,0,2,1,2,1,0,23,7,250,0,0,85,0,18,0,0,13,404,1
,"Victoria Flats Recreation Hall, Victoria Road",0,4,0,2,0,0,0,1,14,5,209,0,0,56,0,11,0,0,6,308,1
"Tainui","Tainui School Hall, 41 Tahuna Road",0,7,2,1,0,0,2,0,31,6,375,0,0,137,0,24,0,0,10,595,2
"Waldronville","Waldronville School, 5A Vulcan Road",0,1,0,1,0,0,0,0,11,5,214,0,0,70,0,22,0,0,4,328,1
"Waverley","Otago Sports Car Club Hall, 97 Larnach Road",0,18,1,1,1,0,3,0,50,12,497,1,1,492,0,34,0,0,26,1137,0
,"Rotary Park School, 19 McKerrow Street",0,12,0,1,0,1,1,0,30,5,225,0,0,154,0,19,0,0,11,459,0
"Wingatui","Wingatui Hall, Gladstone Road",0,1,1,1,0,0,1,0,11,4,94,0,0,122,0,10,0,0,6,251,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,1,1,0,1,1,1,0,12,16,428,0,2,224,1,40,2,0,12,742,13
,"Ordinary Votes BEFORE polling day",1,19,3,3,5,0,7,0,165,22,1114,1,7,763,0,91,1,0,43,2245,7
,"Special Votes BEFORE polling day",0,3,0,3,0,0,2,0,13,5,210,0,1,66,0,13,0,0,5,321,3
,"Special Votes On polling day",1,11,2,10,1,1,4,0,136,14,965,1,7,472,0,52,0,1,51,1729,3
,"Overseas Special Votes including defence force",0,4,2,0,0,2,0,0,50,4,158,0,2,63,0,13,0,0,5,303,0
,"Special Votes Allowed for Party Only",0,2,0,3,0,0,0,0,21,0,127,0,6,35,0,5,0,0,2,201,1
,"Dunedin South Total",4,266,52,90,35,30,128,8,1926,500,20348,8,77,9692,4,1563,6,3,879,35619,127
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",35746
"Electorate Party Valid Votes for Dunedin South",,"Labour Party - .5712681434"
"99 MP Party",4,.0001122996
"ACT New Zealand",266,.0074679244
"Alliance",52,.001459895
"Aotearoa Legalise Cannabis Party",90,.0025267413
"Christian Heritage NZ",35,.0009826216
"Democrats for Social Credit",30,.0008422471
"Destiny New Zealand",128,.0035935877
"Direct Democracy Party",8,.0002245992
"Green Party",1926,.0540722648
"Jim Anderton's Progressive",500,.0140374519
"Labour Party",20348,.5712681434
"Libertarianz",8,.0002245992
"Mâori Party",77,.0021617676
"National Party",9692,.2721019681
"New Zealand Family Rights Protection Party",4,.0001122996
"New Zealand First Party",1563,.0438810747
"OneNZ Party",6,.0001684494
"The Republic of New Zealand Party",3,.0000842247
"United Future New Zealand",879,.0246778405
