Party and Electorate Candidate Votes Recorded at each polling place
"Auckland Central 1","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
,"Special Votes On polling day",164,0,19,0,9,660,28,10,1525,2,44,1728,63,10,3,36,3,24,2,4330,12
,"Overseas Special Votes including defence force",43,2,1,0,0,256,3,1,453,3,15,602,9,0,0,1,1,2,0,1392,4
,"Votes Allowed for Party Only",17,1,8,1,3,107,9,3,317,4,26,288,15,3,1,8,1,3,0,815,1
,"Auckland Central Total",1456,11,101,10,38,5446,226,70,12166,27,328,14112,806,73,16,132,10,168,12,35208,101
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",35309
"Electorate Party Valid Votes for Auckland Central",,"National Party - .4008179959"
"ACT New Zealand",1456,.0413542377
"Alliance",11,.000312429
"Aotearoa Legalise Cannabis Party",101,.0028686662
"Democrats for Social Credit",10,.0002840264
"Family Party",38,.0010793002
"Green Party",5446,.1546807544
"Jim Anderton's Progressive",226,.0064189957
"Kiwi Party",70,.0019881845
"Labour Party",12166,.3455464667
"Libertarianz",27,.0007668712
"Maori Party",328,.0093160645
"National Party",14112,.4008179959
"New Zealand First Party",806,.0228925244
"New Zealand Pacific Party",73,.0020733924
"RAM - Residents Action Movement",16,.0004544422
"The Bill and Ben Party",132,.0037491479
"The Republic of New Zealand Party",10,.0002840264
"United Future",168,.0047716428
"Workers Party",12,.0003408316
