Party and Electorate Candidate Votes Recorded at each polling place
"Mt Roskill 27","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
,"Salvation Army Community Church Hall, Duncan Avenue",6,0,0,0,0,9,2,1,140,0,0,49,6,3,0,3,0,3,0,222,0
"Three Kings","Mt Roskill Primary School, 37 Frost Road",26,0,5,0,3,19,6,6,448,0,2,466,8,5,1,4,0,5,0,1004,3
,"Three Kings School, 944 Mt Eden Road",38,0,1,0,4,56,6,5,355,1,6,484,19,2,1,5,0,5,0,988,5
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",2,0,0,0,1,7,2,5,142,0,1,133,10,0,0,0,0,2,0,305,5
,"Ordinary Votes BEFORE polling day",97,2,2,1,10,119,23,15,1107,0,12,1199,100,18,1,5,0,21,2,2734,9
,"Special Votes BEFORE polling day",7,1,3,0,2,26,5,6,240,0,1,193,10,4,0,2,1,1,0,502,1
,"Special Votes On polling day",83,2,20,0,7,162,27,17,1354,0,17,1158,62,35,2,14,2,10,0,2972,14
,"Overseas Special Votes including defence force",15,2,0,1,0,42,0,5,178,0,0,226,9,4,1,0,0,1,0,484,0
,"Votes Allowed for Party Only",12,1,5,0,4,26,7,3,307,0,20,125,18,12,0,2,1,5,1,549,3
,"Mt Roskill Total",1165,23,90,7,119,1459,281,198,14533,8,163,14346,955,302,16,104,8,296,12,34085,188
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34273
"Electorate Party Valid Votes for Mt Roskill",,"Labour Party - .4263752384"
"ACT New Zealand",1165,.0341792577
"Alliance",23,.0006747836
"Aotearoa Legalise Cannabis Party",90,.0026404577
"Democrats for Social Credit",7,.0002053689
"Family Party",119,.0034912718
"Green Party",1459,.0428047528
"Jim Anderton's Progressive",281,.0082440956
"Kiwi Party",198,.0058090069
"Labour Party",14533,.4263752384
"Libertarianz",8,.0002347073
"Maori Party",163,.0047821622
"National Party",14346,.4208889541
"New Zealand First Party",955,.0280181898
"New Zealand Pacific Party",302,.0088602024
"RAM - Residents Action Movement",16,.0004694147
"The Bill and Ben Party",104,.0030511955
"The Republic of New Zealand Party",8,.0002347073
"United Future",296,.0086841719
"Workers Party",12,.000352061
