Party and Electorate Candidate Votes Recorded at each voting place
"Auckland Central 1","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Overseas Special Votes including Defence Force",21,0,0,14,0,0,506,34,264,5,607,37,0,1,1,1490,0
,"Votes Allowed for Party Only",7,4,0,11,0,0,201,33,168,8,326,37,1,0,0,796,7
,"Auckland Central Total",329,85,10,486,3,2,6242,553,6101,158,12652,1459,7,17,53,28157,99
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",28256
"Electorate Party Valid Votes for Auckland Central",,"National Party - .4493376425"
"ACT New Zealand",329,.0116844834
"Aotearoa Legalise Cannabis Party",85,.0030187875
"Ban1080",10,.0003551515
"Conservative",486,.0172603615
"Democrats for Social Credit",3,.0001065454
"Focus New Zealand",2,.0000710303
"Green Party",6242,.2216855489
"Internet MANA",553,.0196398764
"Labour Party",6101,.2166779131
"Māori Party",158,.0056113933
"National Party",12652,.4493376425
"New Zealand First Party",1459,.0518165998
"NZ Independent Coalition",7,.000248606
"The Civilian Party",17,.0006037575
"United Future",53,.0018823028
