Party and Electorate Candidate Votes Recorded at each polling place
"Hutt South 18","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,"Special Votes Allowed for Party Only",0,1,0,2,0,0,0,0,16,1,176,0,12,50,1,8,0,0,1,268,4
,"Hutt South Total",7,420,27,77,21,9,181,4,1831,337,15534,21,193,11464,11,1262,4,3,1267,32673,144
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",32817
"Electorate Party Valid Votes for Hutt South",,"Labour Party - .4754384354"
"99 MP Party",7,.0002142442
"ACT New Zealand",420,.0128546506
"Alliance",27,.0008263704
"Aotearoa Legalise Cannabis Party",77,.0023566859
"Christian Heritage NZ",21,.0006427325
"Democrats for Social Credit",9,.0002754568
"Destiny New Zealand",181,.0055397423
"Direct Democracy Party",4,.0001224252
"Green Party",1831,.0560401555
"Jim Anderton's Progressive",337,.0103143268
"Labour Party",15534,.4754384354
"Libertarianz",21,.0006427325
"Mâori Party",193,.005907018
"National Party",11464,.3508707495
"New Zealand Family Rights Protection Party",11,.0003366694
"New Zealand First Party",1262,.0386251645
"OneNZ Party",4,.0001224252
"The Republic of New Zealand Party",3,.0000918189
"United Future New Zealand",1267,.0387781961
