Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tokerau 68","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Omapere","Opononi Area School, 263 State Highway 12",0,0,2,0,0,16,61,0,55,13,6,19,0,172,8
"Opua","Opua School, Franklin Street",0,0,1,0,0,3,10,0,2,4,4,2,0,26,1
"Opuawhanga","Opuawhanga Hall, North Road",0,0,0,0,0,1,3,0,1,1,0,5,0,11,0
"Oromahoe","Oromahoe School, Te Aute Road",0,0,0,0,0,3,10,0,7,0,0,1,0,21,0
"Paihia","Paihia School, School Road",0,0,3,1,0,16,57,0,39,15,13,10,0,154,2
"Pakaraka","Pakaraka School, State Highway 10",0,0,2,0,0,2,11,0,5,2,3,5,0,30,0
"Pakotai","Pakotai School, Ruddell Road (off Mangakahia Road)",0,0,0,0,0,3,10,0,2,2,0,13,0,30,4
"Pamapuria","Pamapuria School, 6970 State Highway 1",0,0,1,0,0,7,25,0,16,4,5,3,0,61,2
"Panguru","Panguru Development Trust Board, Panguru Road",0,0,0,0,0,4,49,0,47,7,9,6,0,122,9
"Paparoa","Paparoa School, Franklin Road",0,0,1,0,0,4,3,0,3,1,1,3,0,16,0
"Pawarenga","Te Kura o Hata Maria, Te Riha Road",0,0,1,0,0,3,5,0,16,2,0,3,0,30,0
"Peria","Peria School, 1430 Oruru Road",0,0,0,0,0,5,17,0,16,4,2,2,0,46,2
"Pipiwai","Te Horo School, 3239 Pipiwai Road",0,0,1,0,0,1,20,0,27,12,3,19,0,83,7
"Port Albert","Port Albert Hall, 980 Port Albert Road",0,0,0,0,0,0,2,0,0,2,3,2,0,9,0
"Pouto","Rangitane Community Centre, Pouto Road",0,0,0,0,0,0,3,0,6,1,0,9,0,19,1
"Pukenui","Pukenui School, Lamb Road",0,0,1,0,0,5,12,0,15,3,11,4,0,51,1
"Pukepoto","Pukepoto School, 818 Awaroa Road",0,0,1,0,0,3,18,0,23,2,2,1,0,50,0
"Punaruku","Whangaruru School, 2916 Old Russell Road",0,0,0,0,0,1,5,0,8,1,0,9,0,24,0
"Rawene","Rawene School, Marmon Street",0,0,2,0,0,17,31,0,35,3,5,3,1,97,6
"Rawhiti","Rawhiti Kohanga Reo, Te Rawhiti Marae, 221 Te Rawhti Road ",0,0,0,0,0,5,4,0,24,4,0,2,0,39,0
"Ruawai","Ruawai Primary School, Main Road",0,0,0,1,0,1,11,0,11,4,6,8,0,42,3
"Russell","Russell School, Baker Street",1,0,1,0,0,9,26,0,13,3,12,9,0,74,3
"Taheke","Taheke Health Centre, 3735 Horeke Road",0,0,1,1,0,5,20,0,51,7,0,11,0,96,2
"Taipa","Taipa Area School, 578 State Highway 10",0,0,5,0,0,9,37,0,39,3,9,3,0,105,1
"Takahue","Takahue Community Hall, Takahue Saddle Road",0,0,0,0,0,0,5,0,2,1,0,2,0,10,0
"Tangiteroria","Tangiteroria Primary School, 3078 State Highway 14",0,0,0,0,0,2,8,0,2,3,1,2,0,18,1
"Tangowahine","Tangowahine Primary School, Tangowahine Valley Road",0,0,0,0,0,2,2,0,2,1,0,0,0,7,0
