Party and Electorate Candidate Votes Recorded at each voting place
"Maungakiekie 26","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Ordinary Votes BEFORE polling day",155,15,3,265,4,5,656,90,2878,37,3284,639,1,3,13,8048,65
,"Special Votes BEFORE polling day",18,4,0,37,0,0,183,33,583,7,504,100,1,1,4,1475,22
,"Special Votes On polling day",28,16,1,84,2,1,310,39,1051,23,1170,180,0,2,7,2914,13
,"Overseas Special Votes including Defence Force",8,2,0,13,0,0,117,9,122,5,270,14,0,1,1,562,0
,"Votes Allowed for Party Only",4,16,1,23,0,1,96,32,436,14,268,45,1,0,3,940,10
,"Maungakiekie Total",512,113,11,1095,8,8,3270,377,12199,187,14394,2283,10,14,80,34561,270
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34831
"Electorate Party Valid Votes for Maungakiekie",,"National Party - .4164810046"
"ACT New Zealand",512,.0148143862
"Aotearoa Legalise Cannabis Party",113,.0032695813
"Ban1080",11,.0003182778
"Conservative",1095,.031683111
"Democrats for Social Credit",8,.0002314748
"Focus New Zealand",8,.0002314748
"Green Party",3270,.0946153178
"Internet MANA",377,.0109082492
"Labour Party",12199,.3529701108
"Māori Party",187,.0054107231
"National Party",14394,.4164810046
"New Zealand First Party",2283,.0660571164
"NZ Independent Coalition",10,.0002893435
"The Civilian Party",14,.0004050809
"United Future",80,.0023147478
