Party and Electorate Candidate Votes Recorded at each polling place
"Selwyn 47","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Aidanfield","ABC Development Learning Centre, 50 Kinsella Crescent",25,0,0,0,1,30,17,10,206,0,1,507,12,0,0,2,0,7,0,818,5
"Akaroa","Akaroa Gaiety Hall, 105 Rue Jolie",21,0,3,0,4,90,8,0,134,0,1,277,16,0,0,0,1,4,0,559,3
"Arthurs Pass","Arthurs Pass Community Hall, School Terrace",1,0,0,0,0,11,1,0,12,0,0,15,2,0,0,1,0,0,0,43,0
"Banks Peninsula","Duvauchelle Hall, Main Road",4,0,0,0,0,29,6,3,44,0,0,126,7,0,0,0,0,3,0,222,2
,"Le Bons Bay School, Le Bons Bay Road",0,0,0,0,1,24,0,1,4,0,0,24,3,0,0,0,0,1,0,58,0
,"Little Akaloa Community Hall, Main Road",2,0,0,0,0,4,2,0,7,0,0,27,1,0,0,0,0,0,0,43,0
,"Okains Bay School, Okains Bay Road",3,0,0,0,0,5,2,0,9,0,4,27,2,0,0,0,0,0,0,52,0
,"Pigeon Bay Boating Club, Wharf Road",0,0,0,0,0,10,0,0,1,0,0,27,3,0,0,0,0,0,0,41,0
,"Wainui Community Centre, Wainui Main Road",6,0,0,0,0,5,3,2,13,0,0,36,3,0,0,0,0,0,0,68,0
"Broadfield","Broadfield School, corner Shands & Robinsons Roads",17,0,0,0,3,12,3,1,57,0,6,250,20,0,0,3,0,7,0,379,1
"Brookside","Brookside St Luke's Sunday School Hall, Brookside-Burnham Road",2,0,0,0,0,6,1,0,34,1,0,89,4,0,0,0,0,1,0,138,0
"Burnham","Burnham School Hall, corner Chaytor Avenue & Godley Road",9,0,1,0,0,22,10,1,117,0,8,212,14,0,0,5,0,6,0,405,1
"Cashmere","Princess Margaret Hospital, 97 Cashmere Road, Entrance 4",8,0,0,0,0,22,5,2,30,0,2,51,1,0,0,0,0,0,0,121,0
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",1,0,0,0,0,13,0,0,14,0,1,20,1,0,0,3,0,1,0,54,0
,"Christchurch Art Gallery, corner Worcester Boulevard & Montreal Streets",0,0,1,0,0,4,0,0,6,0,0,18,0,0,0,1,0,0,0,30,0
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",0,0,0,0,0,2,1,0,11,0,0,9,0,0,0,0,0,1,0,24,0
"Darfield","Darfield High School, McLaughlins Road",26,0,4,0,12,26,15,10,180,0,1,463,27,0,0,5,0,13,0,782,2
,"Malvern Order of St John, corner Currie Street & North Terrace",21,0,1,0,12,39,18,4,187,0,2,338,27,0,0,5,0,8,0,662,5
"Diamond Harbour","Diamond Harbour Community Centre, Waipapa Avenue",9,0,0,0,0,65,4,2,85,1,2,77,8,0,0,0,0,1,0,254,1
,"Diamond Harbour School, 13 Hunters Road",8,0,2,0,0,108,10,2,141,0,1,216,5,0,0,2,0,4,0,499,3
"Dunsandel","Dunsandel Community Hall, corner Dunsandel-Hororata & Browns Roads",26,0,0,0,0,26,17,1,109,0,0,355,16,0,0,8,0,2,0,560,5
"Glentunnel","Glentunnel School, Homebush Road",14,1,2,0,11,34,11,0,99,0,0,153,35,0,0,4,0,2,0,366,3
"Governors Bay","Governors Bay School, Jetty Road",13,0,0,0,0,94,12,1,117,0,0,205,7,0,0,1,0,5,0,455,0
"Greendale","Greendale School, corner Greendale & Bridge Roads",19,0,0,0,0,8,2,0,19,0,0,83,5,0,0,2,0,4,0,142,0
"Greenpark","Greenpark School, 155 Greenpark Road",7,0,0,0,0,22,8,0,37,0,3,149,10,0,0,0,0,5,0,241,1
"Halswell","Catholic Church Hall, 56 Nicholls Road",30,0,8,0,2,80,46,7,496,0,7,827,43,0,0,7,0,23,0,1576,9
,"Halswell School Hall, corner Kennedys Bush & School Roads",52,0,3,0,1,127,41,9,368,0,3,731,36,0,0,11,0,22,0,1404,8
,"St Mary's Anglican Church Hall, 329 Halswell Road",43,2,2,0,6,96,34,8,619,0,3,982,55,0,0,10,0,21,0,1881,14
"Harewood","Harewood Playcentre, 719 Harewood Road",12,0,2,0,0,13,5,1,75,0,1,172,9,0,0,0,0,1,0,291,3
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",0,0,0,0,0,3,1,0,11,0,0,16,2,0,0,0,0,0,0,33,0
"Hillmorton","Rowley School, 48 Rowley Avenue",1,0,1,0,0,2,2,0,21,0,0,6,0,0,0,1,0,1,0,35,0
"Hornby","Hornby Library, Goulding Avenue",3,1,1,0,0,3,2,0,21,0,0,34,3,0,0,0,0,0,0,68,0
,"South Hornby School, Shands Road",0,0,0,0,0,2,0,0,13,0,0,19,2,0,0,0,0,0,0,36,0
,"St Columba's Church Hall, 452 Main South Road",2,0,0,0,0,1,6,0,16,0,2,20,3,0,0,0,0,1,0,51,1
"Hororata","Hororata Primary School Library, 2548 Bealey Road",42,0,1,0,8,22,3,2,72,0,1,213,13,0,0,1,0,6,0,384,0
"Irwell","Irwell Hall, corner Leeston & Selwyn Lake Roads",19,0,0,1,4,13,4,2,53,0,2,180,11,0,0,4,0,0,0,293,2
"Killinchy","Killinchy Community Centre, Leeston-Dunsandel Road",13,0,0,0,0,8,3,1,35,0,2,101,5,0,0,0,0,2,0,170,0
"Kirwee","Kirwee Model School, School Lane",18,1,1,0,1,32,5,3,103,1,0,384,8,0,2,4,0,5,0,568,1
