Party and Electorate Candidate Votes Recorded at each polling place
"Mt Albert 26","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Avondale","Avondale Baptist Church, corner Blockhouse Bay & New North Roads",12,0,1,0,0,34,3,0,144,0,2,138,7,4,0,1,0,3,0,349,3
,"Avondale College (Music Room M1 Gate 2), 47 Victor Street",22,1,1,0,2,65,4,3,497,0,11,294,29,14,3,2,1,2,1,952,14
,"Avondale Community Centre, 99 Rosebank Road",19,0,1,0,1,30,6,8,426,0,3,126,25,24,0,4,0,1,1,675,9
,"Avondale Primary School, Crayford Street West",9,1,1,0,0,18,3,3,111,0,1,59,14,5,0,0,0,1,0,226,4
,"Rosebank School Hall, 217 Rosebank Road",37,0,9,0,7,78,18,8,870,0,14,401,63,48,1,4,0,5,0,1563,26
"Balmoral","Balmoral School Hall, 19 Brixton Road",29,1,2,0,1,80,3,5,259,1,2,293,9,0,0,4,0,6,0,695,1
,"Balmoral Scout Group, 1a Waitomo Avenue (in Pollard Park)",4,0,0,0,0,12,1,0,21,0,0,25,0,0,0,0,0,1,0,64,0
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",1,0,0,0,1,21,1,0,27,0,2,22,1,1,0,1,0,0,0,78,0
,"Grey Lynn Library Hall, 474 Great North Road",0,0,0,0,0,14,1,0,42,0,2,25,4,3,0,0,0,0,0,91,1
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",14,0,1,0,0,82,2,1,158,0,8,143,12,5,0,2,2,3,0,433,3
,"Kowhai Intermediate School Hall, 26 Onslow Road",50,0,6,1,0,225,9,1,508,0,8,393,24,2,0,11,0,5,0,1243,8
,"The Church in Auckland Hall, 621 New North Road",15,0,2,0,0,62,2,0,208,0,2,154,7,5,0,3,0,8,0,468,1
"Morningside","Morningside Church of Christ Hall, 42 Leslie Avenue",13,0,2,1,1,65,7,2,201,2,0,205,13,2,0,2,0,2,0,518,3
"Mt Albert","Gladstone Primary School, 8 Seaview Terrace",43,1,2,0,3,153,10,5,471,0,9,416,22,2,2,2,3,5,1,1150,10
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",29,1,0,0,6,85,4,10,297,0,5,363,12,3,0,4,0,7,0,826,7
,"Mt Albert Grammar School Hall, 36 Alberton Avenue",47,1,5,0,7,125,11,7,501,1,7,655,45,3,2,5,2,12,0,1436,9
,"Mt Albert Kindergarten, 24 Mark Road",16,0,3,0,0,100,3,2,256,1,2,259,23,4,0,1,0,9,0,679,5
,"Mt Albert Methodist Church Hall, Alexis Avenue",37,1,2,0,1,60,7,1,239,0,5,221,24,6,0,3,0,1,0,608,1
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",48,0,0,0,7,58,1,4,324,1,5,440,29,1,0,2,0,2,0,922,5
,"Mt Albert Primary School Hall, 6 Sainsbury Road",19,0,5,0,4,50,6,2,256,0,1,245,12,6,0,6,0,4,0,616,2
,"Rossgrove Chapel Hall, 12 Rossgrove Terrace",44,1,1,0,1,122,9,2,355,1,6,401,35,4,0,3,0,6,0,991,0
"Mt Eden","Auckland Provincial Guide Centre, 132 Grange Road",21,0,0,0,1,39,4,1,106,1,1,124,8,1,0,0,1,2,0,310,1
,"Ficino School, 27 Esplanade Road",1,0,1,0,0,4,0,0,8,0,0,18,0,1,0,0,0,0,0,33,1
,"Good Shepherd Parish Hall, 30 Telford Avenue",34,0,1,0,0,45,6,1,214,0,3,233,22,3,0,1,0,9,0,572,2
