Party and Electorate Candidate Votes Recorded at each polling place
"Napier 28","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Ahuriri","Port Ahuriri School, 15 Lever Street",63,1,1,0,1,97,2,1,374,1,6,608,38,0,0,9,0,6,1,1209,3
"Bay View","King George Hall, 1 Hill Road",68,0,4,0,4,54,7,3,297,0,7,633,35,1,1,5,0,6,0,1125,4
"Bluff Hill","Napier Central School, 32 Napier Terrace",79,3,3,0,1,126,3,3,322,1,2,610,22,0,0,9,1,9,1,1195,4
,"Napier Girls' High School, 4 Clyde Road",16,0,2,0,0,42,5,0,96,0,1,206,9,0,0,1,0,2,0,380,1
"Camberley","Hawkes Bay Regional Hospital, Main Entrance, Omahu Road",1,0,1,0,0,1,0,0,28,0,0,34,4,0,0,0,0,0,0,69,0
"Clive","Clive Community Hall, Main Road",1,0,0,0,0,8,0,0,18,0,1,33,1,0,0,0,0,0,1,63,0
"Eskdale","Eskdale School, 324 Hill Road",12,0,2,0,0,11,0,0,41,1,0,131,5,1,0,0,0,2,0,206,0
"Frasertown","Frasertown School, 4 Russell Parade",7,1,0,0,0,10,1,0,57,0,1,150,11,0,0,1,0,1,0,240,1
"Greenmeadows","Girl Guides Hall, corner Auckland Road & York Avenue",61,0,6,0,2,58,18,10,589,0,4,947,65,0,0,4,1,15,0,1780,6
,"Greenmeadows Game Farm, 22 Burness Road",14,0,1,0,0,14,3,2,65,0,5,175,10,0,0,2,0,0,0,291,1
,"Greenmeadows Primary Public School, 45 Osier Road",56,2,1,0,4,63,10,16,518,0,4,767,61,0,0,10,0,13,0,1525,10
,"Salvation Army Hall, 56 Tait Drive",31,0,4,0,1,31,8,11,245,0,7,290,22,0,0,3,0,6,1,660,3
"Kotemaori","Kotemaori School, State Highway 2",2,0,1,0,0,0,0,0,16,0,1,36,3,0,0,0,0,0,0,59,2
"Mahia","Te Mahia School, 457 East Coast Road",5,0,0,0,0,6,1,0,52,0,6,117,16,0,0,0,0,3,0,206,3
"Maraenui","Maraenui Bilingual School, 2a Lister Crescent",1,1,2,0,0,7,1,0,138,0,2,41,16,8,0,1,0,0,0,218,3
,"Richmond School, 13a Barnard Avenue",2,0,0,1,1,14,2,4,201,0,6,56,13,16,1,4,0,2,2,325,5
"Marewa","Church of Christ Building, 19 Douglas McLean Avenue",29,1,1,0,1,43,2,5,293,0,1,301,29,0,0,1,0,4,0,711,1
