Party and Electorate Candidate Votes Recorded at each polling place
"Ohariu-Belmont 36","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,"Special Votes BEFORE polling day",0,0,0,0,0,0,0,0,7,1,36,0,1,28,0,2,0,0,5,80,0
,"Special Votes On polling day",0,38,1,11,1,0,13,0,186,13,1189,2,8,1074,2,71,0,0,128,2737,4
,"Overseas Special Votes including defence force",0,18,3,0,1,0,0,0,71,3,398,2,3,401,0,15,0,0,35,950,2
,"Special Votes Allowed for Party Only",0,3,1,3,0,0,2,1,21,2,169,0,6,96,0,11,1,0,12,328,2
,"Ohariu-Belmont Total",16,554,16,58,17,4,127,2,2174,239,14720,21,104,16042,8,1024,5,3,2063,37197,73
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37270
"Electorate Party Valid Votes for Ohariu-Belmont",,"National Party - .4312713391"
"99 MP Party",16,.0004301422
"ACT New Zealand",554,.0148936742
"Alliance",16,.0004301422
"Aotearoa Legalise Cannabis Party",58,.0015592655
"Christian Heritage NZ",17,.0004570261
"Democrats for Social Credit",4,.0001075356
"Destiny New Zealand",127,.0034142538
"Direct Democracy Party",2,.0000537678
"Green Party",2174,.0584455736
"Jim Anderton's Progressive",239,.0064252493
"Labour Party",14720,.3957308385
"Libertarianz",21,.0005645617
"Mâori Party",104,.0027959244
"National Party",16042,.4312713391
"New Zealand Family Rights Protection Party",8,.0002150711
"New Zealand First Party",1024,.0275291018
"OneNZ Party",5,.0001344194
"The Republic of New Zealand Party",3,.0000806517
"United Future New Zealand",2063,.0554614619
