Party and Electorate Candidate Votes Recorded at each voting place
"Tāmaki Makaurau 67","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",0,0,0,0,0,0,12,3,10,4,1,3,0,0,1,34,0
,"AUSA Club Space, The Quad, Auckland University",0,0,0,0,0,0,5,1,2,1,0,2,0,0,0,11,0
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",0,0,0,0,0,0,6,1,5,3,0,3,0,0,0,18,0
,"Liston House, 30-32 Hobson Street",0,0,0,0,0,0,5,2,10,1,3,3,0,0,0,24,0
,"Methodist Church Wesley Hall, 78 Pitt Street",0,0,0,0,0,0,10,8,22,5,4,6,0,0,0,55,1
"Freemans Bay","Freemans Bay Community Centre Auditorium, 52 Hepburn Street",0,0,0,0,0,0,6,3,8,6,5,5,0,0,0,33,0
"Grafton","Auckland City Hospital, Foyer, 2 Park Road",0,0,0,0,0,0,4,5,7,3,2,7,0,0,0,28,0
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",0,0,0,1,0,0,8,3,7,1,6,3,0,0,0,29,0
"Grey Lynn","Richmond Road School, 113 Richmond Road ",0,0,0,0,0,0,9,1,7,1,4,1,0,0,0,23,0
"Herne Bay","Bayfield School, 2 Clifton Road ",0,0,0,0,0,0,3,3,7,6,8,2,0,0,0,29,0
,"Marist School, 82 Kelmarna Avenue",0,0,0,0,0,0,5,1,4,0,1,3,0,0,0,14,0
,"St Stephen's Presbyterian Church Hall, 65 Jervois Road",0,0,0,0,0,0,4,1,3,2,2,1,0,0,0,13,0
"Newton","Unitarian Church Hall, 1A Ponsonby Road",0,0,0,1,0,0,4,0,3,0,1,1,0,0,0,10,0
"Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",0,0,0,0,0,0,10,4,12,3,8,4,0,0,0,41,0
,"Leys Institute Hall, Lecture Room, 20 St Marys Road",0,0,0,0,0,0,3,0,1,2,3,0,0,0,0,9,0
,"Ponsonby Primary School, 44 Curran Street",0,0,0,0,0,0,1,0,1,2,2,1,0,0,0,7,0
,"Sacred Heart Parish Hall, 24 Vermont Street",0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,6,0
,"St Mary's College, 11 New Street",0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,6,0
,"St Paul's College (Library), 183 Richmond Road",0,0,0,0,0,0,6,2,5,0,2,1,0,0,0,16,0
"Westmere","Hawke Sea Scouts Hall, 55 West End Road",0,0,0,0,0,0,2,1,1,0,3,1,0,0,0,8,0
,Botany
"Botany Downs","Botany Downs Primary School, 35 Mirrabooka Avenue",0,0,0,0,0,0,3,0,1,1,5,2,0,0,0,12,0
,"Botany Downs Secondary College, 575 Chapel Road",0,1,0,1,0,0,0,0,4,1,10,8,0,0,0,25,0
,"Elim Christian Centre, 159 Botany Road",0,0,0,0,0,0,1,0,3,2,3,6,0,0,0,15,1
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",0,0,0,0,0,0,3,2,13,5,3,5,0,0,0,31,0
"Burswood","East City Wesleyan Church, 219 Burswood Drive",0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,6,0
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",0,0,0,2,0,0,3,5,30,3,8,15,0,0,0,66,0
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",0,0,0,0,0,0,0,1,3,1,1,2,0,0,0,8,0
"Dannemora","Point View Primary School, 25 Kilkenny Drive",0,0,0,0,0,0,1,2,1,1,3,0,0,0,0,8,0
"Flat Bush","Dawson Road Primary School, 15 Haumia Way",0,2,0,1,0,0,7,8,42,8,0,9,0,0,0,77,2
,"Kia Aroha College, 51 Othello Drive",0,3,0,0,0,0,5,4,58,11,2,11,0,0,1,95,0
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",0,0,0,0,0,0,1,0,8,0,6,5,0,0,0,20,0
"Howick","Cockle Bay School, 24 Sandspit Road",0,0,0,0,0,0,0,1,5,2,6,4,0,0,0,18,0
"Meadowlands","Auckland Fiji Methodist Church, 128 Whitford Road",0,0,0,0,0,0,1,0,6,1,6,3,0,0,0,17,0
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",0,0,0,2,0,0,1,0,1,0,3,2,0,0,0,9,0
"Somerville","Somerville Intermediate School, 39 Somerville Road",0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,6,0
,Epsom
"Epsom","Auckland Grammar School, 85 Mountain Road",0,0,0,0,0,0,2,0,2,0,7,1,0,0,0,12,0
,"Epsom Girls Grammar School, 14 Silver Road",0,0,0,0,0,0,4,1,4,2,1,2,0,0,0,14,0
,"Epsom Normal School, 41 The Drive",0,0,0,0,0,0,2,0,1,3,4,0,0,0,0,10,0
,"St George's Church Hall, 19 Ranfurly Road",1,0,0,0,0,0,5,0,1,0,2,1,0,0,0,10,0
"Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",0,0,0,0,0,0,7,0,5,2,1,1,0,0,0,16,0
"Mt Eden","Auckland Normal Intermediate, 24 Poronui Street",0,0,0,0,0,0,3,0,1,0,3,1,0,0,0,8,0
,"Ficino School, 27 Esplanade Road",0,0,0,0,0,0,2,0,3,1,1,1,0,0,0,8,0
,"Mt Eden Normal Primary School, 73 Valley Road",0,0,0,0,0,0,4,1,10,3,7,3,0,0,0,28,0
,"Valley Road International Church Hall, 393 Mt Eden Road",0,1,0,0,0,0,4,2,5,1,5,2,0,0,0,20,0
"Parnell","Holy Trinity Cathedral, corner St Stephens Avenue & Parnell Road",0,0,0,0,0,0,7,0,4,2,2,1,0,0,0,16,1
,"Jubilee Hall, Parnell Community Centre, 545 Parnell Road",0,0,0,1,0,0,5,2,9,2,5,2,0,0,0,26,0
,"Parnell District School, 48 St Stephens Avenue",0,0,0,0,0,0,8,1,3,3,15,3,0,0,0,33,0
"Remuera","Remuera Intermediate School, 64-72 St Vincent Avenue",0,0,0,0,0,0,3,0,3,0,4,1,0,0,0,11,0
,"Remuera Primary School, 25-33 Dromorne Road",1,0,0,0,0,0,0,0,2,1,2,1,0,0,0,7,0
,"Somervell Presbyterian Church and Community Centre, 497 Remuera Road",0,0,0,0,0,0,3,0,3,1,9,0,0,0,0,16,0
,"St Mark's Church Hall, 95 Remuera Road",0,0,0,0,0,0,3,1,3,4,2,2,0,0,0,15,0
,"Victoria Avenue School, 250 Victoria Avenue",0,0,0,0,0,0,5,0,2,2,4,1,0,0,0,14,0
,Helensville
"Henderson","Henderson Valley Primary School, 389 Henderson Valley Road",0,0,0,0,0,0,4,1,4,3,5,3,0,0,0,20,0
"Huia","Huia Hall, 1253 Huia Road",1,1,0,0,0,0,4,1,5,2,1,4,0,0,0,19,0
"Laingholm","Laingholm Primary School, 54 Victory Road",0,0,0,0,0,0,6,1,12,1,7,4,0,0,0,31,0
"Oratia","Oratia District School, 1 Shaw Road",0,0,0,0,0,0,2,0,6,1,8,1,0,0,0,18,0
"Piha","Barnett Hall, 2 North Piha Road",0,0,0,0,0,0,12,1,2,1,3,3,0,0,0,22,0
"Titirangi","Woodlands Park School, 202 Woodlands Park Road",0,0,0,0,0,0,6,0,7,1,5,4,0,0,0,23,0
"Waiatarua","Waiatarua Community Hall, 911 West Coast Road",0,0,0,0,0,0,2,1,1,4,1,1,0,0,0,10,0
,Kelston
"Avondale","Avondale Intermediate School, 12 Holly Street",0,0,1,0,0,0,12,1,18,2,3,5,0,0,0,42,0
,"Rosebank School Hall, 217 Rosebank Road",0,0,0,1,0,0,11,11,42,12,11,20,0,0,0,108,2
"Glen Eden","Catholic Church Hall, 7 Glendale Road",0,1,0,2,0,0,7,3,21,7,2,4,1,0,0,48,1
,"Glen Eden Baptist Church Hall, 97 Glendale Road",0,0,0,0,0,0,5,5,8,6,10,8,0,0,0,42,1
,"Glen Eden Primary School, 3 Glenview Road",0,0,0,0,0,0,8,5,19,5,1,4,0,0,0,42,3
,"Konini School, 44 Withers Road",0,1,0,1,0,0,8,2,19,4,3,6,0,0,0,44,1
,"Prospect School Hall, 76 Rosier Road",0,1,0,0,0,0,7,5,36,6,17,9,0,0,0,81,1
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, 441 West Coast Road",0,0,0,0,0,0,6,2,12,19,4,1,0,0,0,44,0
"Kelston","Kelston Boys High School, corner Archibald & St Leonards Roads (Gate 3)",0,1,0,0,0,0,7,10,20,4,5,1,0,0,0,48,1
,"Kelston Girls College, 1 Archibald Road",0,0,0,0,0,0,4,6,24,8,2,5,0,0,0,49,1
,"St Leonards Road School, 15 St Leonards Road",0,1,0,0,0,0,2,8,23,6,3,12,0,0,0,55,1
"Titirangi","Kaurilands School, 109 Atkinson Road",0,0,0,0,0,0,9,0,9,4,4,6,0,0,0,32,0
"Waterview","Waterview Methodist Church Hall, corner Great North Road & Fir Street",1,0,0,0,0,0,11,6,15,6,4,3,0,0,0,46,3
,Māngere
"Favona","Favona School, Cadrona Place entrance",0,0,0,0,0,0,5,7,51,18,3,11,0,0,0,95,1
,"Koru School, 71 Robertson Road",0,1,0,0,0,0,4,9,32,5,4,7,0,0,0,62,0
"Ihumatao","Makaurau Marae, 8 Ruaiti Road",0,1,0,0,0,0,10,5,44,7,1,6,0,0,0,74,0
"Mangere","Jean Batten School, 6 Imrie Avenue",0,0,0,0,0,0,2,6,17,12,3,8,0,0,0,48,0
,"Mangere Central School, 254 Kirkbride Road",0,0,0,0,0,0,4,6,15,8,1,9,0,0,0,43,2
,"Mangere College, 23 Bader Drive",0,1,0,0,0,0,3,7,22,2,1,12,0,0,1,49,0
,"Mangere Old School Hall, 299 Kirkbride Road",0,0,0,0,0,0,3,7,24,4,3,10,0,0,0,51,0
,"Nga Iwi School, 60 Mascot Avenue",0,2,0,0,0,1,7,12,47,9,2,18,0,0,0,98,8
,"Robertson Road School, 205 Robertson Road",0,0,0,0,0,0,9,12,44,10,1,17,0,0,0,93,1
,"Sir Douglas Bader Intermediate School, 4 Court Town Close",0,0,0,0,0,0,1,1,5,2,0,3,0,0,0,12,0
,"Southern Cross Campus, 253 Buckland Road West",0,1,0,0,0,0,7,6,27,8,2,5,0,0,0,56,1
,"Te Kura Kaupapa Maori a Rohe o Mangere, 7 Comet Crescent",0,1,0,0,0,0,3,15,33,14,0,6,0,0,0,72,3
,"Viscount Learning Community School, 65 Viscount Street",0,2,0,0,0,0,7,8,50,15,2,9,0,0,0,93,2
"Mangere Bridge","Mangere Bridge School, 3-5 Taylor Road Entrance",0,0,0,1,0,0,11,13,40,9,5,19,0,0,0,98,2
,"St James Anglican Church Hall, 27 Church Road",0,0,0,0,0,0,18,7,42,12,7,17,0,0,0,103,0
,"Waterlea School, 17 House Avenue",0,0,0,0,0,0,10,2,21,3,5,9,0,0,0,50,0
"Mangere East","De La Salle College, 81 Gray Avenue",0,0,0,0,0,0,0,5,24,6,9,7,0,0,0,51,0
,"Kingsford School, 54 Raglan Street",0,1,0,0,0,0,9,17,41,9,1,12,1,0,0,91,1
,"Mangere East Primary School, 21 Yates Road",0,1,0,1,0,0,2,14,46,8,1,17,0,0,0,90,1
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",1,0,0,1,0,0,9,9,29,7,1,12,0,0,0,69,0
,"Sutton Park School, 89 Vine Street",0,1,0,0,0,0,6,7,36,14,2,14,0,0,0,80,0
"Papatoetoe","Kedgley Intermediate School, 181 Portage Road",0,1,0,0,0,0,3,6,32,10,3,12,0,0,0,67,0
,Manukau East
"Otahuhu","Fairburn School, 10 Pukeora Road",0,1,0,0,0,0,1,2,18,7,3,5,0,0,0,37,0
,"McAuley High School, 26 High Street",0,0,0,0,0,0,7,8,18,9,1,10,0,0,0,53,0
,"Middlemore Hospital, Hospital Road",0,0,0,0,0,0,2,4,11,3,3,2,0,0,1,26,2
,"Otahuhu College, 74-78 Mangere Road",0,0,0,0,0,0,6,12,27,5,3,9,0,0,0,62,0
,"Otahuhu Intermediate School, 22-24 Luke Street",0,0,0,1,0,0,4,10,19,4,1,16,0,0,0,55,0
,"Otahuhu Primary School, 41 Station Road",0,0,0,0,0,1,12,2,27,9,2,14,0,0,0,67,1
"Otara","Bairds Mainfreight Primary School, 12 Edward Avenue",1,0,0,1,0,0,6,6,35,7,0,16,0,0,0,72,1
,"East Tamaki Primary School, 196 Preston Road",0,3,0,0,0,0,2,6,28,6,0,11,0,0,0,56,1
,"Ferguson Intermediate School, 20-40 Ferguson Road",0,0,0,1,0,0,0,8,30,7,0,18,0,0,0,64,2
,"Flat Bush School, 20 Flat Bush Road",0,1,0,0,0,0,4,11,41,8,0,9,0,0,0,74,1
,"Mayfield School, 12 Pearl Baker Drive",0,5,0,0,0,0,6,14,37,5,2,19,0,0,0,88,0
,"Otara Leisure Centre, Seminar Room, 115 Bairds Road ",0,2,1,0,0,0,6,9,39,6,1,14,0,0,0,78,1
,"Sir Edmund Hillary Collegiate, 67 Otara Road",0,1,0,0,0,0,3,21,33,12,1,11,0,0,0,82,0
,"Wymondley Road School, 77 Wymondley Road",0,0,0,0,0,0,1,2,16,9,1,5,0,0,0,34,0
,"Yendarra School, 226 Bairds Road",0,0,0,1,0,0,3,1,14,11,1,3,0,0,0,34,0
"Papatoetoe","Aorere College, 6-8 Selfs Road",0,0,0,0,0,0,4,5,10,1,1,4,0,0,0,25,0
,"Holy Cross Church Hall, corner Fairview & Carruth Roads",0,2,0,2,0,0,2,6,27,9,7,6,0,0,0,61,1
,"Hunters Plaza Shopping Centre, Shop 24, Great South Road",0,0,0,1,0,0,3,1,5,4,2,3,0,0,0,19,0
,"Omana Kindergarten, 42 Omana Avenue",1,0,0,2,0,0,3,0,6,8,3,4,0,0,0,27,0
,"Papatoetoe Central Primary School, corner Great South Road & Saint George Street",1,0,0,0,0,0,0,6,13,2,1,11,0,0,0,34,0
,"Papatoetoe East Primary School, 138 Tui Road",0,1,0,0,0,0,6,4,31,17,1,9,0,0,0,69,1
,"Papatoetoe High School, 19 Nicholson Avenue",0,0,0,0,0,0,4,7,18,8,2,8,0,0,0,47,0
,"Papatoetoe Intermediate School, 175 Motatau Road",1,0,0,0,0,0,7,4,19,8,7,5,0,0,0,51,0
,"Papatoetoe South School, 60 Milan Road (Kenderdine Road entrance)",0,0,0,0,0,0,3,7,30,2,4,20,0,0,0,66,1
