Party and Electorate Candidate Votes Recorded at each polling place
"Otaki 38","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Foxton","Coley Street School, Coley Street",0,6,1,2,0,0,4,0,15,17,340,0,2,187,0,62,0,0,7,643,1
,"Foxton Primary School, Park Street",1,14,4,2,2,1,4,0,31,18,514,0,12,297,0,84,2,0,26,1012,3
"Foxton Beach","Dawick Street Hall, Dawick Street",1,7,3,2,1,0,3,0,21,14,396,0,3,198,0,76,2,0,19,746,5
"Ihakara","Ihakara Public Hall, cnr Tavistock Road and SH 57",0,1,0,0,0,1,0,0,16,5,88,1,2,218,0,26,0,0,11,369,1
"Levin","Fairfield School, 89 MacArthur Street",0,11,4,2,1,3,6,0,31,29,575,0,6,619,1,119,1,0,50,1458,2
,"Horowhenua College, 63-73 Weraroa Road",0,14,8,4,3,0,4,0,68,25,750,1,18,504,0,102,0,1,42,1544,10
,"Levin Baptist Church, 17-19 Rugby Street",0,4,1,2,1,1,4,1,15,21,347,0,6,193,0,46,1,0,18,661,4
,"Levin City Church Hall, 87 - 89 Cambridge Street",0,3,1,0,0,0,2,0,21,14,313,2,1,213,0,67,0,0,21,658,6
,"Levin East School, 90 Bartholomew Road",0,7,2,3,1,0,4,0,34,29,780,0,11,414,0,105,0,0,42,1432,2
,"Levin Intermediate School, Collingwood Street",0,2,4,1,0,0,0,0,7,9,223,1,9,115,0,36,1,0,13,421,2
,"Levin North School, 142-150 Weraroa Road",0,7,3,1,1,1,6,0,51,21,655,0,11,606,0,125,1,0,39,1528,5
,"Taitoko School, Kinross Street",0,1,1,6,0,0,3,0,8,5,251,0,8,72,0,30,1,0,6,392,2
"Manakau","Manakau District Association Hall, Mokena Kohere Street",1,10,1,0,0,0,0,0,32,5,107,0,4,195,0,29,0,0,5,389,0
"Ohau","Ohau School, Muhunoa East Road",0,4,1,1,0,0,0,0,41,11,203,0,3,305,0,59,0,0,29,657,2
"Opiki","Opiki School, Opiki Road",0,2,0,0,0,0,0,0,7,0,43,0,0,111,0,8,0,0,0,171,1
"Otaki","Hadfield Hall, Te Rauparaha Street",1,4,2,1,1,0,4,0,45,10,443,0,15,244,0,87,0,0,24,881,2
,"Otaki College, Mill Road",0,7,2,2,0,0,4,0,50,6,358,0,11,234,0,66,0,0,25,765,2
,"Waitohu School, Te Manuao Road",0,8,2,1,1,0,2,1,38,12,240,0,3,320,0,50,0,0,26,704,3
"Otaki Beach","Otaki Surf Lifesaving Club Hall, Marine Parade",2,4,0,4,0,1,1,0,39,12,192,0,7,107,0,44,0,0,6,419,0
"Paraparaumu","Kapiti Primary School, Kapiti Road",1,17,4,1,2,0,10,1,55,30,536,0,4,406,0,70,1,0,36,1174,1
,"Paraparaumu School, Ruapehu Street",1,10,1,7,1,3,11,0,50,12,415,0,3,317,0,60,0,0,59,950,5
,"St Paul’s Anglican Church Hall, cnr Kapiti Road & Langdale Ave",0,23,4,1,1,0,4,0,46,25,500,0,6,674,0,99,0,0,64,1447,9
,"The Meadows Church, 1 Realm Drive",0,14,3,1,2,0,11,0,53,17,553,0,2,644,0,79,0,0,69,1448,9
"Paraparaumu Beach","Kapiti Senior Citizens Centre, Ocean Road",0,16,2,1,0,0,5,0,41,28,464,0,1,554,0,98,0,1,62,1273,4
,"Paraparaumu Beach Guide Hall, Te Kupe Road",1,12,0,2,0,1,1,0,44,21,465,0,10,417,0,62,0,0,28,1064,2
,"Paraparaumu Beach School, Gray Avenue",0,9,1,3,0,0,5,0,53,22,556,0,6,608,0,49,0,0,62,1374,1
"Porirua","North City Shopping Centre, Titahi Bay Road",0,0,0,1,0,0,0,0,0,0,11,0,1,10,0,2,0,0,0,25,0
"Poroutawhao","Poroutawhao School, SH 1",1,1,0,1,0,0,0,0,8,2,43,0,3,103,0,7,0,0,2,171,0
"Raumati Beach","Raumati Beach School, Raumati Road",0,2,0,1,1,0,0,0,9,1,56,0,0,62,0,8,0,0,2,142,0
,"Real Life Hall, Kowhai Street",0,0,0,1,0,0,0,0,0,0,14,0,1,17,0,0,0,0,1,34,0
"Shannon","Shannon School, Grey Street",0,8,3,1,0,0,1,0,30,14,310,0,12,246,0,67,1,0,10,703,5
"Te Horo","Te Horo Hall, School Road",2,12,0,1,0,0,2,0,80,10,246,2,6,390,0,33,0,0,15,799,1
"Tokomaru","Tokomaru School, Tokomaru Road",0,6,0,1,0,1,4,0,22,2,116,1,1,151,0,15,0,0,14,334,0
"Waikanae","Kapanui School, 23 Rimu Street",1,7,2,3,0,0,2,0,42,11,384,0,2,507,0,62,0,0,56,1079,2
,"Presbyterian Church Hall, Ngaio Road",0,10,1,1,0,0,1,0,57,26,446,0,3,607,0,84,0,0,55,1291,2
,"Waikanae Baptist Church, 286 Te Moana Road",1,16,2,1,0,2,2,0,52,20,421,0,5,651,0,86,0,0,67,1326,7
,"Waikanae Primary School Hall, Hira Street",0,27,1,2,2,0,10,0,80,15,468,0,8,639,0,69,0,1,49,1371,2
