Party and Electorate Candidate Votes Recorded at each voting place
"Tukituki 54","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Pukehou","Pukehou School, 174 State Highway 2",1,1,1,10,0,0,17,0,9,3,58,4,0,0,1,105,1
"Puketapu ","Puketapu School, 708 Puketapu Road",0,0,1,16,0,0,7,0,12,0,58,5,0,0,0,99,0
"Raukawa","Raukawa Hall, 1403 Raukawa Road",1,0,0,15,0,0,7,0,9,0,66,5,0,0,1,104,0
"Raureka","Ebbett Park School Hall, 600 Oliphant Road",4,2,0,23,0,0,19,3,120,1,168,47,1,0,0,388,1
,"Raureka School Hall, 916 Gordon Road",0,4,0,97,0,0,53,3,272,3,392,88,1,1,2,916,6
"Sherenden","Sherenden School, 2129 Taihape Road",0,0,1,3,0,0,4,1,12,0,105,9,0,0,1,136,0
"Springhill","Springhill Community Hall, 1017 Wakarara Road",0,0,1,2,0,0,2,0,2,0,45,5,0,0,0,57,0
"Taradale","Taradale Primary School, 10 Church Road",0,0,0,6,0,0,3,0,11,0,35,4,0,0,0,59,0
"Te Awanga","Te Awanga Community Centre, 1 Wellwood Terrace",3,1,0,17,0,0,64,2,47,1,212,17,0,0,0,364,1
"Tikokino","Tikokino School, 43 Owen Street",2,0,1,14,0,0,18,0,20,1,141,19,0,1,0,217,0
"Twyford","Twyford School, 142 Twyford Road",0,1,1,16,0,0,17,0,24,0,228,13,0,0,0,300,2
"Waimarama","Mr Huggett's Garage, Redbridge, 585 Waimarama Road",0,0,1,7,0,0,39,0,19,0,131,6,0,0,0,203,0
,"Waimarama School, 27 Taupunga Road",0,0,0,3,0,0,21,3,24,2,53,7,0,0,0,113,0
"Waipawa","Central Hawkes Bay District Council Chambers, 28-32 Ruataniwha Street",3,0,0,6,0,0,11,2,15,1,59,14,0,0,0,111,1
,"Waipawa School, Technology Block, 6 Harker Street",0,0,0,2,0,0,5,0,6,0,28,1,0,0,0,42,0
"Waipukurau","Waipukurau School Hall, St Marys Road",0,0,0,11,0,0,5,0,8,0,78,4,0,0,0,106,0
"Waiwhare","Waiwhare Community Centre, 27 River Road",0,0,0,8,0,0,3,0,2,0,37,6,0,0,1,57,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",36,10,4,686,4,1,695,56,1859,47,5156,686,1,2,13,9256,32
,"Special Votes BEFORE polling day",9,6,1,48,0,0,130,15,235,3,451,62,0,0,1,961,3
,"Special Votes On polling day",6,15,4,92,0,0,232,17,475,12,845,130,0,1,7,1836,3
,"Overseas Special Votes including Defence Force",7,1,0,27,1,0,86,3,60,0,212,21,0,0,1,419,0
,"Votes Allowed for Party Only",0,10,2,7,1,0,29,19,189,15,109,30,0,0,1,412,2
,"Tukituki Total",144,150,50,2357,18,5,3078,244,8205,185,18680,2731,4,12,59,35922,135
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36057
"Electorate Party Valid Votes for Tukituki",,"National Party - .5200155893"
"ACT New Zealand",144,.0040086855
"Aotearoa Legalise Cannabis Party",150,.004175714
"Ban1080",50,.0013919047
"Conservative",2357,.0656143867
"Democrats for Social Credit",18,.0005010857
"Focus New Zealand",5,.0001391905
"Green Party",3078,.0856856522
"Internet MANA",244,.0067924948
"Labour Party",8205,.2284115584
"Māori Party",185,.0051500473
"National Party",18680,.5200155893
"New Zealand First Party",2731,.0760258338
"NZ Independent Coalition",4,.0001113524
"The Civilian Party",12,.0003340571
"United Future",59,.0016424475
