Party and Electorate Candidate Votes Recorded at each polling place
"Rangitikei 44","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Palmerston North","Central Normal School, 201 Featherston St",0,1,0,0,0,0,0,0,2,0,45,0,0,60,0,8,0,0,2,118,0
,"Cloverlea Primary School, 55 Herbert Avenue",0,7,2,1,1,0,0,0,21,18,445,0,5,289,0,58,0,0,24,871,2
,"College St Normal School, 402 College St",0,1,0,0,0,0,0,0,3,0,14,0,1,25,0,4,0,0,0,48,0
,"Girls' High School, 228-242 Fitzherbert Avenue",0,2,0,0,0,0,0,0,2,0,16,0,0,16,0,2,0,0,1,39,0
,"Hokowhitu School, 227 Albert St",0,0,0,0,0,0,0,0,2,0,13,0,0,19,0,1,0,0,1,36,0
,"Intermediate Normal School Hall, 31 South St",0,2,0,1,2,0,0,0,5,0,39,0,0,40,0,5,0,0,1,95,0
,"Kelvin Grove Community Centre, 68 Kaimanawa St",1,4,0,6,2,0,8,0,32,8,548,0,0,338,0,56,0,0,51,1054,3
,"Metlifecare Retirement Village, Fitchett St",0,0,0,0,0,0,0,0,0,0,6,0,1,9,0,4,0,0,0,20,0
,"Milson School, Rutland Place",0,12,0,4,0,0,8,0,41,11,735,0,5,607,1,91,0,0,44,1559,2
,"Monrad Intermediate School, 228 Botanical Rd",0,0,0,1,0,0,0,0,2,0,15,0,0,13,0,4,0,0,0,35,0
,"Order of St John Hall, 92 Cuba St",0,1,0,1,0,0,0,0,4,0,6,0,1,16,0,1,0,0,0,30,0
,"Public Hospital Education Centre, Ruahine St",0,1,0,0,0,0,0,0,2,0,22,0,0,18,0,1,0,0,1,45,0
,"Queen Elizabeth College, 350-382 Rangitikei St",0,1,0,0,0,0,0,0,4,2,23,0,1,35,0,6,0,0,5,77,0
,"Rangiora Community Centre, 98-102 Rangiora Avenue",0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,1,0,0,1,17,0
,"Roslyn School, Kipling and Shelley Streets",0,14,0,3,0,0,4,0,15,3,241,2,4,218,0,36,0,0,14,554,2
,"Russell St School, 19-31 Russell St",0,0,0,0,0,0,0,0,1,0,26,0,0,20,0,2,0,0,1,50,0
,"St David's Church Hall, 9 Rainforth St",0,3,0,0,0,0,1,0,6,2,46,0,0,43,0,5,0,0,4,110,0
,"St Oswald's Church Hall, Kingswood St",0,0,0,1,0,0,0,0,2,1,16,0,0,11,0,1,0,0,0,32,0
,"St Peter's College, 22-38 Rennie Avenue",0,8,1,1,0,0,0,0,24,7,273,0,0,253,0,34,0,0,16,617,2
,"Terrace End School, 183-209 Ruahine St",0,1,0,0,0,0,1,0,6,2,73,0,0,40,0,4,0,0,4,131,0
,"The Salvation Army Hall, 431 Church St",0,1,0,2,1,0,1,0,3,1,21,0,0,23,0,3,0,0,9,65,0
"Pohangina","Pohangina Public Hall, Pohangina Rd",1,1,0,0,0,0,0,0,33,3,35,0,3,93,0,6,0,0,5,180,0
"Pukeokahu","Pukeokahu School, Taihape-Napier Road, RD2 Taihape",0,1,0,0,0,0,1,0,0,4,12,0,0,29,0,1,0,0,0,48,0
"Rangiwaea Junction","Rangiwaea School, Upper Turakina Valley Road, RD1 Taihape",0,2,0,0,0,0,0,0,0,0,3,0,0,29,0,2,0,0,1,37,0
"Rangiwahia","Rangiwahia School, Rural No 2549 Rangiwahia Rd",0,4,0,0,0,0,0,0,2,0,15,0,0,56,0,4,0,0,7,88,0
"Ratana","Te Kura O Ratana/Ratana School, Kiatere St",0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,1,0,0,0,10,0
"Rongotea","Rongotea School, Tyne St",0,8,0,1,1,0,3,0,12,1,148,0,1,248,0,38,0,0,8,469,1
"Sanson","Sanson School, Wellington Road SH 1",0,5,0,0,0,0,2,0,7,2,112,0,1,175,0,41,0,0,10,355,0
"Taihape","St Joseph's School, 6 Wren St",0,5,0,1,0,0,0,0,10,0,47,0,1,61,0,24,0,1,8,158,0
,"Taihape Town Hall, 90 Hautapu St",1,21,0,0,1,1,1,0,20,7,208,1,11,354,0,81,0,0,24,731,0
"Tangimoana","Tangimoana School, 19 Punga Street",0,2,1,1,0,0,0,0,7,0,103,0,0,37,0,9,0,0,4,164,2
"Taonui","Taonui School, 170 Waughs Road",0,8,0,1,0,0,0,0,6,3,48,0,2,102,0,14,0,0,5,189,1
"Taoroa","Taoroa School, Taoroa Junction",0,0,0,0,0,0,2,0,0,0,5,0,1,35,0,1,0,0,0,44,0
"Turakina","Turakina School, Main Rd",0,5,0,0,0,0,0,0,9,1,67,0,3,92,0,21,0,0,5,203,0
"Tutaenui","Tutaenui Public Hall, cnr Griffins Road and Jeffersons Line",1,3,0,0,0,1,0,0,4,2,27,0,0,130,0,6,0,0,3,177,0
"Waiouru","Waiouru Community Centre, Queree Drive",0,3,0,1,1,0,2,0,9,2,119,0,9,136,0,8,0,0,5,295,0
"Waituna West","Waituna West School, 50 Waituna-Tapuae Road",0,3,0,0,0,0,0,0,6,4,24,0,0,111,0,5,0,0,4,157,0
"Whakarongo","Whakarongo School, 17 Stoney Creek Road",0,14,0,0,0,0,0,0,27,3,129,2,1,280,0,28,1,0,19,504,1
"Whangaehu","Whangaehu School, Ruatangata Street",0,2,0,1,0,0,2,0,1,0,10,0,2,43,0,3,1,0,1,66,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,5,0
,"Hospital Votes",0,2,0,0,2,0,0,0,5,1,101,0,2,121,1,17,0,0,3,255,3
,"Ordinary Votes BEFORE polling day",0,47,3,5,7,0,14,0,88,15,840,0,10,1165,0,199,2,0,101,2496,9
,"Special Votes BEFORE polling day",0,2,1,2,0,0,2,0,10,1,83,0,2,109,0,15,0,0,5,232,1
,"Special Votes On polling day",0,23,3,8,2,0,6,0,81,8,643,1,16,724,1,78,0,0,59,1653,4
,"Overseas Special Votes including defence force",0,2,0,0,0,0,0,0,18,0,69,0,2,106,0,5,0,0,4,206,0
,"Special Votes Allowed for Party Only",0,2,0,1,0,0,0,0,5,0,114,0,20,58,0,17,0,0,3,220,2
,"Rangitikei Total",6,446,22,85,47,12,114,2,1083,287,11538,12,195,14721,5,2363,9,5,1027,31979,100
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",32079
"Electorate Party Valid Votes for Rangitikei",,"National Party - .4603333438"
"99 MP Party",6,.0001876231
"ACT New Zealand",446,.0139466525
"Alliance",22,.0006879515
"Aotearoa Legalise Cannabis Party",85,.0026579943
"Christian Heritage NZ",47,.0014697145
"Democrats for Social Credit",12,.0003752463
"Destiny New Zealand",114,.0035648394
"Direct Democracy Party",2,.000062541
"Green Party",1083,.0338659745
"Jim Anderton's Progressive",287,.0089746396
"Labour Party",11538,.3607992745
"Libertarianz",12,.0003752463
"Mâori Party",195,.0060977516
"National Party",14721,.4603333438
"New Zealand Family Rights Protection Party",5,.0001563526
"New Zealand First Party",2363,.0738922418
"OneNZ Party",9,.0002814347
"The Republic of New Zealand Party",5,.0001563526
"United Future New Zealand",1027,.0321148254
