Party and Electorate Candidate Votes Recorded at each polling place
"Manurewa 25","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Alfriston","Alfriston School, cnr Mill and Alfriston Roads",0,2,0,0,0,0,0,0,1,2,36,0,3,76,0,7,0,0,3,130,1
"Chapel Downs","Chapel Downs Primary School, cnr Chapel & Dawson Road",0,2,0,1,0,0,10,3,8,7,294,0,1,123,0,14,0,0,2,465,2
"Manukau ","Redoubt North School, 47 Diorella Drive",0,12,1,2,1,0,15,2,20,17,797,1,12,338,1,51,0,0,31,1301,13
"Manukau Central","Clover Park Middle School, 51 Othello Drive",0,2,0,1,0,1,11,0,3,1,251,0,2,20,0,6,0,0,3,301,1
,"Everglade Primary School, 64 Everglade Drive",1,19,0,4,0,0,12,3,43,26,1177,1,12,884,2,85,0,0,54,2323,6
,"Workbridge Office, 9-11 Ronwood Ave, Manukau City",0,4,0,0,0,0,2,0,2,0,57,0,2,63,0,7,0,0,6,143,0
"Manurewa","1st Manurewa Scout Hall, 56 Browns Rd, cnr Sturdee Rd",0,7,2,3,1,0,15,0,25,22,697,0,13,215,2,77,0,1,18,1098,3
,"Alfriston College, 550 Porchester Road",0,8,3,3,1,0,9,3,17,18,678,0,12,372,3,67,0,1,28,1223,4
,"Central School, Cnr Great Sth Road & Hill Road",0,17,1,1,1,0,8,0,13,22,539,0,7,228,1,74,0,0,24,936,9
,"Clayton Park School, 187-189 Coxhead Road",0,23,1,8,1,0,17,4,59,26,1037,1,21,1062,5,167,1,0,71,2504,7
,"Clendon Park School, 145 Rowandale Avenue",0,5,2,4,1,0,11,1,6,4,537,0,4,88,6,25,1,0,12,707,5
,"East School, Scotts Road",0,3,0,0,0,0,9,0,12,8,321,0,8,103,3,20,0,0,14,501,7
,"Elmwood Home and Hospital, 131 Hill Road",1,4,1,0,1,0,4,0,5,7,155,0,2,226,2,42,0,0,9,459,0
,"Finlayson Park School, 87 John Walker Drive",0,9,0,1,1,0,10,1,17,8,768,0,17,114,8,46,0,0,11,1011,5
,"Greenmeadows Intermediate, 27 Greenmeadows Avenue",0,4,0,0,1,1,5,1,8,7,195,1,3,59,1,28,0,0,15,329,4
,"Hillpark School Hall, 57 Grande Vue Road",2,14,2,2,13,1,17,0,48,30,689,0,6,788,1,105,0,0,55,1773,3
,"Leabank School, 7 Dr Pickering Avenue",0,3,1,0,2,0,7,2,22,12,463,0,25,105,1,40,2,0,13,698,9
,"Manurewa Library, 7 Hill Road",0,12,0,1,8,0,25,2,35,28,882,0,10,373,9,101,1,1,22,1510,8
,"Roscommon School, 23 Burundi Avenue",1,0,2,2,2,1,19,4,6,7,798,0,13,93,8,25,0,0,6,987,13
,"Rowandale School, 73 Rowandale Avenue",0,6,0,2,1,0,15,0,11,5,676,1,17,103,3,41,0,0,10,891,17
,"South School, 39 Tawa Crescent",0,1,0,3,0,0,5,0,18,16,294,0,17,78,0,46,0,0,7,485,3
,"St Elizabeth's Anglican Church, 182 Finlayson Avenue",0,1,0,0,0,0,6,1,5,1,193,0,4,38,3,16,0,0,23,291,2
,"St Luke's Anglican Church Hall, 3 Russell Road",0,4,1,1,1,0,13,4,19,8,664,0,8,207,1,68,0,0,27,1026,13
,"Table Tennis Club Hall, 1 McVilly Rd (cnr Browns Rd)",0,4,1,3,0,0,8,2,10,10,424,0,13,128,2,48,0,0,18,671,5
,"Te Matauranga School, 206 Finlayson Avenue, Clendon",0,1,0,2,0,0,5,1,7,5,430,0,10,64,3,32,0,0,3,563,6
,"The Gardens School, 101 Charles Prevost Drive",0,3,0,0,0,0,3,0,2,0,81,0,0,81,1,10,0,0,4,185,1
,"West School, 31 McKean Avenue",1,0,1,0,0,0,4,0,10,5,423,0,11,75,2,31,0,0,14,577,3
"Papatoetoe","Puhinui Primary School, 116 Puhinui Road",0,3,0,1,0,0,1,0,5,16,202,0,3,106,0,21,0,0,6,364,2
"Weymouth","Weymouth Primary School, 23 Evans Road",0,17,1,6,0,0,14,0,38,15,705,0,21,426,0,117,1,0,38,1399,2
"Wiri","Wiri Central School, Inverell Avenue",0,3,0,1,0,0,12,0,10,11,411,0,5,24,8,13,0,0,3,501,7
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,0,0,0,2,0,1,0,0,0,71,0,2,34,2,6,1,0,2,121,7
,"Ordinary Votes BEFORE polling day",0,19,0,3,2,0,29,1,36,16,718,0,8,522,2,84,0,0,27,1467,5
,"Special Votes BEFORE polling day",0,2,0,3,0,0,0,0,9,4,194,0,5,78,0,25,0,0,7,327,1
,"Special Votes On polling day",0,17,0,8,4,2,43,6,55,27,1794,2,43,520,16,117,2,0,28,2684,9
,"Overseas Special Votes including defence force",0,0,0,0,4,0,2,0,4,0,85,1,0,56,1,17,0,1,3,174,0
,"Special Votes Allowed for Party Only",0,1,1,8,2,0,20,1,14,6,518,0,67,68,8,35,1,0,7,757,5
,"Manurewa Total",6,232,21,74,50,6,387,42,603,397,18254,8,407,7938,105,1714,10,4,624,30882,188
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",31070
"Electorate Party Valid Votes for Manurewa",,"Labour Party - .5910886601"
"99 MP Party",6,.0001942879
"ACT New Zealand",232,.0075124668
"Alliance",21,.0006800078
"Aotearoa Legalise Cannabis Party",74,.0023962179
"Christian Heritage NZ",50,.0016190661
"Democrats for Social Credit",6,.0001942879
"Destiny New Zealand",387,.0125315718
"Direct Democracy Party",42,.0013600155
"Green Party",603,.0195259374
"Jim Anderton's Progressive",397,.012855385
"Labour Party",18254,.5910886601
"Libertarianz",8,.0002590506
"Mâori Party",407,.0131791982
"National Party",7938,.2570429376
"New Zealand Family Rights Protection Party",105,.0034000389
"New Zealand First Party",1714,.0555015867
"OneNZ Party",10,.0003238132
"The Republic of New Zealand Party",4,.0001295253
"United Future New Zealand",624,.0202059452
