Party and Electorate Candidate Votes Recorded at each voting place
"Palmerston North 39","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Aokautere","Aokautere School Hall, 196 Fitzherbert East Road",0,0,0,0,0,0,1,0,2,0,8,0,0,0,0,11,0
"Ashhurst","Village Valley Community Centre, corner Cambridge Avenue & Guildford Street",1,1,0,3,0,0,4,0,9,0,10,4,0,0,0,32,0
"Awapuni","Awapuni Community Centre, 22 Newbury Street",3,0,0,13,0,0,19,1,155,0,133,40,0,0,0,364,2
,"Awapuni School Hall, 18 Rochester Street",3,2,1,37,0,1,58,5,302,5,262,118,0,1,7,802,5
"Bulls","Clifton School, 3 Clifton Street",0,0,1,1,0,0,1,0,3,0,1,1,1,0,0,9,0
"Cloverlea","Cloverlea School Hall, 55 Herbert Avenue",1,5,0,25,0,0,51,5,268,3,313,95,0,0,3,769,1
"Feilding","Manchester St School, 160 Manchester Street",0,0,0,0,0,0,3,0,3,0,11,3,0,0,0,20,0
"Highbury","Christian Church of Samoa, 39 Havelock Avenue",0,4,1,18,2,1,17,3,211,2,100,41,1,0,1,402,1
,"Somerset Crescent School Hall, 45 Somerset Crescent",2,1,0,9,0,0,28,4,177,1,163,36,1,2,3,427,0
,"St Michael's Church Hall, 52 Pembroke Street",0,5,0,18,1,0,23,8,235,3,85,59,1,0,1,439,2
"Hokowhitu","College Street Normal School Hall, 402 College Street",7,1,0,25,0,0,111,2,197,1,450,40,1,0,1,836,0
,"Hokowhitu School Hall, 227 Albert Street",10,3,0,36,0,0,104,5,225,4,570,60,1,0,0,1018,3
,"Ryder-Cheshire Centre, 114 Te Awe Awe Street",0,2,0,12,0,0,46,2,83,4,256,22,0,0,1,428,1
,"St Alban's Church, 339 Albert Street",4,0,1,39,0,1,63,4,101,5,305,53,0,0,1,577,0
,"Winchester School Hall, 552 Ruahine Street",11,0,0,35,0,0,131,6,213,6,366,46,0,2,3,819,5
"Kelvin Grove","Cornerstone Christian School, Administration Building, 119 Mihaere Drive",3,0,1,113,0,0,55,7,392,10,955,129,0,2,3,1670,4
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",3,6,0,14,0,0,36,4,238,4,216,66,0,0,1,588,2
"Linton","Linton Camp School, Puttick Road",1,0,0,1,0,0,4,1,2,0,9,2,0,0,0,20,0
"Milson","Milson School Hall, 7 Rutland Place",3,4,2,48,0,0,60,2,335,4,575,123,0,0,4,1160,1
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",4,2,1,31,0,0,41,1,183,0,352,63,0,0,1,679,0
"Palmerston North","Central Normal School Hall, 201 Featherston Street",6,7,0,36,0,1,96,8,333,1,378,97,1,0,3,967,3
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",0,0,0,13,0,0,22,1,58,1,127,22,0,0,0,244,2
,"Intermediate Normal School Performing Arts Centre, 31 South Street",3,2,0,22,0,0,64,4,80,2,149,12,0,1,3,342,1
,"Massey University, Student Centre Lounge, Concourse, University Drive",1,2,0,4,1,0,9,0,11,1,13,5,0,0,6,53,0
,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street,",5,6,1,14,0,0,40,0,63,1,199,24,0,0,1,354,0
,"Public Hospital Education Centre Hall, Gate 12, 50 Ruahine Street ",0,1,0,11,0,1,18,1,74,0,56,15,0,0,1,178,0
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",1,3,0,8,0,0,32,5,76,1,100,36,0,0,2,264,0
,"Russell Street School Hall, 19-31 Russell Street",4,4,0,25,0,0,89,4,288,3,368,74,0,0,3,862,1
,"St Luke's Lutheran Church Hall, corner Church & McGiffert Streets",1,0,0,7,0,0,11,0,74,1,62,19,0,0,0,175,2
,"Te Manawa Museum, 326 Main Street",1,1,0,26,0,0,62,13,148,4,183,28,0,1,1,468,4
,"The Salvation Army Hall, 431 Church Street",1,2,1,18,0,0,21,2,91,2,105,23,0,0,1,267,3
"Park West","Olive Tree Village Community Centre, 13 Olive Grove",2,0,0,27,0,0,7,1,70,0,221,35,0,0,0,363,0
"Parkland","Parkland School Hall, 41 Parkland Crescent",3,0,2,30,0,1,72,1,191,5,244,47,0,1,0,597,1
"Riverdale","Riverdale School Hall, 95 Slacks Road",3,1,3,48,1,0,81,4,264,2,447,72,0,0,5,931,2
"Roslyn","Roslyn School Hall, 38 Kipling Street",3,1,0,19,0,0,40,4,199,4,200,63,0,0,0,533,2
,"Ross Intermediate School Hall, 25 Freyberg Street",0,3,1,12,0,0,24,1,87,0,119,13,0,1,2,263,0
"Summerhill","Summerset Retirement Village, 166-186 Ruapehu Drive",0,0,0,3,0,0,5,2,6,0,12,3,0,0,0,31,0
"Takaro","Monrad Intermediate School Hall, 228 Botanical Road",1,3,0,17,0,1,36,3,120,5,103,42,0,0,0,331,1
,"St Oswald's Church Hall, corner Featherston & Kingswood Streets",2,3,0,30,1,0,52,2,214,3,209,69,0,1,0,586,1
,"Takaro School Hall, 24 Brighton Crescent",0,1,0,7,0,0,22,5,132,3,87,36,0,1,0,294,0
"Terrace End","Rangiora Community Centre, 98-102 Rangiora Avenue",0,5,3,20,0,0,37,2,273,1,136,54,0,0,0,531,9
,"St David's Community Centre, 3 Rainforth Street",5,1,1,34,0,0,40,2,132,1,229,45,0,2,0,492,1
,"Terrace End School Hall, 183-209 Ruahine Street",0,8,1,29,0,0,77,6,283,4,326,104,1,1,2,842,2
"West End","IHC Day Base, 153 Cook Street",3,1,0,16,0,0,37,5,99,1,97,36,1,0,1,297,1
,"West End School Hall, 395-427 Botanical Road",15,2,0,31,1,0,79,8,276,2,379,68,0,1,0,862,2
"Whakarongo","Whakarongo Community Hall, 17 Stoney Creek Road",1,0,1,5,0,0,5,0,11,0,74,17,0,0,0,114,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",36,6,4,405,3,0,902,103,2396,36,3616,626,1,3,14,8151,22
,"Special Votes BEFORE polling day",5,7,1,38,0,0,128,19,370,5,343,62,0,1,1,980,1
,"Special Votes On polling day",13,10,2,85,0,0,251,42,601,13,792,167,0,2,2,1980,5
,"Overseas Special Votes including Defence Force",3,2,0,19,0,0,114,14,104,6,177,15,0,1,1,456,0
,"Votes Allowed for Party Only",1,5,1,12,0,0,61,8,174,6,144,43,0,0,1,456,0
,"Palmerston North Total",175,123,30,1549,10,7,3390,330,10632,166,14835,2973,10,24,80,34334,93
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34427
"Electorate Party Valid Votes for Palmerston North",,"National Party - .4320789888"
"ACT New Zealand",175,.0050969884
"Aotearoa Legalise Cannabis Party",123,.0035824547
"Ban1080",30,.0008737694
"Conservative",1549,.0451156288
"Democrats for Social Credit",10,.0002912565
"Focus New Zealand",7,.0002038795
"Green Party",3390,.0987359469
"Internet MANA",330,.0096114639
"Labour Party",10632,.30966389
"Māori Party",166,.0048348576
"National Party",14835,.4320789888
"New Zealand First Party",2973,.0865905516
"NZ Independent Coalition",10,.0002912565
"The Civilian Party",24,.0006990156
"United Future",80,.0023300518
