Party and Electorate Candidate Votes Recorded at each polling place
"Mt Albert 26","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Waterview","Waterview Methodist Church Hall, corner of Great North Road & Fir Street",6,0,5,15,0,134,271,0,5,5,298,55,2,796,5
,"Waterview Primary School, 10 Herdman Street",1,0,2,7,0,86,233,0,4,5,129,20,0,487,4
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",8,0,3,14,0,197,227,0,7,3,281,16,2,758,2
"Westmere","Westmere School, corner Larchwood Avenue & Garnet Street",1,0,0,0,0,8,9,0,0,0,14,2,1,35,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Auckland Central",1,0,0,5,0,73,60,0,3,3,138,8,0,291,1
,"Ordinary Votes BEFORE polling day - Taken in Mt Albert",32,1,7,50,0,415,868,3,13,12,945,150,10,2506,30
,"Ordinary Votes BEFORE polling day - Taken in Mt Roskill",0,0,0,3,0,42,176,0,0,2,102,17,2,344,1
,"Ordinary Votes BEFORE polling day - Taken in New Lynn",0,0,0,5,0,6,58,0,0,0,32,6,0,107,0
,"Special Votes BEFORE polling day",3,1,3,7,1,113,214,1,2,6,195,31,0,577,3
,"Special Votes On polling day",19,4,16,35,1,652,1131,4,21,16,1144,113,14,3170,26
,"Overseas Special Votes including Defence Force",10,2,0,3,1,150,157,0,5,2,186,9,2,527,2
,"Votes Allowed for Party Only",4,0,14,5,0,113,284,1,10,19,194,24,4,672,8
,"Mt Albert Total",306,21,135,532,5,5660,12238,29,191,172,12102,1494,114,32999,272
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33271
"Electorate Party Valid Votes for Mt Albert",,"Labour Party - .370859723"
"ACT New Zealand",306,.0092730083
"Alliance",21,.0006363829
"Aotearoa Legalise Cannabis Party",135,.0040910331
"Conservative Party",532,.0161217007
"Democrats for Social Credit",5,.0001515197
"Green Party",5660,.1715203491
"Labour Party",12238,.370859723
"Libertarianz",29,.0008788145
"Mana",191,.0057880542
"Māori Party",172,.0052122792
"National Party",12102,.366738386
"New Zealand First Party",1494,.0452740992
"United Future",114,.0034546501
