Party and Electorate Candidate Votes Recorded at each polling place
"Coromandel 7","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Athenree","Athenree Fire Brigade Hall, 43 Roretana Drive",7,0,1,30,0,47,66,0,1,2,210,50,2,416,2
"Bethlehem","Bethlehem Primary School Hall, 66 Carmichael Road",4,0,0,1,0,4,6,0,0,0,32,4,1,52,0
"Colville","Colville School, 2391 Main Road",6,0,3,6,0,47,26,0,3,0,52,18,2,163,1
"Cooks Beach","Cooks Beach Community Centre, corner Purangi Road & Rees Avenue",4,0,1,6,0,35,22,0,0,0,149,15,2,234,3
"Coroglen"," Coroglen School, 10 Rangihau Road",5,0,2,3,0,31,16,0,1,1,79,14,2,154,1
"Coromandel","Coromandel Area School, 120 Woollams Avenue",3,0,2,26,0,131,157,0,7,5,360,84,9,784,8
"Elstow","Elstow-Waihou Combined School, 355 Bowler Road",8,0,0,13,0,7,15,0,1,1,128,5,0,178,1
"Hahei","Hahei Community Centre, Beach Road",0,0,2,8,0,52,25,0,0,4,115,8,1,215,0
"Hikutaia","Hikutaia Public Hall, State Highway 26",2,0,2,14,0,32,32,0,0,2,160,37,8,289,1
"Kaihere","Kaihere School, 1115B State Highway 27",4,0,0,13,0,13,8,0,0,0,128,9,1,176,6
"Katikati","Katikati Memorial Hall, 36 Main Road",48,1,13,133,1,161,258,2,3,11,1064,230,14,1939,11
,"Katikati Primary School, 24 Beach Road",31,0,8,99,2,162,233,1,3,5,882,244,7,1677,13
"Kennedy Bay","Te Kura Kaupapa Māori O Harataunga, 1416 Kennedy Bay Road",0,0,0,1,0,11,13,0,1,2,9,7,0,44,0
"Kerepehi","Kerepehi School, McGowan Avenue ",1,0,2,3,0,12,44,0,1,2,71,30,0,166,1
"Kopuarahi","Kopuarahi School, corner State Highway 25 & Bush Road ",3,0,2,0,0,12,27,0,2,2,101,26,0,175,2
"Kuaotunu","Kuaotunu Hall, corner Black Jack & Irish Town Roads",4,0,2,6,1,63,35,0,0,0,117,29,2,259,0
"Manaia","Manaia School, 22 Goldfields Road",1,0,0,3,0,9,16,0,2,0,5,3,0,39,0
"Manawaru","Manawaru School, 442 Manawaru Road ",4,0,5,9,1,12,18,0,0,1,168,17,5,240,4
"Netherton","Netherton School, 7 School Road",2,0,1,5,0,6,16,0,0,0,132,19,6,187,0
"Ngatea","Ngatea School, 52 Orchard West Road",6,0,2,27,1,43,105,0,1,2,532,73,6,798,9
"Opoutere","Opoutere School, State Highway 25 ",4,0,0,1,0,23,23,0,0,1,59,9,0,120,3
"Paeroa","Miller Avenue School, 30 Miller Avenue",10,0,2,26,0,39,121,0,0,1,215,71,5,490,8
,"Paeroa Memorial Hall, 144 Normanby Road",14,0,5,58,1,98,261,0,3,6,525,193,19,1183,13
"Pauanui ","Pauanui Sport & Recreation Club, 31 Sheppard Avenue",11,0,1,8,0,38,38,0,0,2,384,33,4,519,4
"Puriri","Puriri School, 12 Puriri Valley Road",4,0,1,6,1,14,46,0,0,0,183,27,0,282,2
"Springdale","Springdale School, 985 Number 1 Road",4,0,3,5,0,7,19,0,0,0,126,5,1,170,2
"Tahuna","Tahuna School, 43 Tahuna Road",10,0,1,8,0,9,37,0,0,0,213,24,1,303,1
"Tairua","Tairua School, 110 Main Road",3,0,3,22,1,106,101,0,1,2,313,56,4,612,3
"Tapu","Tapu Primary School, 719 Thames Coast Road",2,0,2,7,0,29,48,0,0,0,95,25,1,209,3
"Tatuanui  ","Tatuanui School, 4513 Whakahongi Road (State Highway 27)",6,0,1,6,0,4,11,0,0,0,140,3,1,172,1
"Tauhei","Tauhei Combined School, 860 Tauhei Road",1,0,0,2,0,6,9,0,0,0,69,6,0,93,0
"Te Aroha","Matamata-Piako District Council Conference Room, 35 Kenrick Street",8,0,5,24,1,24,86,0,0,1,167,45,0,361,3
,"Stanley Avenue School, 61 Stanley Avenue",7,1,6,29,1,65,126,0,0,2,388,108,8,741,9
,"Te Aroha Primary School, corner Whitaker Street & Jubilee Avenue",12,0,6,34,0,81,179,1,2,3,366,102,7,793,15
"Te Puru","Te Puru Primary School, 507 Thames Coast Road",5,0,3,19,0,62,90,0,2,3,184,45,4,417,5
"Te Rerenga","Te Rerenga School, 1229 State Highway 25  ",0,0,0,0,0,10,11,0,1,0,48,3,0,73,1
"Thames","Kauaeranga Hall, 437 Kauaeranga Valley Road",2,0,3,0,0,43,18,0,2,0,63,10,1,142,1
,"Moanataiari School, 101 Kuranui Street",3,0,5,12,0,33,87,1,2,2,163,40,3,351,1
,"Parawai School, 106 Lowe Avenue",5,0,1,18,0,42,96,0,1,1,207,46,3,420,4
,"Tararu Cultural Centre, 604 Tararu Road",2,0,0,27,1,58,116,0,0,4,201,55,6,470,3
,"Thames High School, 300 Sealey Street",9,0,9,32,0,142,233,3,1,6,393,92,6,926,8
,"Thames South School, corner Grey & Rolleston Streets",11,0,6,34,0,111,202,0,0,4,363,91,2,824,5
,"Thames-Hauraki Disability Resource Centre Building, 609 Mackay Street",4,0,3,15,0,76,108,1,0,0,130,44,4,385,6
,"Waitakaruru School, Canal West Road ",8,0,1,11,0,8,24,0,0,3,158,21,1,235,1
"Turua","Turua School, 523 Hauraki Road",1,0,1,11,0,26,62,0,0,0,218,30,4,353,4
"Waihi","Waihi Central School, Moresby Avenue",2,0,3,19,1,51,131,0,3,0,181,70,3,464,3
,"Waihi East School, 6-8 Donnelly Street",5,0,6,24,0,62,113,0,1,4,221,68,1,505,1
,"Waihi Memorial Hall, 41 Seddon Street",15,0,10,52,0,142,327,0,6,4,474,213,4,1247,16
"Waihi Beach","Waihi Beach School, 100 Beach Road",8,0,2,35,1,101,166,0,4,3,571,102,7,1000,10
"Waihou  ","Waihou Community Hall, 2 Second Avenue",7,0,1,13,0,21,32,0,0,0,157,40,1,272,1
"Waikino","Victoria Hall, State Highway 2",4,0,1,9,0,44,52,0,3,1,102,26,2,244,2
"Waitoa","Waitoa School, 3932 State Highway 26",7,0,0,7,0,5,55,1,0,1,124,33,3,236,0
"Whangamata ","Whangamata Memorial Hall, 328 Port Road",15,0,10,57,1,189,260,1,1,5,908,202,12,1661,10
"Whiritoa","Whiritoa Emergency Management Centre,  Whiritoa Beach Road",0,0,0,9,0,13,23,0,0,0,42,13,0,100,1
"Whitianga","Matarangi Fire Station, Matarangi Drive",2,0,1,7,0,13,7,0,0,3,120,11,0,164,3
,"Mercury Bay Area School, 20 South Highway",4,0,1,19,0,63,105,1,0,1,267,41,1,503,2
,"St Andrews by the Sea Community Church, corner Albert & Owens Streets",2,1,5,18,1,53,67,0,0,2,300,41,3,493,3
,"Whenuakite School, 1055 State Highway 25",3,0,1,6,0,29,15,1,0,1,75,6,3,140,0
,"Whitianga Memorial Hall, 24 Monk Street",11,0,14,25,0,109,136,1,1,3,549,64,5,918,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Coromandel",53,1,15,159,4,549,887,4,13,18,2550,570,25,4848,46
,"Ordinary Votes BEFORE polling day - Taken in Tauranga",0,0,1,3,0,10,8,0,0,0,68,3,0,93,0
,"Special Votes BEFORE polling day",14,0,2,9,0,76,87,2,1,3,313,33,0,540,1
,"Special Votes On polling day",24,0,25,53,0,274,359,3,7,12,928,146,11,1842,11
,"Overseas Special Votes including Defence Force",7,0,0,2,1,38,31,0,0,1,111,3,2,196,3
,"Votes Allowed for Party Only",1,0,3,2,0,43,88,1,6,8,95,22,0,269,2
,"Coromandel Total",473,4,217,1349,21,3929,6239,24,87,151,18021,3813,236,34564,286
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34850
"Electorate Party Valid Votes for Coromandel",,"National Party - .5213806272"
"ACT New Zealand",473,.0136847587
"Alliance",4,.0001157273
"Aotearoa Legalise Cannabis Party",217,.0062782085
"Conservative Party",1349,.0390290476
"Democrats for Social Credit",21,.0006075686
"Green Party",3929,.113673186
"Labour Party",6239,.1805057285
"Libertarianz",24,.0006943641
"Mana",87,.0025170698
"Māori Party",151,.0043687073
"National Party",18021,.5213806272
"New Zealand First Party",3813,.1103170929
"United Future",236,.0068279134
