Party and Electorate Candidate Votes Recorded at each polling place
"Whanganui 60","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Wanganui","Kai Iwi Primary School, SH 3, RD4",0,2,0,0,0,0,1,0,7,1,43,0,0,101,0,7,0,0,3,165,0
"Wanganui Aramoho","Aramoho School Hall, 2 Mitchell Street",1,2,3,1,0,2,6,0,25,12,269,0,4,150,1,39,0,0,18,533,4
,"Churton School, Burmah Street",0,2,0,1,2,0,6,0,23,9,159,0,0,161,0,17,1,0,16,397,3
,"Hylton Hall, 265 Somme Parade",1,3,0,3,0,4,9,0,53,21,407,0,6,214,0,48,2,0,24,795,2
"Wanganui Castlecliff","Aranui School, Aranui Avenue",0,2,0,0,0,0,3,0,24,6,153,0,10,58,1,20,0,0,6,283,1
,"Castlecliff School Hall, Polson Street",0,1,1,3,0,2,5,0,23,11,447,0,17,131,0,74,1,0,14,730,3
,"St Luke's Anglican Church Hall, 34 Manuka Street",0,2,0,0,0,0,2,0,21,8,181,0,6,58,0,30,0,0,12,320,4
,"Te Kura O Kokohuia, 36 Matipo Street",0,0,0,0,0,3,0,0,7,1,99,0,16,12,0,8,0,0,3,149,1
"Wanganui Central","Keith Street School Hall, Keith Street",0,7,0,0,5,3,11,0,70,17,604,0,18,309,1,47,0,0,37,1129,15
,"St Andrew's Hall, Bell Street",0,2,0,1,0,0,2,0,50,7,275,0,6,206,0,29,0,0,17,595,7
,"St Andrew's Presbyterian Hall, 42 Glasgow Street",0,1,0,2,0,1,3,1,21,6,140,0,2,118,0,22,0,0,9,326,0
,"Wanganui City College Hall, 84 Ingestre Street",0,8,0,5,0,3,13,0,66,15,469,1,6,362,0,62,1,0,23,1034,2
"Wanganui Durie Hill","Durie Hill School Hall, 109 Portal Street",0,7,0,1,2,1,5,1,47,17,314,2,7,362,0,59,1,0,27,853,2
"Wanganui East","Baptist Church Hall, 54 Nixon Street",1,5,1,2,2,2,7,0,62,28,538,0,2,355,0,80,1,0,61,1147,14
,"Wanganui East School Hall, Patapu Street",1,5,4,5,1,7,13,0,83,24,822,1,13,443,0,131,2,0,45,1600,3
"Wanganui Gonville","Carlton School Hall, 101 Carlton Avenue",0,10,1,0,0,3,11,0,53,31,604,0,2,393,0,82,2,0,33,1225,3
,"Gonville School Hall, Gonville Avenue",1,4,1,0,5,0,9,0,49,16,465,0,7,224,0,88,3,0,39,911,5
,"Scout Hall, Swiss Avenue",1,6,1,0,0,2,18,0,32,19,411,0,8,146,0,59,0,0,19,722,1
"Wanganui Putiki","Parish Hall, 2 Anaua Street, Putiki",0,1,0,0,1,0,3,0,17,2,112,0,9,79,0,23,0,1,11,259,1
"Wanganui Springvale","Faith Community Church, 127 Springvale Road",2,3,2,1,4,0,16,0,44,19,531,0,2,493,0,84,5,0,61,1267,6
,"Tawhero School Hall, 27 Totara Street",1,3,2,1,3,4,8,0,26,18,584,0,11,312,1,64,4,0,44,1086,6
"Wanganui St John's Hill","St John's Hill School Hall, 71 Parkes Avenue",2,14,2,0,2,1,7,0,75,12,413,0,1,784,0,50,2,0,52,1417,3
"Waverley","Waverley Primary School, Gloag Street",0,7,1,2,0,0,1,0,17,9,178,0,6,289,0,51,1,0,10,572,1
"Westmere","Westmere Primary School, Rapanui Road, RD4",2,16,0,0,0,0,6,0,26,3,145,0,4,266,0,21,0,0,7,496,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,1,1,0,3,4,0,0,7,9,285,0,4,252,1,36,2,0,14,619,11
,"Ordinary Votes BEFORE polling day",0,20,0,1,4,6,27,0,78,27,626,2,8,862,0,124,1,1,67,1854,8
,"Special Votes BEFORE polling day",1,2,0,1,2,0,4,0,9,3,115,0,1,92,0,17,0,3,5,255,0
,"Special Votes On polling day",1,10,2,8,2,1,16,0,99,16,550,0,19,548,0,94,3,2,23,1394,8
,"Overseas Special Votes including defence force",0,3,0,0,0,1,1,0,29,2,75,0,0,68,0,15,0,0,9,203,1
,"Special Votes Allowed for Party Only",0,1,0,7,2,0,4,0,13,1,112,0,21,64,0,11,0,0,3,239,1
,"Whanganui Total",18,296,31,68,62,68,282,6,1466,448,13045,16,265,13417,7,2185,52,7,885,32624,144
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",32768
"Electorate Party Valid Votes for Whanganui",,"National Party - .4112616479"
"99 MP Party",18,.000551741
"ACT New Zealand",296,.009073075
"Alliance",31,.0009502207
"Aotearoa Legalise Cannabis Party",68,.0020843551
"Christian Heritage NZ",62,.0019004414
"Democrats for Social Credit",68,.0020843551
"Destiny New Zealand",282,.0086439431
"Direct Democracy Party",6,.0001839137
"Green Party",1466,.0449362433
"Jim Anderton's Progressive",448,.0137322217
"Labour Party",13045,.3998589995
"Libertarianz",16,.0004904365
"Mâori Party",265,.0081228543
"National Party",13417,.4112616479
"New Zealand Family Rights Protection Party",7,.000214566
"New Zealand First Party",2185,.066975233
"OneNZ Party",52,.0015939186
"The Republic of New Zealand Party",7,.000214566
"United Future New Zealand",885,.0271272683
