Party and Electorate Candidate Votes Recorded at each polling place
"Christchurch East 6","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Aranui","School Rooms 1 and 2, 257 Breezes Road",0,3,4,2,3,0,8,0,29,28,656,0,5,105,1,50,0,0,22,916,7
,"St Ambrose Church Cafe, 309 Breezes Road",0,5,6,3,2,0,9,1,45,20,480,0,2,139,0,37,0,0,20,769,10
,"St James School Room 4, 25 Rowan Avenue",0,3,2,1,1,0,3,1,20,15,420,0,2,70,2,20,0,0,10,570,8
"Avondale","School Rooms 5 and 6, 132 Breezes Road",0,5,3,0,1,0,6,1,33,32,494,0,3,246,0,44,0,0,30,898,3
,"Woolley Street Kindergarten, 63 Woolley Street",0,10,5,0,1,1,10,2,26,14,469,0,2,355,0,51,0,0,41,987,1
"Bexley","Samoan Assembly of God Hall, cnr 157 Bexley Rd and 3 Brook St",0,4,1,1,1,1,4,2,18,13,248,0,1,87,0,25,0,1,10,417,0
"Bromley","School Library, 33 Keighleys Road",0,4,1,6,0,0,11,0,39,27,621,2,3,150,0,44,1,0,22,931,10
"Brooklands","Community Centre Hall, 5 Anfield Street",1,6,1,0,2,0,0,0,31,7,240,0,1,146,0,25,0,0,15,475,1
"Burwood","Burwood Christian Centre, 54 Bassett Street",0,8,2,1,3,0,4,0,24,21,431,0,1,314,0,42,0,0,54,905,3
,"Burwood School Hall, 255 New Brighton Road",1,33,3,2,1,0,12,0,62,49,717,1,1,671,0,76,0,0,61,1690,5
,"Garage, 165 Queensbury Street",1,6,0,4,0,0,3,0,22,17,365,2,0,274,0,45,0,0,24,763,5
,"Quaker Meeting House Children's Room, 72 Cresswell Ave",0,3,3,0,1,2,1,0,16,28,239,0,0,109,0,22,1,0,23,448,1
,"Tumara Park Section Sales Office, cnr Putake Dr & Titirangi Cres",0,4,2,0,0,0,1,0,12,9,183,0,2,196,0,18,0,0,11,438,0
,"Windsor School Hall, 170 Burwood Road",0,15,5,4,0,0,7,1,41,30,736,0,0,589,1,61,1,1,81,1573,3
"Christchurch City ","Christchurch Central Public Library, cnr Gloucester St & Oxford Tce",0,0,0,0,0,0,1,0,7,1,47,0,0,20,0,4,0,0,0,80,1
,"Christchurch Hospital, The Great Escape Cafe",0,0,0,0,0,0,0,0,4,0,27,1,0,12,0,4,0,0,1,49,0
