Party and Electorate Candidate Votes Recorded at each polling place
"East Coast Bays 11","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",9,0,1,5,0,30,44,0,0,0,135,7,0,231,1
,"Albany School, 6 Bass Road",0,0,0,0,0,8,14,0,0,0,62,1,0,85,2
,"Massey University, Gate 4, 82 Turtea Drive",1,0,0,0,0,10,23,0,0,0,71,3,1,109,0
,"Oteha Valley School, corner Oteha Valley Road & Medallion Drive",44,4,2,55,0,98,272,0,3,6,1133,53,6,1676,10
,"Pinehurst School  75 Bush Road",12,0,3,21,0,36,100,1,0,0,482,22,4,681,2
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",29,2,9,71,0,137,224,0,3,5,933,75,15,1503,11
,"Browns Bay School, Masterton Road",21,0,7,54,1,146,197,3,0,7,1122,71,5,1634,3
,"Northcross Intermediate School, 10 Sartors Avenue",24,0,6,62,0,116,182,0,3,8,920,88,5,1414,3
,"Pinehill School, corner Hugh Green Drive & Spencer Road",40,0,7,52,0,104,276,4,4,6,1184,53,6,1736,11
,"Progress Hall, (under Bays Club)  6 Anzac Road",15,1,10,46,0,73,170,0,1,8,730,81,3,1138,9
,"Salvation Army East Coast Bays Hall, 5 Bayview Road",13,0,3,51,1,83,118,1,2,2,652,63,5,994,7
"Campbells Bay","Campbells Bay Methodist Church Hall, 218 Beach Road",1,0,1,1,0,10,5,0,0,1,39,0,0,58,0
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",0,0,0,0,0,5,15,0,0,0,19,3,0,42,1
"Glenfield","Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",4,1,0,7,0,29,105,0,1,5,146,25,0,323,3
,"Glenfield Primary School, 101 Chivalry Road",9,0,4,11,0,55,206,0,0,6,303,51,13,658,6
,"Manuka Road Primary School, 34 Manuka Road",3,0,1,10,0,15,45,1,0,1,105,15,0,196,3
,"Meadowood Community House, 55 Meadowood Drive (off Unsworth Drive)",7,0,7,44,0,61,311,0,3,4,651,62,2,1152,9
,"Target Road Primary School, 80 Target Road",30,0,5,48,2,107,432,2,5,6,875,95,6,1613,7
"Long Bay","Long Bay Baptist Church, 282 Glenvar Road",8,0,3,47,0,57,124,1,1,4,456,30,1,732,0
,"Long Bay College, 20 Ashley Avenue",9,0,2,21,0,52,32,1,0,2,237,7,2,365,1
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",6,0,2,20,0,41,41,0,0,0,259,9,2,380,1
,"Mairangi Bay School, Galaxy Drive entrance",5,0,1,6,0,18,19,0,0,0,109,8,0,166,0
,"Rangitoto College, 564 East Coast Road",17,0,6,32,1,98,181,0,4,3,813,44,10,1209,2
"Milford","Carmel College, 114 Shakespeare Road",2,0,0,1,0,1,13,0,0,0,19,0,0,36,0
,"Milford School, 34 Shakespeare Road",1,0,0,3,0,4,6,0,0,0,31,5,0,50,0
,"North Shore Hospital, Shakespeare Road",0,0,0,3,0,11,19,0,1,0,34,2,0,70,2
"Murrays Bay","Murrays Bay Intermediate School, 37 Sunrise Avenue",24,0,5,31,1,80,149,1,1,2,645,36,4,979,2
"Redvale","East Coast Bays Bible Baptist Church, 1092 East Coast Road",4,0,2,24,0,45,51,0,1,0,238,18,3,386,0
"Sunnynook","Sunnynook School, 27 Lyford Crescent",1,0,1,1,0,4,33,0,1,0,48,1,0,90,1
,"Wairau Intermediate School, 113 Becroft Drive",9,1,1,14,0,32,144,1,2,1,272,28,1,506,5
"Takapuna","Takapuna School, 23 Auburn Street (or Anzac Street entrance)",0,0,0,3,0,8,11,0,0,0,39,4,0,65,0
"Torbay","Glamorgan School, 145 Glamorgan Drive",14,0,8,63,0,134,250,0,2,4,1092,65,8,1640,8
,"Torbay School, 60 Deep Creek Road",21,1,9,79,0,171,264,0,6,8,1143,83,9,1794,9
,"Torbay Senior Citizens Club, Torbay Shopping Centre, 37 Watea Road",16,1,12,76,1,186,278,2,3,8,985,126,7,1701,7
"Unsworth Heights","Westminster Christian School, 31 Westminster Gardens (off Unsworth Drive)",12,1,2,48,0,45,200,0,0,2,575,40,3,928,4
"Westlake","Westlake Boys High School, 30 Forrest Hill Road",1,0,0,0,0,3,6,0,0,0,22,4,0,36,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in East Coast Bays",49,1,5,128,0,194,397,3,1,8,2039,212,8,3045,20
