Party and Electorate Candidate Votes Recorded at each voting place
"Upper Harbour 55","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Albany","Pinehurst School,  75 Bush Road",3,2,0,16,0,0,15,1,43,0,154,13,0,0,0,247,0
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",1,1,0,1,0,0,2,0,4,0,15,0,0,0,0,24,0
,"Westlake Boys High School, 30 Forrest Hill Road",2,0,0,7,0,0,3,0,10,0,30,3,0,0,0,55,0
"Glenfield","Bayview School, 60 Bayview Road",13,6,1,69,0,0,105,10,297,1,617,94,2,0,4,1219,2
,"Glenfield College, 52-60 Kaipatiki Road",3,1,0,10,0,0,12,0,43,4,94,7,0,0,0,174,0
,"Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",24,1,0,22,0,0,47,5,149,0,217,36,0,1,0,502,2
,"Glenfield Primary School, 101 Chivalry Road",18,2,0,26,0,0,51,3,198,3,342,29,0,1,0,673,1
,"Manuka Primary School, 34 Manuka Road",13,7,3,69,0,0,121,7,262,8,661,83,0,0,5,1239,2
,"Meadowood Community House, 55 Meadowood Drive (off Unsworth Drive)",27,6,0,78,0,0,83,8,226,3,606,90,0,0,0,1127,4
,"Target Road Primary School, 80 Target Road",46,3,0,69,0,0,110,6,335,2,809,117,0,2,3,1502,9
,"Westminster Christian School, 31 Westminster Gardens ",12,2,0,65,0,0,26,0,117,2,463,41,0,0,2,730,2
"Greenhithe","Greenhithe School Hall, Sunnyview Road entrance",11,3,0,55,0,0,101,5,120,6,1305,66,0,0,1,1673,3
,"St Michael's Anglican Church Hall, 12 Greenhithe Road",8,5,1,35,0,0,60,2,71,2,642,57,0,1,2,886,3
,"Upper Harbour Primary School, 140 Kyle Road",9,1,0,25,0,0,14,2,43,0,300,20,1,0,0,415,2
"Henderson","Montessori at the Children's House, 1 Clover Drive",0,1,0,3,0,0,1,0,9,0,11,3,0,0,0,28,0
,"Waitakere College, 42 Rathgar Road",2,0,0,1,0,0,5,2,23,1,20,3,0,0,0,57,0
"Hobsonville","Hobsonville Point Primary School,  18 De Havilland Road",4,0,0,5,0,0,36,5,33,2,230,9,0,0,2,326,0
,"Hobsonville Primary School, 104 Hobsonville Road",6,1,0,30,0,0,31,4,66,3,537,34,0,1,5,718,1
,"Hobsonville Public Hall, 397 Hobsonville Road",2,0,0,28,0,0,30,2,60,2,425,41,0,0,0,590,0
"Massey","Colwill School, 30-32 Kintara Drive",5,7,0,48,0,0,59,7,256,0,382,70,0,0,3,837,1
,"Don Buck School, 124 Don Buck Road",4,4,0,22,0,1,47,5,290,6,253,62,1,0,1,696,3
,"Lincoln Heights School, 16 Keegan Drive",6,5,0,48,0,0,82,11,386,4,414,96,0,1,3,1056,6
,"Massey High School, 274 Don Buck Road",6,6,0,41,0,0,63,12,331,3,397,94,0,0,0,953,7
,"Royal Road School, 112 Royal Road",22,2,1,61,2,0,103,14,534,4,614,143,1,3,3,1507,14
"Milford","North Shore Hospital, Shakespeare Road",2,0,0,3,0,0,1,0,9,0,20,3,0,0,0,38,0
"Sunnynook","Sunnynook School, 27 Lyford Crescent",1,0,0,4,0,0,4,0,15,0,32,7,0,0,0,63,0
,"Wairau Intermediate School, 113 Becroft Drive",6,1,0,30,0,0,26,4,90,2,185,37,0,0,1,382,2
"Takapuna","Takapuna School, 23 Auburn Street (or Anzac Street entrance)",0,1,0,2,0,0,5,0,16,0,33,2,0,0,0,59,0
"West Harbour","Marina View School, 97-99 Marina View Drive",27,2,1,51,1,0,61,9,163,6,1072,68,0,0,3,1464,7
,"West Harbour Alliance Church, 145 Moire Road",4,2,0,33,0,0,36,3,132,2,342,48,0,0,1,603,3
,"West Harbour Primary School, Sumich Place entrance",4,1,0,15,0,0,40,2,178,6,195,33,0,0,0,474,0
,"Westgate Baptist Church, 67 Hobsonville Road",6,1,1,55,0,0,36,6,126,6,367,50,0,0,4,658,0
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",7,6,0,37,0,0,29,7,178,0,358,65,1,1,2,691,7
"Whenuapai","Whenuapai School, 14 Airport Road",1,0,0,1,0,0,0,0,9,0,33,5,0,0,1,50,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
