Party and Electorate Candidate Votes Recorded at each polling place
"Christchurch Central 4","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Electorate Party Valid Votes for Christchurch Central",,"National Party - .4462603483"
"ACT New Zealand",219,.0078147302
"Alliance",24,.0008564088
"Aotearoa Legalise Cannabis Party",180,.0064230659
"Conservative Party",487,.0173779617
"Democrats for Social Credit",9,.0003211533
"Green Party",4556,.1625749358
"Labour Party",8240,.2940336854
"Libertarianz",22,.0007850414
"Mana",100,.00356837
"Māori Party",139,.0049600343
"National Party",12506,.4462603483
"New Zealand First Party",1391,.0496360263
"United Future",151,.0053882387
