Party and Electorate Candidate Votes Recorded at each voting place
"Port Hills 41","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Addington","Addington School Hall, 22 Brougham Street (Simeon Street entrance)",0,0,0,0,0,0,6,0,16,0,9,2,0,0,0,33,0
"Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",0,0,0,0,0,0,6,0,5,0,31,1,0,0,0,43,0
"Beckenham","Beckenham School, 71 Sandwich Road",0,2,0,4,0,0,37,2,32,0,75,15,0,1,0,168,0
,"St Peter's School, 11 Fisher Avenue",2,1,0,5,0,0,52,0,56,0,116,17,0,0,0,249,0
"Bromley","Bromley School, 33 Keighleys Road",0,1,0,9,0,0,30,3,109,0,93,38,0,0,0,283,0
"Cashmere","Cashmere Primary School, 135 Hackthorne Road",6,0,0,20,0,0,181,6,114,1,457,23,0,1,1,810,2
,"Landsdowne Community Centre, 4 Landsdowne Terrace",0,2,0,20,2,0,87,2,98,1,394,31,0,0,3,640,0
,"The Princess Margaret Hospital, 97 Cashmere Road (Riley Day Hospital, Entrance 4)",1,1,2,36,0,0,105,2,142,3,340,39,0,0,1,672,2
"Cass Bay","TS Godley (former Navy League), 64 Governors Bay Road",0,0,0,3,0,0,28,0,21,2,74,8,0,0,0,136,1
"Christchurch City","ABC Salisbury Street, 150 Salisbury Street",1,1,0,0,0,0,5,0,4,0,11,0,0,0,0,22,0
,"Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",1,1,0,3,0,0,12,0,27,1,20,9,0,0,1,75,0
,"HMNZS Pegasus, 419 Montreal Street",0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,8,0
,"St Michael's Church School Hall, corner Tuam & Durham Streets",0,0,0,0,0,0,13,2,5,0,17,3,0,0,0,40,0
"Governors Bay","Governors Bay School Library, 1 Jetty Road",0,0,0,0,0,0,7,0,3,0,10,0,0,0,0,20,0
"Halswell","Aidanfield Christian School, 2 Nash Road",0,1,0,34,0,0,25,3,77,1,301,28,0,0,2,472,2
,"Halswell School, corner Kennedys Bush & School Roads",1,1,0,19,1,0,85,2,88,3,440,44,0,0,4,688,0
,"Oaklands School, 37 Cunningham Place",5,4,0,35,0,0,69,1,175,3,424,65,0,0,2,783,3
,"Saints Peter & Paul Catholic Church Hall, 56 Nicholls Road",3,2,2,39,0,0,72,5,179,1,495,77,0,0,1,876,1
,"St Mary's Anglican Church Hall, 329 Halswell Road",4,2,2,64,0,0,110,4,250,8,860,88,0,3,3,1398,9
"Heathcote Valley","Heathcote Valley School, 61 Bridle Path Road",2,1,0,24,1,0,197,7,276,6,425,66,0,1,3,1009,5
"Hoon Hay","Cashmere Early Learning Centre, 192 Cashmere Road",4,0,1,23,0,0,74,1,79,0,342,32,0,0,2,558,2
,"Hoon Hay Presbyterian Church Hall, 5 Downing Street",1,0,0,0,0,0,5,0,6,0,8,2,0,0,1,23,0
,"Hoon Hay School Hall, 91 Sparks Road",1,0,0,15,1,0,44,5,95,1,200,28,0,0,1,391,2
,"Rowley Avenue School Hall, 48 Rowley Avenue",0,0,0,0,1,0,1,0,13,2,13,3,0,0,0,33,1
"Huntsbury","Huntsbury Community Centre, 30H Huntsbury Avenue",1,0,0,13,0,0,86,1,61,1,161,11,0,1,0,336,0
"Linwood","Aspire Canterbury, 314 Worcester Street",0,0,0,0,0,0,4,0,2,0,5,1,0,0,0,12,0
,"Linwood Avenue School, 260 Linwood Avenue",4,2,0,7,0,0,43,5,134,3,78,28,0,0,0,304,0
,"Linwood College, Student Centre, 85 Aldwins Road",0,0,0,5,0,0,20,3,38,0,33,5,0,0,0,104,2
,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",1,0,1,2,1,0,8,1,13,0,23,4,0,0,0,54,0
,"Union Church Hall, 378 Linwood Avenue, corner Tilford Street",0,7,1,24,1,0,60,3,269,2,213,74,0,0,1,655,1
"Lower Cashmere","Thorrington School, 22A Colombo Street",1,0,0,25,0,0,140,5,128,2,404,38,0,0,1,744,0
"Lyttelton","Lyttelton Primary School (former St Joseph's School & Church), 18 Winchester Street",2,3,0,4,0,0,115,2,66,1,55,10,0,0,0,258,1
,"Lyttelton Primary School (Hill Site), 41 Voelas Road",3,0,0,4,0,0,80,3,49,1,69,9,1,0,0,219,0
,"Port Hills Uniting Parish, 40 Winchester Street",1,0,0,4,0,0,69,2,81,2,70,9,0,1,1,240,1
"Mount Pleasant","Mount Pleasant Community Centre, 3 Mccormacks Bay Road",4,2,0,21,0,0,71,2,58,1,271,19,0,0,1,450,0
,"Mt Pleasant School, 82 Major Hornbrook Road",2,1,0,16,0,0,139,3,124,2,567,41,0,1,1,897,0
"North Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",0,0,0,0,0,0,0,1,5,0,10,1,0,0,0,17,0
"Opawa","Opawa Baptist Church, 285 Wilsons Road",1,0,0,0,0,0,4,0,6,0,4,1,0,0,0,16,0
,"Opawa School, corner Ford Road & Newbery Street ",3,0,2,11,2,0,50,2,121,2,80,26,0,0,0,299,0
,"St Mark's Church Hall, corner Opawa Road & Vincent Place",0,0,1,7,0,0,57,3,71,2,148,36,0,0,1,326,1
"Redcliffs","St Andrew's Anglican Church, 148 Main Road",4,4,0,20,0,0,140,5,158,1,588,47,0,0,1,968,1
"Somerfield","Cashmere High School, 172 Rose Street",3,1,0,14,1,0,84,3,85,2,202,24,0,1,0,420,1
,"Pioneer Recreation and Sport Centre Lounge, 1st floor, 75 Lyttelton Street",2,2,0,26,0,0,99,6,129,5,239,28,0,0,4,540,0
,"Somerfield School, 42 Studholme Street",1,1,0,14,1,0,166,3,181,6,350,38,0,0,1,762,2
"Spreydon","Christchurch South Intermediate Hall, 204 Selwyn Street",2,2,0,5,0,0,39,4,60,1,88,21,0,0,1,223,0
,"Spreydon Baptist Church, 51 Cobham Street",0,0,0,6,0,0,7,1,13,0,26,3,0,0,0,56,1
,"St Nicholas Church Hall, 231 Barrington Street",2,0,1,4,0,0,21,2,57,2,71,28,0,0,2,190,0
,"West Spreydon School Hall, 147 Lyttelton Street",1,0,0,1,0,0,6,1,25,0,22,12,0,0,0,68,0
"St Martins","Hillview Christian Junior School, 150 Wilsons Road",5,2,0,28,0,0,106,5,142,1,241,29,0,0,3,562,0
,"St Martins School, 24 Albert Terrace (opposite Roscoe Street)",1,2,2,21,1,0,192,6,186,0,312,45,0,0,2,770,0
"Sumner","Sumner School, 21 Colenso Street (Dryden Street West entrance)",12,3,0,31,3,0,292,6,285,10,809,59,0,1,2,1513,2
"Sydenham","Special Needs Library, 109 Huxley Street",0,0,0,1,0,0,9,1,7,0,8,2,0,0,0,28,0
,"Sydenham Community Centre, 25-27 Hutcheson Street",1,0,0,1,0,0,3,1,13,0,15,2,0,0,0,36,1
"Wainoni","Ottawa Gardens Pre-School, 49 Ottawa Road",0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,8,0
"Waltham","Waltham School Hall, corner Waltham Road & Hastings Street East",1,1,0,0,0,0,9,0,4,0,13,0,0,0,0,28,0
"Woolston","Bamford School, 8 Gould Crescent",1,1,0,11,1,1,41,2,123,2,94,25,0,0,0,302,2
,"CPIT, Student Services Building, corner Ensors Road & Sulllivan Avenue",3,2,0,11,0,0,48,5,74,1,61,17,0,0,0,222,1
,"Edmonds Smith Street Kindergarten, 21 Smith Street",1,0,0,17,1,0,38,2,129,0,95,38,0,2,1,324,0
,"St John's Church Hall, corner St Johns Street & Ferry Road",5,5,0,46,1,1,117,11,395,5,337,116,0,1,1,1041,2
,"Woolston School, corner Ferry Road & Hopkins Street",1,6,0,20,3,0,103,6,276,7,188,59,0,1,1,671,4
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",54,27,8,357,14,2,2036,73,2999,39,5656,825,0,6,25,12121,38
,"Special Votes BEFORE polling day",4,2,1,23,2,0,238,24,299,3,487,83,0,0,0,1166,4
,"Special Votes On polling day",10,12,6,67,1,0,427,20,469,10,954,138,0,4,2,2120,2
,"Overseas Special Votes including Defence Force",4,2,0,11,2,0,299,13,137,2,293,16,0,0,3,782,5
,"Votes Allowed for Party Only",2,10,3,10,0,0,92,17,169,11,216,52,0,1,0,583,3
,"Port Hills Total",175,120,33,1241,41,4,6812,298,9514,160,18719,2641,1,26,80,39865,105
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",39970
"Electorate Party Valid Votes for Port Hills",,"National Party - .4695597642"
"ACT New Zealand",175,.0043898156
"Aotearoa Legalise Cannabis Party",120,.0030101593
"Ban1080",33,.0008277938
