Party and Electorate Candidate Votes Recorded at each polling place
"Christchurch East 5","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Aranui","Aranui School Rooms 1 and 2, 257 Breezes Road",8,4,3,0,4,32,17,9,544,0,6,143,47,11,0,4,0,6,0,838,11
,"St Ambrose Church Cafe, 309 Breezes Road",8,2,8,0,3,38,32,5,368,0,6,135,32,4,1,3,0,5,0,650,5
,"St James School, Room 4, 25 Rowan Avenue",7,1,4,1,0,23,8,8,387,0,9,65,18,8,0,2,0,2,0,543,12
"Avondale","Avondale School, Rooms 5 and 6, 132 Breezes Road",12,2,6,0,3,52,29,11,459,0,4,306,48,2,0,5,0,11,0,950,9
,"Woolley Street Kindergarten, 63 Woolley Street",12,1,3,0,1,41,17,10,430,0,1,394,24,0,0,2,0,14,0,950,2
"Bexley","Pipi's Preschool, corner Pages & Bexley Roads",7,0,5,1,0,43,18,7,344,0,10,204,30,1,0,0,0,6,0,676,2
"Bromley","Bromley School, 33 Keighleys Road",0,1,1,0,0,4,0,0,22,0,0,6,1,0,0,0,0,1,0,36,0
"Brooklands","Community Centre Hall, 5 Anfield Street",17,1,1,1,1,32,7,5,208,0,2,201,18,0,0,3,0,5,0,502,1
"Burwood","ABC Learning Centre, 53 Putake Drive",23,1,0,0,0,33,7,3,239,0,3,430,5,0,0,2,0,6,0,752,1
,"Burwood Christian Centre, 54 Bassett Street",22,0,5,1,1,49,15,17,342,0,2,354,38,0,0,7,0,15,0,868,1
,"Burwood School Hall, 255 New Brighton Road",52,3,2,1,1,81,30,8,636,0,5,764,57,0,0,12,0,17,0,1669,5
,"Garage, 165 Queensbury Street",16,1,0,0,0,34,15,10,277,3,5,261,28,1,0,4,0,4,1,660,3
,"Quaker Meeting House, 72 Cresswell Avenue",11,1,1,0,0,21,18,2,232,0,2,183,16,0,1,3,0,5,0,496,3
,"Windsor School Hall, 170 Burwood Road",41,1,1,1,4,85,29,7,607,1,4,720,50,0,0,14,0,15,3,1583,6
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",2,0,3,0,0,12,1,0,26,0,0,12,2,0,0,2,0,2,0,62,1
,"Christchurch Art Gallery, corner Worcester Boulevard & Montreal Streets",2,0,0,0,0,6,0,0,15,0,0,6,1,0,0,0,0,0,0,30,0
,"Christchurch East School, 311 Gloucester Street",0,0,0,0,0,5,1,0,13,0,0,12,3,0,0,0,0,1,0,35,0
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",2,0,0,0,0,5,2,0,23,0,0,16,1,0,0,0,0,0,0,49,3
"Dallington","Banks Avenue School Hall, 71 Banks Avenue",16,1,0,1,0,52,7,1,288,2,1,213,23,0,0,6,0,9,1,621,6
,"Dallington Scout Group, 3 Halberg Street",8,1,0,0,1,15,7,1,137,0,1,126,11,0,1,1,0,4,0,314,2
,"St Paul's School, School Hall, 21 Gayhurst Road",6,1,1,0,5,42,11,14,284,0,2,243,33,2,0,4,0,15,0,663,6
"Kainga","Kainga Public Hall, Kainga Road",14,0,2,0,0,17,5,1,115,0,1,71,14,0,0,1,0,4,1,246,0
"Linwood","Linwood Avenue School, 260 Linwood Avenue",1,0,0,0,0,1,0,0,29,0,0,9,0,0,0,0,0,0,0,40,0
,"Linwood North School Hall, 221 Woodham Road",5,1,3,0,0,12,8,4,103,0,2,45,4,0,0,0,0,1,1,189,1
,"St Chad's Anglican Church Hall, 1 Carnarvon Street (corner Buckleys Road)",3,0,1,0,0,10,6,2,74,1,2,43,10,0,0,0,0,3,0,155,2
"Mairehau","Mairehau Primary School, 43 Mahars Road",0,0,0,0,0,6,0,0,19,0,0,22,0,0,0,0,0,0,0,47,0
"Marshland","Marshland School, 329 Prestons Road",14,0,0,0,3,16,5,3,94,0,0,180,13,0,0,1,0,5,0,334,1
"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",21,8,13,0,8,165,36,8,944,1,14,454,104,2,0,6,0,8,2,1794,12
"North New Brighton","Freeville School, Room 3, 11 Sandy Avenue",14,2,2,1,4,47,18,4,419,0,1,270,38,0,1,8,0,9,2,840,12
,"North New Brighton School Hall, 150 Leaver Terrace",11,2,5,4,0,112,23,9,510,0,2,313,48,0,0,5,0,5,1,1050,9
,"Room 123, Korean Catholic Community, 268 Bower Avenue",26,2,2,3,1,93,30,7,400,0,2,271,39,5,0,8,0,7,2,898,5
,"Section Sales Office, corner Aston Drive & Orlando Crescent",11,0,1,0,2,58,9,8,179,0,2,279,14,0,0,1,0,4,0,568,0
,"Travis Junction Life Centre, 158 Travis Road",7,0,1,0,0,17,4,5,149,0,2,168,18,0,0,1,0,10,0,382,2
"Ouruhia","Ouruhia School Staffroom, 21 Turners Road",4,0,1,0,0,6,7,0,38,0,1,78,1,0,0,0,0,1,0,137,0
"Parklands","Parkview School Hall, 10 Chadbury Street",29,1,4,0,5,92,42,9,938,0,6,788,62,0,0,10,0,14,0,2000,12
"Phillipstown","Phillipstown School, 39 Nursery Road",0,0,0,0,0,1,0,2,9,0,1,7,2,0,0,1,0,0,0,23,0
"Queenspark","Queenspark School Hall, 222 Queenspark Drive",28,1,1,0,0,64,26,7,564,0,4,645,41,2,0,12,0,24,0,1419,2
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",1,0,0,0,0,4,1,1,27,0,1,20,3,0,0,0,0,0,0,58,0
"Shirley","Hammersley Park School, 102 Quinns Road",4,1,2,0,0,26,3,1,182,0,1,165,17,1,0,2,0,3,0,408,2
,"Shirley Intermediate School Hall, corner Shirley Road & North Parade ",11,0,0,0,0,26,7,0,183,1,0,172,22,0,0,4,1,7,0,434,5
,"Shirley Primary School, 11 Shirley Road",4,0,0,0,0,8,2,2,52,0,1,70,3,0,0,0,0,1,0,143,0
"South New Brighton","South Brighton Community Centre, 74 Beatty Street",47,4,5,0,2,292,37,9,851,1,16,640,83,0,0,11,0,4,1,2003,13
,"South Brighton Croquet Club Rooms, 132 Union Street",7,2,2,2,0,112,19,7,262,0,6,106,20,0,0,5,0,3,1,554,0
"Spencerville","Spencerville Public Hall, 6 Heyders Road",8,0,1,0,1,31,1,4,90,0,1,176,9,0,0,1,0,4,4,331,2
"Wainoni","Methodist Church Lounge, 878 Avonside Drive",9,1,3,1,3,23,20,8,212,0,4,118,30,1,0,2,0,11,0,446,4
,"Ottawa Gardens Pre-School, 49 Ottawa Road",10,0,0,1,1,14,3,5,219,0,0,105,17,0,0,2,0,1,1,379,1
,"Wainoni School Hall, 115 Eureka Street",1,1,0,0,0,21,8,1,176,0,2,68,24,2,0,3,0,5,0,312,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",3,2,0,0,1,23,16,2,387,0,1,202,25,1,0,1,0,3,3,670,13
,"Ordinary Votes BEFORE polling day",46,7,10,1,3,202,60,19,1237,2,11,978,121,2,0,11,0,20,2,2732,13
,"Special Votes BEFORE polling day",5,0,1,1,0,40,5,3,168,0,4,138,19,4,0,1,0,2,0,391,3
,"Special Votes On polling day",41,2,8,3,7,169,18,9,812,0,11,694,48,3,1,34,0,17,0,1877,6
,"Overseas Special Votes including defence force",0,1,0,0,1,38,1,4,65,1,0,92,4,0,0,0,0,5,0,212,0
,"Votes Allowed for Party Only",7,2,5,0,2,38,5,7,197,1,14,108,13,2,0,5,0,2,0,408,1
,"Christchurch East Total",664,62,117,24,68,2489,696,269,15585,14,176,12289,1352,54,5,210,1,326,26,34427,202
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34629
"Electorate Party Valid Votes for Christchurch East",,"Labour Party - .4526970111"
"ACT New Zealand",664,.0192871874
"Alliance",62,.0018009121
"Aotearoa Legalise Cannabis Party",117,.0033984954
"Democrats for Social Credit",24,.0006971273
"Family Party",68,.0019751939
"Green Party",2489,.0722979057
"Jim Anderton's Progressive",696,.0202166904
"Kiwi Party",269,.0078136346
"Labour Party",15585,.4526970111
"Libertarianz",14,.0004066576
"Maori Party",176,.0051122665
"National Party",12289,.3569582014
"New Zealand First Party",1352,.039271502
"New Zealand Pacific Party",54,.0015685363
"RAM - Residents Action Movement",5,.0001452348
"The Bill and Ben Party",210,.0060998635
"The Republic of New Zealand Party",1,.000029047
"United Future",326,.0094693119
"Workers Party",26,.0007552212
