Party and Electorate Candidate Votes Recorded at each polling place
"Kaikōura 20","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Waitaria Bay","Waitaria Bay School, 5668 Kenepuru Road",1,0,1,4,0,12,7,0,0,0,36,10,2,73,0
"Ward","Ward School, 63 Duncan Street",4,0,2,6,0,11,17,0,0,0,123,17,1,181,1
"Woodbourne","RNZAF Family Centre, Caldwell Road",2,0,2,9,0,8,27,0,0,0,114,16,1,179,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Christchurch Central",0,0,0,0,0,3,3,0,0,1,16,0,0,23,0
,"Ordinary Votes BEFORE polling day - Taken in Kaikōura",43,4,10,130,9,464,747,4,3,14,2332,266,54,4080,44
,"Ordinary Votes BEFORE polling day - Taken in Waimakariri",2,0,0,9,0,18,32,0,0,1,113,15,2,192,3
,"Special Votes BEFORE polling day",1,0,4,9,1,98,133,1,2,3,347,49,6,654,2
,"Special Votes On polling day",9,1,22,61,2,246,315,0,4,7,951,75,15,1708,9
,"Overseas Special Votes including Defence Force",6,0,0,1,0,33,28,0,0,0,106,5,2,181,1
,"Votes Allowed for Party Only",2,0,6,2,0,32,71,0,3,2,104,11,1,234,1
,"Kaikōura Total",379,19,165,1296,42,3786,6775,23,45,147,18909,2236,306,34128,284
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34412
"Electorate Party Valid Votes for Kaikōura",,"National Party - .5540611814"
"ACT New Zealand",379,.0111052508
"Alliance",19,.0005567276
"Aotearoa Legalise Cannabis Party",165,.0048347398
"Conservative Party",1296,.0379746835
"Democrats for Social Credit",42,.001230661
"Green Party",3786,.1109353024
"Labour Party",6775,.1985173465
"Libertarianz",23,.0006739334
"Mana",45,.0013185654
"Māori Party",147,.0043073136
"National Party",18909,.5540611814
"New Zealand First Party",2236,.0655180497
"United Future",306,.0089662447
