Party and Electorate Candidate Votes Recorded at each polling place
"Port Waikato 42","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Te Kauwhata","Te Kauwhata College, Waerenga Rd",0,19,0,1,0,1,2,1,20,8,215,0,5,423,0,71,0,1,16,783,4
"Te Kohanga","Te Kohanga School, 976 Tuakau - Port Waikato Main Rd",0,2,0,0,5,0,3,0,6,0,23,0,0,72,0,9,0,0,5,125,0
"Te Uku","Te Uku School, 3436 SH 23",0,2,0,2,0,0,1,0,19,1,38,0,3,81,0,10,0,0,8,165,0
"Tuakau","Tuakau Primary School, School Rd",0,7,0,2,0,0,0,0,25,1,217,0,4,229,0,56,0,0,10,551,6
,"Union Parish Hall, St Stephen's Ave",0,12,0,2,0,0,6,0,17,4,190,0,1,289,0,82,0,1,8,612,4
"Waerenga","Waerenga School, 1066 Taniwha Rd",0,18,0,0,0,0,2,0,4,1,23,0,0,154,0,12,0,0,2,216,0
"Waiau Pa","Waiau Pa School, 571 Waiau Pa Rd",0,19,0,0,0,0,1,0,22,4,150,0,3,448,0,50,0,1,10,708,7
"Waikaretu","Waikaretu School, 1448 Waikaretu Valley Rd",0,2,0,0,0,0,0,0,5,1,7,0,1,41,0,6,0,0,3,66,0
"Waingaro","Waingaro School, 5844 Waingaro Rd",0,0,0,0,0,0,1,0,1,0,9,0,0,63,0,8,0,0,3,85,1
"Waipipi","Waipipi School, 100 Creamery Rd",0,10,0,1,0,0,1,0,15,2,76,0,2,183,0,28,0,0,9,327,1
"Waiterimu","Waiterimu School, 166 Waiu Rd",0,3,0,0,0,0,2,0,3,1,17,0,1,79,0,9,0,0,2,117,0
"Waiuku","Sandspit School, Sandspit Rd",1,26,0,2,1,0,2,2,26,7,386,0,3,575,0,135,1,1,17,1185,7
,"Waiuku College, Constable Rd",2,15,1,4,2,0,4,1,25,8,223,1,9,351,0,75,2,1,24,748,4
,"Waiuku Primary School, cnr George & France Sts",4,47,0,7,0,1,12,0,59,13,520,3,8,692,0,177,1,0,31,1575,6
"Whatawhata","Whatawhata School, School Road",0,11,0,0,1,0,1,0,12,3,101,0,5,203,2,14,0,0,15,368,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,3,0,0,0,0,2,0,1,1,68,0,0,115,0,27,0,3,2,223,3
,"Ordinary Votes BEFORE polling day",0,58,0,6,6,1,11,1,66,12,505,0,15,1147,0,180,0,1,75,2084,6
,"Special Votes BEFORE polling day",0,3,0,1,0,0,0,0,3,1,27,0,0,49,0,12,0,0,4,100,0
,"Special Votes On polling day",1,41,0,11,5,0,10,3,150,24,717,0,21,1327,2,178,1,3,65,2559,3
,"Overseas Special Votes including defence force",0,9,0,2,0,0,2,0,27,0,71,0,1,180,0,13,0,0,6,311,0
,"Special Votes Allowed for Party Only",0,1,0,3,2,0,3,0,21,2,129,0,22,110,0,27,0,0,4,324,1
,"Port Waikato Total",15,826,9,79,43,10,160,28,1344,242,9335,19,230,19794,11,3021,9,20,842,36037,143
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36180
"Electorate Party Valid Votes for Port Waikato",,"National Party - .5492688071"
"99 MP Party",15,.0004162389
"ACT New Zealand",826,.0229208869
"Alliance",9,.0002497433
"Aotearoa Legalise Cannabis Party",79,.0021921914
"Christian Heritage NZ",43,.0011932181
"Democrats for Social Credit",10,.0002774926
"Destiny New Zealand",160,.0044398812
"Direct Democracy Party",28,.0007769792
"Green Party",1344,.0372950024
"Jim Anderton's Progressive",242,.0067153204
"Labour Party",9335,.2590393207
"Libertarianz",19,.0005272359
"Mâori Party",230,.0063823293
"National Party",19794,.5492688071
"New Zealand Family Rights Protection Party",11,.0003052418
"New Zealand First Party",3021,.0838305075
"OneNZ Party",9,.0002497433
"The Republic of New Zealand Party",20,.0005549852
"United Future New Zealand",842,.023364875
