Party and Electorate Candidate Votes Recorded at each voting place
"Wairarapa 58","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Waipukurau School Hall, St Marys Road",2,1,2,53,0,0,45,0,123,3,519,71,0,1,0,820,6
"Weber","Weber School, Dannevirke-Weber Road",0,0,0,6,0,0,0,0,4,0,87,9,0,0,0,106,0
"Whareama","Whareama School, 82 Langdale Road",1,0,0,10,0,0,7,0,13,0,95,8,0,0,0,134,0
"Woodville","Woodville School Hall, Vogel Street",1,4,1,37,0,0,55,11,239,5,388,151,0,1,1,894,3
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",36,20,12,324,2,0,574,32,1561,34,4071,901,3,2,12,7584,38
,"Special Votes BEFORE polling day",2,6,3,19,0,0,121,9,205,8,478,113,0,1,2,967,5
,"Special Votes On polling day",7,15,9,63,0,0,206,13,355,9,815,170,0,4,1,1667,3
,"Overseas Special Votes including Defence Force",8,2,2,11,0,0,84,6,47,0,243,22,1,0,2,428,0
,"Votes Allowed for Party Only",0,10,3,10,0,0,44,7,106,9,93,39,0,0,0,321,0
,"Wairarapa Total",124,175,142,1622,7,4,3134,164,7712,209,19634,4393,8,22,59,37409,116
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37525
"Electorate Party Valid Votes for Wairarapa",,"National Party - .524846962"
"ACT New Zealand",124,.0033147104
"Aotearoa Legalise Cannabis Party",175,.0046780187
"Ban1080",142,.003795878
"Conservative",1622,.0433585501
"Democrats for Social Credit",7,.0001871207
"Focus New Zealand",4,.0001069261
"Green Party",3134,.0837766313
"Internet MANA",164,.0043839718
"Labour Party",7712,.2061535994
"Māori Party",209,.0055868909
"National Party",19634,.524846962
"New Zealand First Party",4393,.1174316341
"NZ Independent Coalition",8,.0002138523
"The Civilian Party",22,.0005880938
"United Future",59,.0015771606
