Party and Electorate Candidate Votes Recorded at each polling place
"Wairarapa 56","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Alfredton","Alfredton School, corner Alfredton Road & Route 52",2,0,1,7,0,4,9,0,0,3,121,6,1,154,1
"Carterton","Carterton Kindergarten, 3 Victoria Street",6,0,4,26,0,84,244,1,4,7,386,78,2,842,6
,"Carterton School Hall, corner Holloway & Dixon Streets",7,0,5,31,0,136,252,3,3,6,433,75,4,955,6
,"Dalefield School, corner Dalefield & Thomas Roads",3,0,1,9,0,33,51,2,3,1,137,20,1,261,2
,"Parkvale Hall, corner Nix & Para Roads",5,0,4,11,0,39,48,1,1,1,242,30,5,387,0
,"South End School, 275 High Street South",5,0,2,36,2,85,211,3,0,3,356,55,9,767,4
,"West Taratahi Hall, Chester Road",3,0,0,23,0,33,37,1,1,0,138,19,4,259,2
"Dannevirke","Dannevirke High School Canteen, Grant Street",0,1,0,9,0,17,42,1,0,2,186,16,2,276,1
,"Dannevirke South School Hall, corner Stairs & Hunter Streets",10,0,4,22,0,49,117,1,0,5,322,52,11,593,2
,"Dannevirke Sports Centre, Anderson Street",1,0,2,17,0,15,68,0,1,4,148,27,8,291,4
,"Huia Range School, corner Cole & High Streets",10,0,5,20,0,45,175,3,2,3,306,66,3,638,6
,"Ruahine School, 333 Maharahara Road",2,0,0,13,0,6,12,0,0,0,146,9,10,198,0
,"The Hub, Allardice Street",8,0,5,14,1,33,141,0,1,2,309,56,7,577,9
,"Totara College, 3 Ruahine Street",1,1,2,14,0,16,49,1,0,3,181,42,3,313,4
"Eketahuna","Eketahuna School, Albert Street",9,0,3,19,0,27,84,4,0,2,225,44,0,417,8
"Featherston","Featherston School Hall, corner Lyons & Revans Streets",9,0,10,32,0,165,445,3,3,10,376,140,4,1197,9
,"South Featherston School, South Featherston Road",4,0,1,6,0,18,35,1,0,0,83,16,3,167,0
"Gladstone","Gladstone School Hall, Te Whiti Road",4,0,1,8,1,30,27,2,0,2,223,10,3,311,0
"Greytown","Greytown School Hall, 76 East Street",15,0,7,30,0,209,265,2,3,11,739,90,6,1377,8
,"Kuranui College Student Centre, Bidwells Cutting Road",2,0,2,11,0,35,36,1,0,0,149,15,0,251,0
"Kahutara","Kahutara School Sports Centre, Kahutara Road",4,0,1,8,0,12,30,1,0,1,105,4,1,167,1
"Mangamaire","Mangamaire School, 192 Tutaekara Road",5,0,3,11,0,10,19,1,0,0,139,11,2,201,0
"Mangatainoka","Mangatainoka School, corner State Highway 2 & Makuri Street",7,0,0,12,0,13,43,0,0,1,118,14,1,209,0
"Martinborough","Martinborough School Hall, 14 Dublin Street",25,1,7,26,0,140,166,1,3,7,766,61,6,1209,5
