Party and Electorate Candidate Votes Recorded at each polling place
"Hamilton East 13","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Cambridge","Cambridge Middle School, corner Clare & Grey Streets",0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,6,0
,"Cambridge Primary School, Wilson Street",2,0,0,0,0,2,0,0,5,0,1,17,1,0,0,1,0,0,0,29,0
"Chartwell","Hukanui School, corner Hukanui Road & Pickering Crescent",103,1,2,0,15,92,7,8,516,1,11,1302,69,0,0,11,2,36,0,2176,7
,"St Albans Church Hall, corner Comries Road & Belmont Avenue",72,0,7,0,2,93,8,10,497,1,17,854,77,1,0,8,0,24,0,1671,2
"Claudelands","Peachgrove Intermediate School, Peachgrove Road",25,0,4,2,3,61,1,3,225,0,5,252,20,0,0,3,0,6,1,611,6
,"Southwell School, 200 Peachgrove Road",49,1,0,0,0,69,4,5,275,1,5,503,34,0,0,7,1,13,1,968,1
,"St Aidans Parish Hall, 24 Thames Street",44,0,2,0,2,100,3,2,337,0,5,334,33,2,0,3,1,10,0,878,2
"Enderley","Te Kura Kaupapa Maori O Te Ara Rima School, Fifth Avenue",21,0,1,0,2,35,4,8,239,1,13,178,35,2,0,4,1,11,0,555,5
"Fairfield","Fairfield Baptist Church, 1101 Heaphy Terrace",15,0,2,0,1,23,3,8,184,0,5,163,22,0,0,3,0,9,1,439,2
,"Fairfield College, Bankwood Road",24,0,2,0,2,38,2,0,193,0,6,209,7,0,0,2,0,9,0,494,1
,"Fairfield Intermediate School, 261 Clarkin Road",18,1,3,2,1,20,3,5,239,0,3,211,25,0,0,3,0,6,0,540,5
,"Insoll Avenue School, 95 Insoll Avenue",42,0,3,0,6,48,13,4,427,2,10,359,50,2,0,5,0,22,0,993,6
,"Wesley Methodist Hall, 955 Heaphy Terrace",19,0,5,0,0,62,5,4,267,1,4,153,35,0,0,5,0,10,0,570,2
,"Woodstock Primary School, Fairfield Road",43,0,1,0,2,58,3,4,225,0,8,422,25,1,0,1,0,8,0,801,3
"Flagstaff","Alandale Retirement Village, 1199 River Road North",87,2,2,1,4,68,10,6,396,0,10,1106,37,0,0,5,1,37,1,1773,4
"Frankton","Frankton School Hall, Massey Street",1,0,0,0,0,6,0,0,15,0,0,9,0,0,0,0,0,0,0,31,0
"Hamilton East","Air Training Corps Hall, corner Naylor & Dey Streets",28,0,4,0,2,68,5,1,254,1,8,341,29,0,0,13,1,10,0,765,1
,"Graceways Church, 69 Grey Street",18,1,1,0,0,69,8,5,146,0,5,203,20,0,0,7,0,11,0,494,0
,"Hamilton East Primary School, Dawson Street",39,1,2,0,4,90,6,3,278,2,8,285,20,0,0,6,2,3,0,749,2
,"Knox Presbyterian Hall, 50 Albert Street",28,0,9,1,2,133,8,3,391,0,8,374,35,1,0,6,0,8,1,1008,6
,"Marian Catholic School, corner Firth & Clyde Streets",28,0,5,0,4,93,7,7,326,0,11,407,28,0,0,16,0,9,1,942,3
"Hamilton West","Hamilton West School, 36 Hammond Street",2,0,0,0,0,5,0,0,13,0,0,10,0,0,0,0,0,0,0,30,0
,"Waikato Hospital, Pembroke Street, Level B5, main entrance foyer",4,0,0,0,0,4,0,1,26,0,2,29,1,0,0,0,0,0,0,67,0
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",64,0,6,2,1,158,6,9,419,3,14,671,51,0,0,10,0,23,1,1438,4
,"Knighton Normal School, Knighton Road",47,2,10,0,3,180,13,9,520,2,24,632,30,1,0,25,1,20,0,1519,6
"Horotiu","Horotiu School, Horotiu Bridge Road",3,0,0,0,0,1,0,0,6,0,0,12,0,0,0,0,0,0,0,22,0
"Maeroa","Maeroa Intermediate School, 57 Churchill Avenue",0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,1,0,10,0
