Party and Electorate Candidate Votes Recorded at each voting place
"Hauraki-Waikato 65","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Overseas Special Votes including Defence Force",0,3,0,1,0,0,28,18,68,28,8,15,0,0,0,169,0
,"Votes Allowed for Party Only",2,10,1,7,0,0,69,65,316,79,48,69,0,0,0,666,5
,"Hauraki-Waikato Total",43,306,34,159,5,10,2043,1689,9724,2504,1583,2796,1,3,14,20914,302
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",21216
"Electorate Party Valid Votes for Hauraki-Waikato",,"Labour Party - .464951707"
"ACT New Zealand",43,.002056039
"Aotearoa Legalise Cannabis Party",306,.0146313474
"Ban1080",34,.0016257053
"Conservative",159,.0076025629
"Democrats for Social Credit",5,.0002390743
"Focus New Zealand",10,.0004781486
"Green Party",2043,.0976857607
"Internet MANA",1689,.0807593
"Labour Party",9724,.464951707
"Māori Party",2504,.1197284116
"National Party",1583,.0756909247
"New Zealand First Party",2796,.133690351
"NZ Independent Coalition",1,.0000478149
"The Civilian Party",3,.0001434446
"United Future",14,.0006694081
