Party and Electorate Candidate Votes Recorded at each polling place
"Dunedin North 8","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Warrington","Warrington Primary School, 3 Ferguson Street",2,0,0,2,0,76,60,0,1,0,65,13,3,222,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Dunedin North",33,7,10,27,5,827,961,4,20,20,919,137,16,2986,28
,"Ordinary Votes BEFORE polling day - Taken in Dunedin South",1,1,0,6,2,21,77,2,0,0,52,15,1,178,2
,"Special Votes BEFORE polling day",10,2,4,2,1,197,213,0,5,2,206,34,5,681,2
,"Special Votes On polling day",20,1,23,43,4,725,802,0,18,10,1013,102,18,2779,6
,"Overseas Special Votes including Defence Force",5,5,1,1,1,156,128,0,1,0,110,13,9,430,1
,"Votes Allowed for Party Only",3,1,10,2,0,94,117,0,6,7,124,17,1,382,2
,"Dunedin North Total",218,50,172,405,62,7010,10127,18,181,126,9707,1706,183,29965,190
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",30155
"Electorate Party Valid Votes for Dunedin North",,"Labour Party - .3379609544"
"ACT New Zealand",218,.0072751543
"Alliance",50,.0016686134
"Aotearoa Legalise Cannabis Party",172,.00574003
"Conservative Party",405,.0135157684
"Democrats for Social Credit",62,.0020690806
"Green Party",7010,.2339395962
"Labour Party",10127,.3379609544
"Libertarianz",18,.0006007008
"Mana",181,.0060403804
"Māori Party",126,.0042049057
"National Party",9707,.323944602
"New Zealand First Party",1706,.0569330886
"United Future",183,.006107125
