Party and Electorate Candidate Votes Recorded at each polling place
"Rodney 46","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",0,12,1,0,0,0,3,0,17,2,68,0,0,223,0,13,0,0,12,351,1
,"Massey University, Building 84, Gate 4, Old Albany Highway ",0,2,0,0,0,0,0,0,4,0,16,0,0,32,0,1,0,0,2,57,0
"Dairy Flat","Dairy Flat School, 1220 State Highway 1",0,36,0,1,0,2,7,0,56,14,270,1,2,943,0,78,0,0,43,1453,1
"East Coast Bays","East Coast Bays Bible Baptist Church, 1092 East Coast Bays Rd",0,10,0,0,0,0,5,0,10,1,70,0,1,196,0,16,0,0,3,312,0
"Gulf Harbour","Gulf Harbour School, 65 Alec Craig Way",0,28,0,1,0,1,3,0,42,13,303,0,3,872,0,91,1,0,29,1387,3
"Kaukapakapa","Kaukapakapa School Hall, 977 Kaipara Coast Highway",0,7,0,0,0,0,0,0,19,2,45,0,0,130,0,16,0,0,6,225,0
"Kawau Island","Camp Bentzon Community Room, North Cove",0,3,0,0,0,0,0,0,0,0,8,0,0,4,0,2,0,0,0,17,0
"Leigh","Leigh School, 26 Hauraki Road",0,8,0,2,0,0,0,0,46,1,163,0,4,140,0,44,0,0,6,414,0
"Mangawhai","Mangawhai Hall, Mangawhai Rd",0,3,0,0,0,0,1,0,9,0,21,0,0,79,0,7,0,0,1,121,0
"Manly","Manly Methodist Church, 945 Whangaparaoa Road (cnr Walbrook Rd)",0,23,0,1,1,0,2,0,42,8,382,0,5,833,0,126,0,0,42,1465,2
,"Whangaparaoa School, 39 Ladies Mile",0,23,0,5,0,1,4,0,46,8,306,0,4,723,0,102,0,0,32,1254,4
"Matakana","Matakana School, 952 Matakana Road",1,17,0,2,1,0,7,2,87,9,256,0,3,494,0,61,0,0,12,952,0
"Orewa","Orewa College, Riverside Road",0,21,0,1,0,0,12,1,34,16,415,0,1,694,0,123,0,0,53,1371,4
,"Orewa Community Centre, Hillary Square",1,29,2,2,1,0,9,0,83,29,664,1,4,1057,0,237,1,0,45,2165,7
,"Orewa North School, Centreway Road",1,12,0,2,0,0,11,0,45,19,472,0,3,708,0,143,0,0,25,1441,7
"Point Wells","Point Wells Hall, Point Wells Road",0,12,0,1,1,0,1,0,12,0,146,1,1,236,0,48,0,0,13,472,3
"Port Albert","Port Albert Hall, 980 Port Albert Road",0,13,3,0,0,0,2,0,16,3,74,0,0,192,0,53,0,0,5,361,0
"Puhoi","Puhoi Centennial Hall, Puhoi Road",0,15,0,1,1,0,0,0,56,5,120,1,3,238,0,28,0,0,15,483,0
"Red Beach","Red Beach Methodist Church, 76 Red Beach Road",0,22,0,2,2,0,11,1,52,14,472,0,2,803,0,131,0,2,51,1565,7
,"Red Beach School, 20 Albert Hall Drive",1,27,1,1,0,1,4,0,29,6,372,0,2,800,0,113,0,1,53,1411,0
"Silverdale","Stella Maris School Hall, Wainui Road",0,22,0,2,6,0,9,1,55,6,284,1,2,684,1,73,0,0,43,1189,0
"Snells Beach","Snells Beach Methodist Church, 325 Mahurangi East Road",1,17,3,1,0,2,7,0,35,22,456,0,4,625,0,135,1,0,54,1363,6
,"The Lifeway Trust Auditorium, 20 Goodall Road",0,6,0,1,2,0,22,0,17,1,99,0,2,338,1,33,0,0,34,556,2
"Stanmore Bay","Hibiscus Coast Leisure Centre, 159 Brightside Road",0,33,1,4,1,0,17,1,95,25,743,0,3,1177,1,139,0,0,100,2340,8
"Tapora","Tapora School, 1 Okahukura Road",0,2,0,1,1,0,0,0,4,0,12,0,0,49,0,6,0,0,3,78,2
"Wainui","Wainui School, 492 Waitoki Road",0,5,0,1,0,1,3,0,16,0,76,0,0,251,0,15,0,0,15,383,0
"Waitoki","Waitoki School Hall, 1119 Kahikatea Flat Road, RD 1",0,6,0,0,1,0,0,0,12,0,45,0,0,160,0,9,0,0,8,241,1
"Warkworth","Masonic Lodge, Baxter Street",0,25,0,2,4,3,6,0,113,14,478,0,4,913,1,177,0,1,56,1797,4
,"Warkworth Methodist Church Hall, 1 Hexham Street",0,22,0,1,0,2,13,0,51,8,269,0,4,548,1,64,1,0,53,1037,6
"Wellsford","Wellsford Primary School, School Road",1,24,1,2,3,1,8,0,60,6,294,0,11,586,0,111,0,0,29,1137,2
"Whangaparaoa","Whangaparaoa College, 25 Delshaw Avenue",0,16,0,0,0,0,3,0,29,4,155,0,1,272,0,37,0,0,28,545,1
,"Whangaparaoa Ratepayers Assn Hall, 717 Whangaparaoa Rd",0,23,1,1,4,0,11,1,57,16,518,0,4,794,1,127,1,0,50,1609,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,14,0,0,0,0,0,0,7,7,235,0,1,296,0,59,1,0,18,638,3
,"Ordinary Votes BEFORE polling day",0,87,2,6,4,1,26,0,177,41,1144,0,11,2089,2,397,2,0,151,4140,17
,"Special Votes BEFORE polling day",0,8,0,1,0,0,1,0,13,4,113,0,0,232,0,34,0,0,5,411,0
,"Special Votes On polling day",0,32,2,11,2,0,23,1,141,10,656,0,10,1013,0,133,0,1,54,2089,5
,"Overseas Special Votes including defence force",0,11,1,0,1,0,0,0,28,2,136,0,0,247,0,30,0,1,10,467,1
,"Special Votes Allowed for Party Only",0,2,0,2,0,0,7,0,16,3,106,2,12,128,0,27,0,0,3,308,0
,"Rodney Total",6,678,18,58,36,15,238,8,1631,319,10462,7,107,19799,8,3039,8,6,1162,37605,99
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37704
"Electorate Party Valid Votes for Rodney",,"National Party - .5264991358"
"99 MP Party",6,.0001595533
"ACT New Zealand",678,.0180295174
"Alliance",18,.0004786598
"Aotearoa Legalise Cannabis Party",58,.0015423481
"Christian Heritage NZ",36,.0009573195
"Democrats for Social Credit",15,.0003988831
"Destiny New Zealand",238,.0063289456
"Direct Democracy Party",8,.0002127377
"Green Party",1631,.043371892
