Party and Electorate Candidate Votes Recorded at each polling place
"Whangarei 62","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
,"Trinity Uniting Church, 4 Otuhiwai Crescent",30,0,4,1,1,32,11,5,261,0,4,433,50,0,0,3,0,5,0,840,8
"Waimate North","205 Showgrounds Road",4,0,1,0,0,5,0,0,13,0,0,59,4,0,0,0,0,1,0,87,2
"Waipu","Waipu Hall, The Centre",27,0,5,0,0,72,13,0,247,1,6,533,76,0,0,10,1,6,0,997,6
"Whangarei","Northland Mitsubishi, Reyburn Street",32,0,3,4,4,32,11,3,187,0,1,339,45,0,1,8,0,2,0,672,1
,"Regent Training Classrooms, 29 Maunu Road",4,0,7,1,0,19,7,1,143,0,4,159,26,0,0,7,0,7,0,385,4
,"Te Renga Paraoa Marae, Porowini Avenue",11,0,2,0,4,26,4,4,74,1,5,82,18,0,0,1,0,1,0,233,0
,"Whangarei Intermediate, 32 Rust Avenue",21,0,4,0,7,70,17,6,318,2,4,380,59,0,1,5,0,7,1,902,8
"Whangarei Heads","McLeod Bay Hall, Stewart Road",29,0,4,0,2,65,6,2,152,0,0,253,26,2,0,2,0,2,0,545,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",4,1,0,5,1,8,2,2,134,1,1,166,28,0,1,0,0,4,2,360,8
,"Ordinary Votes BEFORE polling day",110,0,6,3,5,149,31,16,689,1,20,1516,146,0,3,9,0,9,0,2713,11
,"Special Votes BEFORE polling day",10,0,4,0,1,24,3,0,118,0,6,210,28,0,0,1,0,2,1,408,2
,"Special Votes On polling day",61,0,23,0,12,166,23,5,529,0,31,833,79,0,2,29,0,9,3,1805,7
,"Overseas Special Votes including defence force",18,0,0,2,0,32,3,0,69,0,1,189,13,0,0,0,0,1,0,328,0
,"Votes Allowed for Party Only",9,0,3,0,1,36,2,3,130,0,23,129,17,1,0,3,0,4,1,362,6
,"Whangarei Total",1385,17,169,66,128,2187,531,167,10433,18,333,18252,2246,12,25,231,3,260,13,36476,240
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36716
"Electorate Party Valid Votes for Whangarei",,"National Party - .500383814"
"ACT New Zealand",1385,.0379701722
"Alliance",17,.0004660599
"Aotearoa Legalise Cannabis Party",169,.0046331835
"Democrats for Social Credit",66,.0018094089
"Family Party",128,.0035091567
"Green Party",2187,.0599572322
"Jim Anderton's Progressive",531,.0145575173
"Kiwi Party",167,.0045783529
"Labour Party",10433,.2860236868
"Libertarianz",18,.0004934752
"Maori Party",333,.0091292905
"National Party",18252,.500383814
"New Zealand First Party",2246,.0615747341
"New Zealand Pacific Party",12,.0003289834
"RAM - Residents Action Movement",25,.0006853822
"The Bill and Ben Party",231,.0063329312
"The Republic of New Zealand Party",3,.0000822459
"United Future",260,.0071279746
"Workers Party",13,.0003563987
