Party and Electorate Candidate Votes Recorded at each polling place
"Taranaki-King Country 49","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Te Kawa Crossroads","Te Kawa Crossroads Hall, corner State Highway 3 & Te Kawa Road",21,1,2,0,2,7,4,0,35,0,1,199,6,0,0,4,0,7,0,289,0
"Te Kuiti","Centennial Park School, 50 Te Kuiti Road",4,0,0,1,0,3,0,0,51,0,4,73,6,0,0,0,0,1,0,143,1
,"Te Kuiti Courthouse, Queen Street",23,0,0,2,4,20,4,1,139,0,6,338,27,0,0,6,0,5,0,575,3
,"Te Kuiti High School, Hospital Road",12,0,2,0,0,11,0,1,74,0,4,130,14,1,0,2,0,1,0,252,3
,"Te Kuiti Primary School, Rora Street",35,0,0,0,1,18,2,3,139,0,7,332,27,0,0,3,0,5,1,573,6
"Te Mata","Te Mata School Hall, 775 Te Mata Road",8,0,0,0,0,12,1,1,25,0,2,120,10,0,0,1,0,2,0,182,0
"Te Pahu","Te Pahu School, 671 Te Pahu Road",26,2,4,2,0,51,3,5,92,0,2,277,20,0,0,6,0,10,0,500,0
"Te Rahu","Te Rahu Public Hall, corner State Highway 3 & Te Rahu Road",9,0,2,1,0,6,3,2,26,0,0,229,4,0,0,6,0,0,0,288,1
"Te Uku","Te Uku School, 3436 State Highway 23",2,0,0,0,0,6,1,0,12,0,0,35,2,0,0,1,0,1,0,60,0
"Templeview","Church College of New Zealand (reception foyer), 435 Tuhikaramea Road",3,0,0,0,0,9,1,0,17,0,0,36,2,0,0,0,0,1,0,69,0
"Tikorangi","Tikorangi School, 356 Ngatimaru Road",9,0,1,0,0,14,1,1,43,0,6,204,6,0,0,1,0,2,0,288,2
"Tokirima","Tokirima School, Tokirima Road",6,0,0,0,0,1,0,0,6,2,0,38,1,0,0,0,0,0,0,54,0
"Toko","Toko School, 1057 East Road",15,0,1,0,0,5,1,1,20,0,0,211,3,0,1,4,0,2,0,264,1
"Tongaporutu","Tongaporutu Hall, Tongaporutu Road",5,0,0,0,0,2,0,0,16,0,6,30,3,0,0,0,0,2,0,64,0
"Urenui","Urenui School (old room 2), Takiroa Street",29,0,6,4,1,23,1,1,72,0,8,321,24,0,0,5,0,2,0,497,3
"Uruti","Uruti School, 11 Uruti Road",5,0,0,0,0,3,1,0,16,1,1,39,3,0,0,1,0,0,0,70,0
"Waitara","Waitara Central School Hall, 18 Cracroft Street",3,0,0,0,0,4,0,0,13,0,0,13,3,0,0,0,0,0,0,36,0
,"Waitara High School Hall, 16 Princess Street",8,0,1,2,0,2,0,0,23,0,0,36,6,0,0,1,0,0,0,79,0
"Waitetuna","Waitetuna School, 129 Waitetuna Valley Road",9,1,0,0,2,22,2,0,28,0,3,48,2,0,0,0,0,1,0,118,0
"Waitomo Caves","Waitomo School, Hotel Access Road",5,0,2,0,0,5,1,0,29,0,3,70,2,0,0,1,0,3,0,121,0
"Waitoriki","Waitoriki School, 364 Lincoln Road",3,0,1,0,0,4,0,0,14,0,1,35,5,0,0,0,0,0,0,63,1
"Whangamomona","Whangamomona Hall, 6013 State Highway 43",9,0,1,0,0,2,0,0,10,0,1,58,4,0,0,0,0,0,0,85,1
"Wharehuia","Wharehuia Hall, ex Stanley School, 4 Stanley Road",7,0,1,0,1,4,0,0,13,0,0,81,1,0,0,0,0,0,0,108,0
"Wharepapa","Wharepapa South School, 14 Wharepapa Road",15,0,0,0,0,5,0,1,12,0,0,76,5,0,0,1,0,0,0,115,0
"Whatawhata","Whatawhata School, 9 Kura Street ",16,0,1,0,0,10,0,0,52,1,3,186,7,0,0,2,0,1,0,279,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",5,1,0,0,4,5,3,1,84,0,2,157,15,0,0,1,0,1,0,279,2
,"Ordinary Votes BEFORE polling day",121,4,4,4,5,129,14,15,551,1,22,1685,137,1,0,14,0,17,0,2724,11
,"Special Votes BEFORE polling day",18,0,3,2,1,29,4,0,104,1,8,229,19,0,0,2,0,5,0,425,1
,"Special Votes On polling day",80,0,8,1,11,132,7,12,424,0,34,949,68,0,0,35,0,16,1,1778,7
,"Overseas Special Votes including defence force",11,0,1,0,0,30,0,1,25,0,2,157,4,0,0,0,0,1,0,232,0
,"Votes Allowed for Party Only",4,0,1,0,2,24,1,0,102,0,15,102,8,0,0,4,1,2,0,266,4
,"Taranaki-King Country Total",1634,28,114,82,96,1607,192,151,6844,16,327,19232,1451,9,1,244,3,258,13,32302,153
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",32455
"Electorate Party Valid Votes for Taranaki-King Country",,"National Party - .595381091"
"ACT New Zealand",1634,.0505851031
"Alliance",28,.0008668194
"Aotearoa Legalise Cannabis Party",114,.0035291932
"Democrats for Social Credit",82,.0025385425
"Family Party",96,.0029719522
"Green Party",1607,.0497492415
"Jim Anderton's Progressive",192,.0059439044
"Kiwi Party",151,.0046746331
"Labour Party",6844,.2118754257
"Libertarianz",16,.0004953254
"Maori Party",327,.0101232122
"National Party",19232,.595381091
"New Zealand First Party",1451,.0449198192
"New Zealand Pacific Party",9,.0002786205
"RAM - Residents Action Movement",1,.0000309578
"The Bill and Ben Party",244,.0075537118
"The Republic of New Zealand Party",3,.0000928735
"United Future",258,.0079871215
"Workers Party",13,.0004024519
