Party and Electorate Candidate Votes Recorded at each polling place
"Ikaroa-Rawhiti 65","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Wainuiomata","Arakura School, 209 Wellington Road",0,0,0,0,5,6,1,0,90,0,52,4,8,0,0,0,0,0,1,167,0
,"Fernlea School, 25a Lees Grove",0,0,2,0,0,3,1,0,30,0,10,2,4,0,0,1,0,0,0,53,0
,"Holy Trinity Church, 40 Wainuiomata Road",0,0,0,0,1,1,0,1,43,0,23,4,3,1,0,1,0,1,0,79,2
,"Intermediate School, 66 Konini Street",0,0,0,0,0,2,0,0,73,0,21,5,11,0,0,0,0,0,0,112,0
,"Pukeatua School, 19 Frederick Street",0,0,0,0,0,5,1,0,57,0,31,0,3,0,0,0,0,0,0,97,1
,"St Peter's Church, 29 Wise Street",0,0,0,0,1,4,0,0,91,0,32,4,13,0,0,0,0,0,0,145,1
,"Wainuiomata Primary School, Homedale Road",0,0,4,0,0,9,0,0,92,0,27,6,7,0,0,2,0,0,0,147,0
,"Wainuiomata Union Church, 106 Main Road",0,0,1,0,0,2,0,0,48,0,13,4,2,0,0,0,0,0,0,70,0
,Napier
"Ahuriri","Port Ahuriri School, 15 Lever Street",0,0,0,0,0,3,0,0,21,0,14,7,3,0,0,1,0,0,0,49,0
"Bay View","King George Hall, 1 Hill Road",0,0,0,0,0,2,0,1,46,0,11,3,2,0,0,0,0,0,1,66,3
"Bluff Hill","Napier Central School, 32 Napier Terrace",0,0,0,0,0,0,0,0,12,0,7,1,2,0,0,0,0,0,0,22,0
,"Napier Girls' High School, 4 Clyde Road",0,0,1,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,10,0
"Eskdale","Eskdale School, 324 Hill Road",0,0,0,0,0,0,0,0,6,0,1,1,3,0,0,0,0,0,0,11,1
"Frasertown","Frasertown School, 4 Russell Parade",1,0,0,0,0,1,0,0,48,0,15,2,5,0,0,0,0,0,1,73,1
"Greenmeadows","Girl Guides Hall, corner Auckland Road & York Avenue",0,0,0,0,0,2,0,0,31,0,13,5,3,0,0,0,0,0,0,54,0
,"Greenmeadows Game Farm, 22 Burness Road",0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,11,0
,"Greenmeadows Primary Public School, 45 Osier Road",0,0,1,0,0,3,0,0,23,0,6,6,1,0,0,0,0,0,0,40,0
,"Salvation Army Hall, 56 Tait Drive",0,0,0,0,0,3,0,0,36,0,18,4,3,0,0,0,0,0,0,64,0
"Kotemaori","Kotemaori School, State Highway 2",0,0,0,0,0,0,0,0,8,0,3,1,1,0,0,0,0,0,0,13,0
"Mahia","Te Mahia School, 457 East Coast Road",0,0,2,1,0,2,0,0,74,0,54,6,5,0,0,0,0,0,0,144,3
"Maraenui","Maraenui Bilingual School, 2a Lister Crescent",0,0,5,0,0,3,0,0,129,0,57,2,2,0,0,1,0,0,0,199,5
,"Richmond School, 13a Barnard Avenue",0,0,3,0,1,3,0,0,156,0,35,2,7,0,0,1,0,0,0,208,5
"Marewa","Church of Christ Building, 19 Douglas McLean Avenue",0,0,0,0,0,0,0,0,11,0,2,3,2,0,0,0,0,0,0,18,0
,"Marewa School, 80 Latham Street",1,0,1,0,0,5,0,3,122,0,49,12,11,0,0,0,0,0,0,204,3
"Meeanee","Meeanee School, 6 Gavin Black Street",0,0,0,0,0,1,0,0,8,0,2,1,3,0,0,0,0,0,0,15,0
"Napier Central","Courthouse, 251 Hastings Street",0,0,0,0,0,3,0,0,32,0,3,5,1,0,0,0,0,0,0,44,0
,"Napier Intermediate, 13 Jull Street",1,0,1,0,0,3,0,0,35,0,8,2,0,0,0,0,0,0,0,50,1
"Napier South","Nelson Park School, 48 Kennedy Road",0,0,0,0,1,4,0,0,28,0,13,3,6,0,0,0,0,0,0,55,2
,"St Luke's Church, 196 Vigor Brown Street",0,0,0,0,1,0,0,0,14,0,4,0,0,0,0,1,0,0,0,20,0
"Nuhaka","Nuhaka School, Tamakahu Street",0,0,1,0,1,1,0,0,59,0,52,3,5,0,0,1,0,0,1,124,4
"Onekawa","Henry Charles Hall, Henry Charles Terrace",0,0,0,0,0,1,0,0,30,0,5,3,1,0,0,0,0,0,0,40,0
,"Henry Hill School, 15 Dick Place",1,0,1,0,0,2,0,0,61,0,26,9,2,0,0,0,0,0,0,102,2
,"Onekawa Primary School, 235 Kennedy Road",0,0,2,0,0,2,0,0,34,0,10,3,5,0,0,1,0,0,0,57,1
,"William Colenso College, 21 Arnold Street",0,0,0,0,0,3,0,0,30,0,14,7,3,0,0,0,0,0,0,57,1
"Pirimai","Baptist Church, 69 Bill Hercock Street ",0,0,2,0,0,1,0,0,47,0,24,2,7,0,0,0,0,0,0,83,1
"Poraiti","Wharerangi Homestead (Hohepa Homes), 146 Puketitiri Road",0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,7,0
"Puketapu","Puketapu School, 708 Puketapu Road",0,0,0,0,0,1,0,0,8,0,6,2,0,0,0,0,0,0,0,17,0
"Raupunga","Ngati-Pahauwera Society Offices, 30 Putere Road",0,0,0,0,0,0,0,0,31,0,26,2,1,0,0,0,0,0,0,60,1
"Ruakituri","Ruakituri School, 1607 Ruakituri Valley Road",0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,15,2
