Party and Electorate Candidate Votes Recorded at each polling place
"Rotorua 46","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Upper Atiamuri","Upper Atiamuri School, 2613 State Highway 30",2,0,0,5,0,3,5,0,1,0,48,4,1,69,1
"Waikite Valley","Waikite Valley School, 1090 Waikite Valley Road",5,0,0,10,0,13,18,0,0,5,143,13,3,210,1
"Waiohau","Te Kura Kaupapa Māori O Waiohau, 2481 Galatea Road",0,0,0,0,0,0,0,0,1,0,5,1,0,7,0
"Waitangi","Te Kura Kaupapa Māori o Te Matai, 309 State Highway 2",2,0,1,5,0,4,12,0,1,1,45,9,1,81,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Bay of Plenty",6,0,0,9,0,18,14,0,1,2,184,21,3,258,0
,"Ordinary Votes BEFORE polling day - Taken in Rotorua",27,0,11,94,1,265,707,1,32,48,2108,378,21,3693,43
,"Special Votes BEFORE polling day",3,1,2,16,0,51,86,1,7,3,230,35,7,442,3
,"Special Votes On polling day",15,1,12,39,1,190,418,0,26,23,891,121,21,1758,15
,"Overseas Special Votes including Defence Force",6,0,1,1,0,34,23,2,0,1,93,7,3,171,0
,"Votes Allowed for Party Only",1,1,6,4,0,35,162,0,26,27,86,35,2,385,6
,"Rotorua Total",269,15,159,948,14,2700,6919,19,327,404,16159,3326,258,31517,307
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",31824
"Electorate Party Valid Votes for Rotorua",,"National Party - .5127074277"
"ACT New Zealand",269,.0085350763
"Alliance",15,.0004759336
"Aotearoa Legalise Cannabis Party",159,.0050448964
"Conservative Party",948,.030079005
"Democrats for Social Credit",14,.0004442047
"Green Party",2700,.0856680522
"Labour Party",6919,.2195323159
"Libertarianz",19,.0006028493
"Mana",327,.010375353
"Māori Party",404,.0128184789
"National Party",16159,.5127074277
"New Zealand First Party",3326,.1055303487
"United Future",258,.0081860583
