Party and Electorate Candidate Votes Recorded at each polling place
"Tauranga 51","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Bethlehem","Baptist Church Hall, 90 Bethlehem Road",36,0,1,0,3,29,3,22,181,2,6,806,69,2,0,0,0,12,0,1172,1
,"Institute of Education, 24 Elder Lane",50,1,1,2,7,44,4,48,190,0,1,902,70,0,0,1,0,11,0,1332,2
"Cambridge","Cambridge Primary School, Wilson Street",0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,1,0,7,0
"Maungatapu","Maungatapu School Hall, 164 Maungatapu Road",0,0,0,0,1,2,0,4,43,0,0,45,14,0,0,0,0,1,0,110,0
"Mt Maunganui","Arataki Community Centre, Grenada Park, Monowai Street",1,0,2,0,2,3,0,1,19,0,1,47,5,0,0,1,0,1,0,83,0
,"Arataki School Hall, 4 Kaimanawa Street",12,0,2,0,0,13,2,7,126,2,2,139,49,0,0,1,0,3,0,358,3
,"Harbourside Netball Pavilion, Maunganui Road",14,0,1,0,0,27,0,3,79,0,4,191,30,0,0,0,0,1,1,351,0
,"Mt Maunganui College, Maunganui Road",33,1,4,0,3,67,5,16,228,1,3,579,81,0,0,6,0,11,0,1038,0
,"Mt Maunganui Intermediate School, 21 Links Avenue",45,2,3,1,1,53,5,19,236,0,7,526,99,0,0,2,1,11,1,1012,3
,"Mt Maunganui Primary School, 13 Orkney Road",56,3,2,0,2,70,1,13,184,0,6,603,54,0,0,5,0,14,0,1013,4
,"Senior Citizens' Hall, 345 Maunganui Road",27,0,2,0,0,44,4,4,126,0,6,407,55,1,0,6,1,7,0,690,4
,"St Peter's Church Hall, 11 Victoria Road",29,1,0,0,0,12,1,4,67,0,2,279,41,0,0,1,0,7,0,444,2
"Papamoa","Papamoa Community Centre and Library, Tohora Room, 15 Gravatt Road",5,0,0,0,0,3,0,3,12,0,0,37,2,0,0,0,0,0,0,62,0
,"Tahatai Coast School Hall, 45 Evans Road",1,0,0,0,0,0,0,0,9,0,0,16,1,0,0,1,1,0,0,29,0
,"Te Akau Ki Papamoa School Hall, 29 Doncaster Drive",0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,7,0
