Party and Electorate Candidate Votes Recorded at each polling place
"Pakuranga 37","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Botany Downs","Elim Christian Centre, 159 Botany Road",3,0,0,15,0,10,35,0,0,1,147,9,0,220,1
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",0,0,1,6,0,2,6,0,1,1,46,4,0,67,0
"Bucklands Beach","Bucklands Beach Intermediate School, 247 Bucklands Beach Road",40,0,8,71,0,106,253,0,1,5,963,63,8,1518,6
,"Bucklands Beach Primary School, 107 Clovelly Road",28,2,4,41,0,95,127,0,6,5,1081,49,6,1444,12
,"Macleans College, 2 Macleans Road",39,0,1,40,0,68,155,0,0,4,1061,39,9,1416,4
,"Macleans Primary School, 10 Wycherley Drive",31,0,4,49,0,69,244,0,0,4,658,52,7,1118,9
,"Pakuranga Health Camp School, 1-9 Pigeon Mountain Road",20,0,3,34,0,53,97,1,1,6,928,51,2,1196,11
"Burswood","East City Wesleyan Church, 219 Burswood Drive",0,0,0,2,0,3,5,0,0,1,32,1,1,45,0
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",0,0,0,5,0,9,5,0,0,0,38,1,0,58,0
"Henderson","The Trusts Stadium (Ukulele Festival), Central Park Drive",0,0,0,0,0,2,1,0,0,1,4,1,0,9,0
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",15,1,2,22,0,38,126,0,1,0,356,37,1,599,2
"Howick","Cockle Bay School, 24 Sandspit Road",8,0,2,36,0,65,84,1,0,5,554,40,6,801,4
,"Howick Intermediate School, 1 Botany Road",11,1,5,27,1,56,214,0,3,5,596,79,2,1000,6
,"Owairoa  Primary School, corner Wellington & Nelson Streets",16,0,2,48,0,105,233,1,3,7,884,71,7,1377,4
,"The Salvation Army East City, 37-45 Wellington Street",9,0,9,57,0,89,178,0,0,6,747,98,6,1199,3
"Meadowlands","Meadowlands Methodist Community Church, 128 Whitford Road",5,0,1,2,0,4,17,0,0,0,84,9,1,123,1
"Mellons Bay","Mellons Bay Primary School, 140 Mellons Bay Road",18,0,2,39,0,54,73,0,0,2,687,34,3,912,5
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",0,0,0,5,0,4,3,0,1,0,18,1,0,32,0
"Pakuranga","Anchorage Park Primary School, 16 Swan Crescent",5,0,1,16,0,31,151,0,0,0,216,33,1,454,4
,"Eastgate Christian Centre, 5 Ben Lomond Crescent",11,0,0,20,0,42,129,0,1,0,386,43,4,636,3
,"Edgewater College, 32 Edgewater Drive",10,1,3,14,1,30,247,0,1,2,302,61,3,675,3
,"Elm Park School, 46 Gossamer Drive",20,0,7,27,0,77,280,1,0,4,590,92,9,1107,12
,"Farm Cove Intermediate School, 14-16 Butley Drive",57,3,7,80,1,108,331,0,2,2,1526,159,8,2284,8
,"Pakuranga College, 480 Pakuranga Road",35,1,8,65,0,104,405,0,2,6,936,76,6,1644,10
,"Pakuranga Heights Primary School, 77 Udys Road",19,1,4,57,0,76,372,0,1,7,717,63,4,1321,7
,"Pakuranga Recreation & Youth Centre, 13c Reeves Road",27,2,3,43,0,91,455,0,6,7,761,98,5,1498,16
,"Riverhills Primary School, 13 Waikaremoana Place",7,2,5,15,0,35,163,0,0,1,306,38,3,575,5
,"Sunnyhills Primary School, 17 The Crest",34,0,2,38,0,80,166,1,1,5,1009,50,5,1391,6
"Shelly Park","Shelly Park School, 11-13 Sunnyview Avenue",1,0,0,0,0,0,1,0,0,0,18,0,0,20,0
"Somerville","Somerville Intermediate School, 39 Somerville Road",1,0,1,0,0,10,4,0,0,0,45,0,1,62,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Botany",10,0,2,17,0,30,73,1,1,0,340,17,3,494,4
,"Ordinary Votes BEFORE polling day - Taken in Maungakiekie",0,0,0,1,0,6,4,0,1,0,24,3,0,39,0
,"Ordinary Votes BEFORE polling day - Taken in Pakuranga",69,3,4,192,1,241,788,2,3,9,2641,371,28,4352,45
,"Special Votes BEFORE polling day",5,2,1,10,0,21,82,0,0,2,216,21,1,361,3
,"Special Votes On polling day",21,1,15,56,0,153,409,1,3,9,1190,60,6,1924,7
,"Overseas Special Votes including Defence Force",6,0,0,1,1,35,42,0,1,0,201,4,0,291,0
,"Votes Allowed for Party Only",4,0,5,5,0,22,110,0,0,2,163,19,3,333,1
,"Pakuranga Total",585,20,112,1156,5,2024,6068,9,40,109,20471,1847,149,32595,202
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",32797
"Electorate Party Valid Votes for Pakuranga",,"National Party - .6280411106"
"ACT New Zealand",585,.017947538
"Alliance",20,.000613591
"Aotearoa Legalise Cannabis Party",112,.0034361098
"Conservative Party",1156,.0354655622
"Democrats for Social Credit",5,.0001533978
"Green Party",2024,.0620954134
"Labour Party",6068,.186163522
"Libertarianz",9,.000276116
"Mana",40,.0012271821
"Māori Party",109,.0033440712
"National Party",20471,.6280411106
"New Zealand First Party",1847,.0566651327
"United Future",149,.0045712533
