Party and Electorate Candidate Votes Recorded at each polling place
"Christchurch Central 5","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Addington","Addington School, 22 Brougham Street",0,0,0,1,0,0,0,0,12,15,127,0,1,27,0,10,0,0,6,199,3
,"Kidsfirst Kindergarten, 366 Selwyn Street",0,8,1,3,1,1,6,0,59,38,331,0,3,116,0,30,0,0,15,612,11
,"Sacred Heart Parish Hall, 70 Spencer Street",0,2,3,1,1,0,3,1,32,21,250,0,2,89,0,18,0,0,13,436,4
"Avonside","Avonside Early Childhood Centre, 43 Woodham Road",0,1,1,0,0,1,0,0,40,6,188,0,2,102,0,18,0,0,7,366,0
,"Avonside Scout Den, 11 Retreat Road",0,3,0,5,0,0,5,0,67,17,301,0,1,193,0,32,0,0,24,648,3
,"Christchurch Amateur Radio Club, 27 Galbraith Avenue",0,1,0,0,0,0,0,0,14,4,74,0,1,35,0,9,0,0,8,146,0
,"Holy Trinity Anglican Church Hall, 168 Stanmore Road",0,3,1,2,0,0,0,1,49,9,233,0,0,91,1,25,0,0,6,421,6
"Christchurch City","Cathedral College, cnr Barbadoes Street and Moorhouse Avenue",0,3,0,0,0,0,0,0,32,4,92,0,1,62,0,5,0,0,11,210,0
,"Christchurch Central Public Library, cnr Gloucester St & Oxford Tce",0,9,1,1,0,0,1,0,126,6,367,0,0,174,0,17,0,0,20,722,6
,"Christchurch East School, 311 Gloucester Street",0,8,0,4,1,0,5,0,141,16,557,0,2,209,0,34,0,0,20,997,8
,"Christchurch Hospital, The Great Escape Cafe",0,0,0,0,0,0,2,1,18,0,66,0,0,41,0,0,0,0,6,134,0
,"Disability Information Service, Disabled Persons Centre, 314 Worcester Street",0,1,0,1,0,0,1,0,20,3,73,0,1,28,0,9,0,0,6,143,2
,"District Court, Family Court Building, 85 Armagh Street",0,9,0,0,0,0,0,0,30,1,96,1,0,91,0,5,0,0,8,241,1
,"Hagley Community College, 510 Hagley Avenue",0,1,0,1,0,0,0,0,26,2,79,0,1,38,0,9,0,0,4,161,0
,"HMNZS Pegasus, 419 Montreal Street",0,8,2,1,1,0,1,0,38,3,160,0,2,197,0,12,1,0,6,432,1
,"St Luke's Church, 250 Manchester Street",0,8,0,2,0,0,1,1,76,5,199,0,1,199,0,25,0,0,9,526,4
,"St Mary's Parish Hall, 375 Manchester Street",0,4,0,2,1,0,0,0,57,5,227,0,1,160,0,12,0,0,29,498,2
,"The Arts Centre, Hurst Seager Room, cnr Hereford Street & Rolleston Avenue",0,6,0,2,0,0,1,0,78,5,168,0,1,147,0,5,0,0,10,423,1
"Linwood","Linwood Avenue School, 260 Linwood Avenue",0,1,0,5,1,1,3,0,50,7,256,0,1,71,0,22,0,0,7,425,4
,"Linwood Bible Chapel, 78 Stanmore Road",0,9,1,5,4,0,2,0,80,19,430,0,6,115,0,41,0,1,21,734,6
,"Linwood College Hall, 85 Aldwins Road",0,3,0,2,1,0,5,0,35,8,209,0,1,58,1,24,0,0,4,351,2
,"Linwood Intermediate School, McLean Street",1,4,2,1,0,0,0,0,30,8,155,0,0,45,0,12,0,0,9,267,1
,"Linwood North School Hall, 221 Woodham Road",0,3,1,3,1,0,4,0,66,20,471,0,3,145,0,33,0,0,25,775,4
,"St Chad's Anglican Church Hall, 11 Carnarvon Street (cnr Buckleys Road)",0,3,1,0,0,0,4,0,21,14,139,0,0,42,0,11,0,0,9,244,0
"Mairehau","Aldred Methodist Hall, Knowles Street (cnr Nancy Avenue)",1,2,0,1,1,0,4,0,28,24,280,0,3,192,0,31,0,0,26,593,3
,"Glenmoor School, 96 Philpotts Road",0,4,0,0,0,1,2,0,24,8,156,0,0,132,0,12,0,0,13,352,2
,"Mairehau Primary School, 43 Mahars Road",0,6,1,4,4,0,2,0,55,14,444,1,3,322,0,46,0,0,50,952,9
"Merivale","Heaton Intermediate School, Centre for Performing Arts, 125-133 Heaton Street",0,2,0,1,0,0,0,0,30,2,88,0,0,151,0,5,0,0,2,281,0
,"Rangi Ruru Girls' School Hall, 59 Hewitts Road",0,4,0,0,0,0,0,0,6,1,44,0,0,77,0,0,0,0,6,138,0
,"St Mary's Parish Centre Main Hall, 30 Church Lane (cnr Papanui Road)",0,11,0,2,0,0,4,0,73,7,214,0,4,432,0,24,0,0,13,784,2
"Opawa","Opawa Baptist Hall, 285 Wilsons Road",0,0,1,0,0,1,0,1,41,9,127,0,2,61,0,14,0,0,26,283,3
"Papanui","Papanui Methodist Church Hall, 68 Harewood Rd (cnr Chapel St)",0,1,0,0,1,0,0,0,5,2,68,0,1,58,0,12,0,1,0,149,0
,"Papanui Primary School, Winters Road",0,12,0,0,1,0,3,0,33,8,304,0,0,250,0,41,0,0,36,688,2
,"Paparoa Street School, Paparoa Street",2,21,0,1,1,0,2,0,83,6,400,0,1,660,0,49,0,0,37,1263,2
,"St Paul's Anglican Church Lounge, 1 Harewood Rd",0,5,1,1,0,0,0,0,8,5,143,0,2,104,0,8,0,0,6,283,5
"Phillipstown","Phillipstown School, 21 Nursery Road",0,4,0,3,0,1,1,0,69,22,418,0,4,126,0,32,0,0,17,697,6
,"Te Waipounamu Maori Cultural Centre, 290 Ferry Road",0,1,1,4,0,1,2,0,29,6,154,0,3,50,0,15,0,0,9,275,4
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",1,2,2,1,2,0,5,0,83,19,367,0,1,183,0,32,1,0,28,727,5
,"Richmond Kindergarten, 41 North Avon Road",1,4,0,3,0,1,3,0,52,16,334,0,1,145,0,24,0,0,17,601,7
,"Richmond Primary School, Pavitt Street",0,3,0,1,1,0,1,0,43,15,256,0,1,79,0,23,0,0,7,430,7
"Shirley","Hammersley Park School, 102 Quinns Road",0,9,0,3,0,0,5,0,31,12,338,0,0,181,0,37,0,0,22,638,4
,"MacFarlane Park Free Kindergarten, 19 Acheson Avenue",1,1,2,0,1,0,5,0,27,18,358,2,3,80,0,25,0,0,20,543,2
