Party and Electorate Candidate Votes Recorded at each polling place
"Ilam 18","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Akaroa","Akaroa Sports Centre, Rue Jolie",0,0,0,0,0,9,4,0,0,0,32,1,1,47,1
"Avonhead","Avonhead Kindergarten, 49 Staveley Street",6,0,0,10,0,84,125,0,0,3,301,39,6,574,2
,"Avonhead Primary School Hall, 55 Avonhead Road",9,0,3,34,1,122,188,0,0,5,602,36,6,1006,5
,"Merrin School Hall, 41 Merrin Street",15,0,5,35,0,158,250,2,0,5,829,59,6,1364,6
,"Russley School, 75 Cutts Road",0,0,0,1,0,3,6,0,0,0,15,3,0,28,0
,"St Mark's Presbyterian Church, 150 Withells Road",2,0,1,3,0,39,71,0,0,2,210,19,6,353,3
"Bishopdale","Bishopdale School Hall, 465 Greers Road",1,0,2,13,2,50,98,0,0,0,215,20,2,403,1
,"Breens Intermediate School Hall, 85 Breens Road",4,0,4,34,1,94,237,0,2,4,541,66,4,991,4
,"Cotswold School, 44 Cotswold Avenue",3,0,3,27,0,121,269,0,0,4,619,71,8,1125,7
,"Isleworth School Hall, 59a Farrington Avenue",3,1,3,13,0,82,204,0,1,3,358,39,9,716,7
,"St Margaret's Church, The Hub, 94 Farrington Avenue",4,0,3,32,0,85,233,0,2,2,366,65,9,801,12
"Bryndwr","St Matthew's Church Main Hall, 108 Jeffreys Road",7,0,1,13,0,94,108,3,2,5,464,31,5,733,2
,"St Stephen's Presbyterian Church Hall, corner Ilam & Aorangi Roads",5,2,2,16,0,132,269,1,5,3,371,37,4,847,15
,"Wairakei School Hall, 250 Wairakei Road",8,1,1,21,1,180,266,3,3,4,560,45,12,1105,6
"Burnside","Burnside Elim Community Church, 193 Grahams Road",2,0,2,20,0,73,134,3,2,2,322,28,6,594,7
,"Burnside High School, J Block (Memorial Avenue entrance)",7,1,1,20,1,78,115,0,0,6,386,19,5,639,0
,"Kendal School Hall, 53 Kendal Avenue",4,0,3,33,1,134,252,2,0,5,522,54,4,1014,3
