Party and Electorate Candidate Votes Recorded at each polling place
"Waitakere 57","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Bethells Valley","Fire Station, Bethells Road",0,2,0,1,0,1,1,0,57,6,82,0,5,54,0,6,0,0,5,220,1
"Glen Eden","Catholic Church Hall, 7 Glendale Road",0,13,5,2,1,0,16,0,44,20,610,1,5,358,1,85,0,0,31,1192,6
,"Glen Eden Baptist Church Hall, 97 Glendale Road",0,9,1,5,2,0,9,3,74,23,544,0,8,438,1,89,0,0,69,1275,2
,"Glen Eden School Hall, 3 Glenview Road",0,10,2,2,1,0,8,0,48,22,571,0,2,282,2,65,1,0,18,1034,3
,"Prospect School Hall, Rosier Road",0,16,2,5,5,1,18,1,71,18,1074,1,7,482,1,122,0,2,51,1877,5
,"Te Kura Kaupapa Maori o Hoani Waititi Marae, 441 West Coast Road",0,2,1,0,2,0,3,0,12,3,147,0,15,72,0,13,1,0,6,277,3
"Green Bay","Green Bay Primary School Hall, 131 Godley Road",1,5,0,2,0,0,1,0,47,6,198,0,2,200,0,45,0,0,8,515,0
"Henderson","Henderson High School, 31 Henderson Valley Road",0,13,1,2,2,0,4,0,33,10,348,0,2,163,1,34,0,0,16,629,3
,"Henderson North School, 14 Norval Road",0,1,0,1,0,0,0,0,3,2,44,0,0,23,0,4,0,0,3,81,2
,"Henderson Primary School, Montel Avenue",0,0,0,0,0,0,1,0,4,0,50,0,2,14,0,1,0,0,4,76,1
,"Summerland School Hall, Summerland Drive",0,38,0,1,2,0,8,1,22,15,679,0,0,756,0,62,0,0,54,1638,1
,"Waipareira Community House, 38 Border Road",0,5,0,2,1,0,7,0,11,0,186,0,6,74,0,20,0,0,15,327,1
,"Waitakere College, 42 Rathgar Road",0,5,0,0,1,0,5,0,12,3,184,0,3,93,0,4,0,0,8,318,0
,"Western Heights School, 126 Sturges Road",0,41,3,2,1,0,17,5,62,26,838,0,9,1081,1,125,0,0,69,2280,9
"Henderson Valley","Bruce McLaren Intermediate School, Bruce McLaren Road",0,7,1,5,2,0,19,1,26,11,744,0,6,207,0,69,0,0,16,1114,11
,"Henderson South School, Garelja Road",0,2,0,0,0,0,0,0,14,5,208,0,2,49,0,20,0,1,7,308,7
,"Henderson Valley Play Centre, 31 Farwood Drive",0,1,0,3,2,0,2,2,16,4,203,0,2,35,2,11,1,0,9,293,1
,"Henderson Valley School, 389 Henderson Valley Rd",0,8,0,0,2,0,2,1,68,9,261,1,0,343,0,47,0,0,23,765,1
"Kelston","Kelston Girls College Music Suite, 1 Archibald Road",0,2,1,0,0,0,2,0,8,3,136,0,3,55,0,15,0,0,5,230,4
"Massey","Don Buck School, 124 Don Buck Road",0,2,0,1,1,0,3,1,3,5,98,0,0,63,1,13,0,0,7,198,0
