Party and Electorate Candidate Votes Recorded at each polling place
"Otaki 36","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Foxton","Coley Street School, Coley Street",8,0,1,1,0,29,6,9,313,0,1,223,43,0,0,3,0,1,1,639,1
,"Foxton Primary School, Park Street",18,4,2,0,3,38,14,6,408,0,19,350,76,1,0,4,0,7,0,950,8
"Foxton Beach","Foxton Beach Primary School, 10 Carthew Terrace",15,0,0,0,0,17,10,4,309,0,7,248,45,0,0,1,0,0,0,656,1
"Ihakara","Ihakara Public Hall, corner Tavistock Road & State Highway 57",17,1,0,0,0,26,4,3,108,0,5,293,15,0,0,3,0,7,0,482,0
"Levin","Fairfield School, 89 MacArthur Street",25,1,3,0,4,46,11,5,499,0,6,688,77,0,0,11,0,8,0,1384,3
,"Horowhenua College, 63-73 Weraroa Road",22,0,5,0,4,86,16,5,666,2,13,601,85,2,0,13,1,17,0,1538,4
,"Levin Baptist Church, 17-19 Rugby Street",13,1,1,1,6,25,9,4,235,0,6,183,34,0,0,4,0,8,0,530,6
,"Levin City Church Hall, 87-89 Cambridge Street",9,0,1,0,1,34,6,1,320,1,3,287,64,0,0,3,0,9,0,739,0
,"Levin East School, 90 Bartholomew Road",15,1,5,0,6,38,20,3,645,0,10,505,117,1,0,6,0,11,0,1383,4
,"Levin Intermediate School, Collingwood Street",7,0,2,0,0,23,6,4,216,1,6,146,37,0,0,2,1,4,0,455,0
,"Levin North School, 142-150 Weraroa Road",21,1,6,0,2,52,24,2,530,0,8,625,88,0,0,4,0,11,0,1374,7
,"Taitoko School, Kinross Street",3,2,7,0,0,14,0,0,227,0,4,63,27,0,0,0,0,0,0,347,3
"Manakau","Manakau District Association Hall, Mokena Kohere Street",18,0,1,0,1,37,5,1,103,0,3,211,27,0,0,0,0,4,0,411,2
"Ohau","Ohau School, Muhunoa East Road",21,0,1,0,0,43,14,0,214,0,12,392,32,0,0,1,0,10,0,740,0
"Opiki","Opiki School, Opiki Road",7,0,0,0,0,9,2,1,32,0,1,118,7,0,0,0,0,1,0,178,0
"Otaki","Hadfield Hall, 47 Te Rauparaha Street",8,1,1,1,5,42,12,2,352,0,14,236,53,1,0,6,0,7,0,741,3
,"Otaki College, Mill Road",23,0,3,0,3,60,9,1,341,0,9,281,40,0,0,4,0,8,0,782,2
,"Waitohu School, Te Manuao Road",25,0,2,0,2,60,6,0,247,0,11,369,47,0,0,3,0,11,1,784,1
"Otaki Beach","Otaki Surf Lifesaving Club Hall, Marine Parade",17,0,3,0,1,43,2,0,207,0,7,154,26,0,0,3,0,3,0,466,1
"Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",39,0,10,0,2,70,22,4,550,0,7,631,66,0,0,14,0,19,0,1434,4
,"Mazengarb Sports Complex, Mazengarb Road",25,1,1,0,1,48,6,1,209,0,7,394,23,0,0,2,0,7,0,725,2
,"Paraparaumu School, Ruapehu Street",5,1,1,0,1,7,0,0,69,0,6,93,10,0,0,1,0,4,0,198,0
,"The Meadows Church, 1 Realm Drive",61,2,1,0,3,61,19,13,509,0,9,820,71,0,0,11,1,19,0,1600,6
"Paraparaumu  Beach","Kapiti Senior Citizens Centre, Ocean Road",49,0,2,1,1,77,24,7,488,1,10,751,84,0,0,7,0,23,0,1525,4
,"Paraparaumu Beach Guide Hall, Te Kupe Road",32,3,4,1,0,65,22,4,382,1,4,439,57,0,0,2,0,15,0,1031,2
,"Paraparaumu Beach School, Gray Avenue",43,1,5,0,0,71,10,1,388,0,6,629,34,0,0,7,0,17,0,1212,2
"Porirua","Porirua Employment Hub, Asset Finance Building, 6 Hagley Street",1,0,0,0,0,0,0,0,4,0,1,6,0,0,0,0,0,0,0,12,0
"Poroutawhao","Poroutawhao School, State Highway 1",9,0,0,0,0,10,3,1,62,0,1,100,4,0,0,0,0,0,0,190,1
