Party and Electorate Candidate Votes Recorded at each polling place
"Nelson 29","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Appleby","Appleby School, Moutere Highway",4,0,0,0,1,4,1,1,29,1,1,77,5,0,0,1,0,0,0,125,2
"Atawhai","Clifton Terrace School Hall, 888 Atawhai Drive",37,2,1,0,1,105,7,1,410,0,9,516,40,0,0,7,0,8,1,1145,4
"Brightwater","Brightwater School, 106 Ellis Street",16,2,1,2,6,51,3,10,323,0,1,487,28,0,0,6,0,11,0,947,3
"Hira","Hira School, State Highway 6",5,0,3,0,1,63,3,1,112,0,1,104,5,0,0,0,0,0,0,298,2
"Hope","Hope School, Paton Road",27,0,7,0,2,35,2,5,111,0,1,436,13,0,0,1,0,18,0,658,2
"Nelson","Athletics Nelson Club Rooms, Pioneer Park, Hastings Street",16,0,4,2,0,119,4,4,289,0,2,292,25,0,0,8,0,6,0,771,2
,"Auckland Point School, 111 Haven Road",14,2,9,1,0,140,13,4,360,0,4,394,36,0,0,2,0,10,2,991,3
,"Court House, 200 Bridge Street",24,1,5,0,6,167,8,5,399,1,5,414,32,0,0,6,0,9,0,1082,3
,"Grove Street Kindergarten, 50a Grove Street",40,3,4,1,2,131,12,11,502,0,10,496,35,0,0,7,0,10,0,1264,5
,"Hampden Street School, 250 Hampden Street",32,0,3,1,2,139,7,5,386,0,9,430,40,2,1,5,1,6,0,1069,3
,"Masonic Hall, 109 Nile Street",38,2,7,1,2,222,12,8,564,2,9,412,33,0,0,11,0,11,0,1334,7
,"Nelson Intermediate School, 112 Tipahi Street",9,0,4,0,5,49,8,5,323,1,7,136,14,0,0,3,0,4,0,568,2
,"Salvation Army Hall, 57 Rutherford Street",12,2,0,0,0,122,6,6,203,0,3,162,19,0,0,3,1,9,0,548,3
,"Victory School Community Centre, Totara Street",23,3,12,1,14,155,12,8,750,0,8,348,52,0,0,9,0,8,1,1404,3
"Richmond","Garin College, 35 Champion Road",43,0,1,0,7,68,10,11,330,1,3,708,25,0,0,6,0,23,1,1237,5
,"Richmond Athletic Soccer Club Room, Gladstone Road",16,1,0,0,2,24,2,5,159,1,3,223,16,0,0,5,0,6,0,463,4
,"Richmond School Community Hall, Cambridge Street",30,2,5,1,4,70,10,6,532,1,1,583,44,1,0,7,0,23,1,1321,4
,"Tasman District Council Office, 189 Queen Street",50,4,6,1,6,100,20,24,740,0,7,1155,89,0,0,5,0,25,1,2233,3
,"Waimea Intermediate School, 48 Salisbury Road",16,2,4,0,4,49,7,12,385,0,3,508,28,1,0,8,0,14,1,1042,3
"Stoke","Birchwood School, Durham Street",22,0,2,2,3,49,5,5,276,0,6,308,23,0,0,11,0,13,0,725,3
,"Broadgreen Intermediate School, 193 Nayland Road",50,3,9,2,17,103,8,7,858,0,10,893,83,1,0,20,0,25,1,2090,3
,"Stoke Memorial Hall, 548 Main Road",34,0,3,0,6,93,21,20,666,0,17,674,67,0,0,13,0,13,1,1628,9
